slug,name,region,lat,lon,facilities,price_from,near_spots,dog_allowed,open_season,description
the-snowdon-inn-y-fricsan,The Snowdon Inn (Y Fricsan),snowdonia,53.136,-4.150,toilets|showers|pub,15,Snowdon|Llanberis Path|Zip World,Yes,Apr-Oct,"Campsite and bunkhouse offering a no-frills basecamp near Llanberis."
platts-farm,Platts Farm,snowdonia,53.250,-3.980,toilets|showers|wifi,15,Aber Falls|North Wales Coast,Yes,Apr-Oct,"Coastal location, 5 mins to village. Bunkhouse and camping."
tyf-cliff-top-campsite,TYF Cliff-top Campsite,pembrokeshire,51.870,-5.280,toilets|showers,15,St Davids|Porthclais,Yes,Apr-Oct,"Cliff-top views near St Davids. Simple basecamp."
stackpole-centre-national-trust,Stackpole Centre (National Trust),pembrokeshire,51.624,-4.901,toilets|showers|drying-room,20,Barafundle Bay|Stackpole Quay,Yes,Apr-Oct,"National Trust property near Barafundle Bay."
broadhaven-camping,Broadhaven Camping,pembrokeshire,51.780,-5.100,toilets|showers,15,Broad Haven|Little Haven,Yes,Apr-Oct,"Beach access, family-friendly."
newgale-campsite,Newgale Campsite,pembrokeshire,51.854,-5.123,toilets|showers|pub|cafe,15,Newgale Beach|St Davids,Yes,Apr-Oct,"Beachfront campsite popular with surfers."
whitesands-bay-caravan-park,Whitesands Bay Caravan Park,pembrokeshire,51.895,-5.295,toilets|showers|cafe,20,Whitesands Bay|St Davids Head,Yes,Apr-Oct,"Beachfront at Whitesands, perfect for surfing."
grawen-camping,Grawen Camping,brecon-beacons,51.780,-3.400,toilets|showers,15,BikePark Wales|Pen y Fan,Yes,Apr-Oct,"Near BikePark Wales. Simple facilities."
waterfall-country-campsite,Waterfall Country Campsite,brecon-beacons,51.758,-3.550,toilets|showers,15,Four Falls Trail|Waterfall Country,Yes,Apr-Oct,"Walking distance to waterfalls."
newborough-forest-campsite,Newborough Forest Campsite,anglesey,53.136,-4.410,toilets|showers,20,Llanddwyn Island|Newborough Beach,Yes,Apr-Oct,"Forest setting with beach access."
cemaes-bay-caravan-park,Cemaes Bay Caravan Park,anglesey,53.412,-4.450,toilets|showers,20,Cemaes Bay|Coastal Path,Yes,Apr-Oct,"Near Cemaes Bay beach."
pitton-cross-campsite,Pitton Cross Campsite,gower,51.565,-4.250,toilets|showers|shop,15,Rhossili Bay|Mewslade Bay,Yes,Apr-Oct,"Near Rhossili and Mewslade Bay."
port-eynon-beach-campsite,Port Eynon Beach Campsite,gower,51.546,-4.215,toilets|showers|pub,15,Port Eynon|Culver Hole,Yes,Apr-Oct,"Beachfront at Port Eynon."
three-cliffs-bay-campsite,Three Cliffs Bay Campsite,gower,51.576,-4.116,toilets|showers|shop,20,Three Cliffs Bay|Tor Bay,Yes,Apr-Oct,"Scenic location overlooking the bay."
west-wales-windsurf,West Wales Windsurf,llyn-peninsula,52.824,-4.500,toilets|showers,15,Abersoch|Hell's Mouth,Yes,Apr-Oct,"Watersports focus near Abersoch."
llanbedrog-beach-huts,Llanbedrog Beach Huts,llyn-peninsula,52.860,-4.480,toilets|cafe,60,Llanbedrog Beach|Art Trail,Yes,Apr-Oct,"Glamping/Beach huts. National Trust."
whistling-sands-campsite,Whistling Sands Campsite,llyn-peninsula,52.835,-4.720,toilets,15,Whistling Sands|Aberdaron,Yes,Apr-Oct,"Near Porthor beach."
llyn-gwynant-campsite,Llyn Gwynant Campsite,snowdonia,53.0289,-4.0134,toilets|showers|boat-hire|pizza-oven,14,Snowdon|Llyn Gwynant|Watkin Path,Yes,Apr-Oct,"Stunning lakeside campsite at the foot of Snowdon. Popular with swimmers and hikers."
cwellyn-arms-campsite,Cwellyn Arms Campsite,snowdonia,53.0544,-4.1378,toilets|showers|pub|drying-room,12,Snowdon Ranger Path|Rhyd Ddu,Yes,Apr-Oct,"Basecamp for the Snowdon Ranger path. Located behind a real ale pub."
gwern-gof-uchaf,Gwern Gof Uchaf,snowdonia,53.1200,-3.9800,toilets|showers|bunkhouse,10,Tryfan|Glyderau|Ogwen Valley,Yes,Apr-Oct,"Traditional farm campsite in the Ogwen Valley. Ideal for Tryfan."
gwern-gof-isaf,Gwern Gof Isaf,snowdonia,53.1220,-3.9600,toilets|showers,10,Tryfan|Carneddau|Capel Curig,Yes,Apr-Oct,"Another classic Ogwen farm campsite. Climber friendly."
