Event Name,Type,Date(s)/Month,Location,Region,Website,Registration Cost (£),Participant Capacity,Description,description,who_its_for,difficulty_honest,atmosphere,tip
Chepstow Running Festival,Running,January 25,Chepstow Racecourse,South Wales,https://www.runthrough.co.uk,25-45,1000+,"Half marathon, 10K, 5K on racecourse","The Chepstow Running Festival offers a variety of races from 5k to a half marathon, all taking place on the grounds of Chepstow Racecourse. Expect a friendly, community-focused atmosphere with a focus on participation rather than elite competition, making it a great choice for a weekend running event. The course provides varied terrain, though is predominantly flat.","Beginner runners and families are especially welcome, with options for all abilities. More experienced runners looking for a serious race might find it a bit too relaxed, but it could be a good training event.","Easy to moderate. While the half marathon distance presents an endurance challenge, the mostly flat course within the racecourse grounds makes it less demanding than a trail race. Expect some slightly undulating sections but nothing overly strenuous.","Fun and supportive. Expect music, food stalls, and a lively atmosphere focused on enjoyment and celebrating participation. It's more of a running party than a fiercely competitive race.","The racecourse location means ample parking, but it can get busy closer to the start times. Arrive early to avoid delays and secure a good spot."
Llanelli Half Marathon & 10K,Running,February 8,"Festival Fields, Llanelli",Carmarthenshire,https://www.frontrunnerevents.co.uk,30-50,2000+,Coastal course on Millennium Coastal Path,"A popular running event in South Wales offering both a half marathon and a 10K race. Expect a scenic course with a mix of terrain, a friendly atmosphere, and post-race celebrations in Festival Fields. It's known for its community feel and accessible location.","Runners of all abilities are welcome, from first-time 10K runners to experienced half marathoners. Families can enjoy the event village and cheer on participants.","The half marathon includes some rolling hills, making it moderately challenging. The 10K is generally flat and suitable for beginners. Training beforehand is recommended for both distances.","More fun run than ultra-competitive, though serious runners will still find a good challenge. Expect a supportive and encouraging environment with music, food vendors, and a celebratory vibe.","Parking can be limited near Festival Fields, so arrive early or consider using public transport. There are often road closures, so plan your route in advance."
Nick Beer Llandudno 10K,Running,February 15,Llandudno Promenade,North Wales,https://www.run4wales.org,25-35,1500+,Scenic route around Great Orme,"The Nick Beer 10k is a famously challenging road race along the Llandudno promenade and onto the Great Orme, known for its steep climb and stunning coastal views. Expect a tough, hilly course and a friendly, supportive atmosphere fueled by local spirit.","Runners of all abilities are welcome, but some hill running experience is definitely recommended. While serious runners compete for top spots, many participate for the challenge and the fun, making it accessible for seasoned runners and those looking to push their limits. Not suitable for strollers or very young children due to the terrain.","This is a tough 10k. The first few kilometers are flat along the promenade, but then comes the relentless climb up the Great Orme - a very steep hill with sections that will have you walking. The descent is fast and potentially tricky. Don't expect a personal best; expect a challenge.","A real community event with a fun, supportive atmosphere. Expect lots of local spectators cheering you on, especially on the climb. There's a good buzz at the start/finish area, and a post-race celebration with food and drinks available.","Prepare for the hills! Incorporate hill training into your training plan, and practice running both up and down steep inclines. Consider wearing trail shoes for better grip on the descent, especially if it's wet."
Caerphilly Trail Races,Running,February 15,Caerphilly,South Wales,https://www.ridgerunners.co.uk,20-35,800+,5K and 10K multi-terrain trails,"Explore the Welsh countryside with the Caerphilly Trail Races, a series of running events that wind through forests and hills surrounding the historic Caerphilly Castle. Choose your distance and enjoy stunning views, a friendly atmosphere, and a well-marked course. This is a great way to experience trail running in Wales.","Trail runners of all levels. Options range from shorter, more manageable distances for beginners to longer, more challenging routes for experienced athletes. Families are welcome, especially for the shorter distances.","Moderate to challenging. Expect hilly terrain with some technical sections (roots, rocks, potentially muddy patches). The longer distances require a good level of fitness and trail running experience. Even the shorter distances include some climbs.","Welcoming and supportive. While some runners will be pushing for personal bests, the overall vibe is friendly and encouraging. Expect cheers from fellow runners and enthusiastic marshals along the course. Post-race, there's a relaxed social atmosphere.","Bring appropriate trail shoes with good grip, as the course can be slippery, especially after rain. Check the weather forecast and pack accordingly - Wales can be unpredictable!"
Jones O Gymru Anglesey Half Marathon,Running,March 1,Anglesey Showground,Anglesey,https://www.alwaysaimhighevents.com,35-50,1500+,Closed-road coastal course,"The Jones O Gymru Anglesey Half Marathon is a scenic road race showcasing the stunning landscapes of Anglesey, North Wales. Expect coastal views and charming villages along a route designed to challenge and inspire. It's a classic, no-frills half marathon experience focused on the run itself.","This race welcomes runners of all abilities, from seasoned half-marathoners to those tackling the distance for the first time. While the course is challenging, it's very popular with first-timers looking for a manageable but rewarding course. Families often participate, though the event is not specifically geared towards children beyond adult and teen runners.","The course is moderately challenging. While there aren't any significant climbs, the rolling terrain and potential for coastal winds can make for a tough run, especially in the later stages. Expect a few gradual inclines that will test your endurance, but nothing that requires specialist training.","The atmosphere is generally friendly and supportive. While many runners are aiming for personal bests, there's a strong sense of camaraderie among participants. Don't expect a wild party atmosphere; the focus is on the running and the beautiful surroundings.","Be prepared for potentially windy conditions, especially along the coastal sections. Check the weather forecast and dress accordingly. A windproof layer is a good idea."
Great Welsh Marathon & Half,Running,March 8,Pembrey Country Park,Carmarthenshire,https://www.greatwelshmarathon.co.uk,35-60,2000+,South Wales' oldest marathon,"The Great Welsh Marathon & Half is a scenic road race set within the beautiful Pembrey Country Park, offering a chance to run along the coast and through woodlands. It's a well-organized, community-focused event that prides itself on a friendly, supportive atmosphere, perfect for both seasoned runners and those tackling a longer distance for the first time.","This event welcomes runners of all abilities, from first-time marathoners to experienced racers. It's particularly appealing to those looking for a supportive and less intimidating race environment. While families aren't the primary focus, the park setting offers plenty for spectators to enjoy.","The course is generally flat, making it a good option for a first marathon or half marathon. However, expect some gently undulating sections within the park, and be prepared for potential coastal winds, which can add a degree of difficulty, especially later in the race. It's not a technical course, but pacing yourself is crucial.","The atmosphere is more 'fun run' than 'elite competition'. Expect enthusiastic support from marshals and fellow runners. While some runners are aiming for personal bests, the overall vibe is relaxed and encouraging. Post-race, there's a focus on celebration and camaraderie.","Check the weather forecast in the days leading up to the race and be prepared for potentially windy conditions, especially if running the full marathon. Consider wearing a hat or visor and adjusting your pacing strategy accordingly."
Red Warrior Challenge,Running,March 22,Margam Country Park,South Wales,https://www.redwarrior.co.uk,25-45,1000+,"5K, 10K, 20K multi-terrain","The Red Warrior Challenge is a trail running event through the diverse terrain of Margam Country Park, featuring steep climbs, muddy sections, and scenic woodland paths. Expect a good workout with beautiful views and a friendly, supportive atmosphere. This isn't just a run; it's an opportunity to test your endurance and connect with nature.","Runners of all abilities are welcome, but some trail experience is recommended. While families are welcome to spectate, the course is not stroller-friendly. More seasoned trail runners will enjoy pushing their pace, while newer trail runners can take their time and enjoy the scenery.","This is a moderately challenging course. There are some significant hills, and depending on the weather, sections can be very muddy and slippery. You don't need to be an elite athlete, but you should be comfortable running on uneven terrain for the specified distance. Walking is perfectly acceptable, especially on the steeper inclines.","The atmosphere is more fun run than serious race. While some participants will be aiming for a fast time, most are there to enjoy the challenge and the scenery. Expect supportive cheers along the route and a relaxed, friendly vibe at the finish line. Some runners come in fancy dress, and music is usually playing at the start/finish area.","Wear trail shoes! Road running shoes will not provide enough grip on the muddy and uneven sections of the course. Also, be prepared for all types of weather, even in summer."
Pendine Sands Races,Running,April 5,Pendine Sands,Carmarthenshire,https://www.limitlesstrails.co.uk,30-70,800+,"Ultra, marathon, half, 10K, 5K on beach","Embrace the raw beauty of the Welsh coastline with a run across the iconic Pendine Sands. This unique race offers a flat, fast surface unlike any other, blending the challenge of a long-distance run with the novelty of racing on the beach. Expect stunning views and a historical backdrop that adds a special dimension to your run.","Runners of all abilities are welcome, from seasoned marathoners looking for a unique race to beginner runners seeking a flat, forgiving surface for their first longer distance. Families are welcome, with plenty of space for spectators to cheer you on.","While the flat sand seems inviting, don't underestimate the challenge. The soft sand can be tiring, especially over longer distances, and wind is often a factor. It's more mentally taxing than a road race of similar distance, so prepare for a different kind of endurance test.","The atmosphere is generally relaxed and supportive, with a focus on enjoying the unique experience. While some competitive runners participate, the majority are there for the fun of running on the beach and soaking up the scenery. Expect a friendly, low-key vibe.","Check the tide times before the race! The amount of available sand and the firmness of the surface can vary dramatically depending on the tide, significantly impacting your run."
SheUltra,Running,April 11,Abersoch to Pwllheli,Llŷn Peninsula,https://www.sheultra.com,50-80,500+,World's largest all-female ultra (50K),"SheUltra is a challenging but beautiful coastal trail run tracing the Llyn Peninsula in Wales. Expect varied terrain, stunning sea views, and a real sense of accomplishment as you traverse this demanding route. More than just a race, it's an opportunity to push your limits while soaking in the raw beauty of the Welsh coastline.","Experienced trail runners comfortable with significant elevation changes and uneven terrain. While not strictly for elites, a good level of fitness and prior trail running experience is highly recommended. Newbies looking for their first ever trail race should consider shorter distances or less technical courses before attempting this one.","This is a tough one. Expect steep climbs, technical descents, and unpredictable weather conditions. The distance alone is challenging, but the constantly changing terrain and elevation profile will test your physical and mental endurance. It's not a walk in the park – proper training is essential.","Generally supportive and encouraging, but expect a focused and determined atmosphere. While camaraderie exists on the course, most runners are here to push themselves and achieve their personal best. Post-race celebrations are lively but tend to be centered around recovery and shared stories of conquering the course rather than a full-blown party.","Be prepared for all types of weather. The Llyn Peninsula is notorious for sudden changes, so pack layers, waterproofs, and sunscreen – you might need them all on the same day!"
Ogwen Yr Helgi Du,Trail Running,April 12,Ogwen Valley,Snowdonia,https://www.alwaysaimhighevents.com,35-60,1000+,"Skyrunning event: 40K, 25K, 15K options","Ogwen Yr Helgi Du is a trail running race that plunges you into the rugged beauty of the Ogwen Valley, North Wales. Expect a tough but rewarding experience tackling steep climbs, rocky descents, and stunning views that will take your breath away, assuming the hills haven't already.","Experienced trail runners are likely to get the most enjoyment out of this event, as a good level of fitness and comfort on technical terrain is needed. While not aimed at complete beginners, those with some trail running experience and a willingness to hike the steeper sections will find it a worthwhile challenge.","This is a tough race. Expect significant elevation gain and loss on technical trails including rocky, uneven ground. Weather in the Ogwen Valley can be unpredictable, adding another layer of difficulty. Be prepared to hike sections, especially on the ascents. Train those hills!","Expect a friendly, supportive atmosphere. While runners will be pushing themselves, the vibe is more camaraderie than cut-throat competition. Think determined effort combined with a shared appreciation for the stunning scenery. There's usually a good post-race buzz with food and chat.","Check the weather forecast religiously in the days leading up to the race and pack accordingly. Conditions in the mountains can change rapidly, so layers are essential. Don't underestimate the need for good trail shoes with plenty of grip!"
Beast of the Beacons,Trail Running,April 18,Talybont-on-Usk,Brecon Beacons,https://www.limitlesstrails.co.uk,40-70,800+,"40, 20, 10 mile trail challenge","The Beast of the Beacons is a challenging trail running event through the rugged and beautiful Brecon Beacons National Park in Wales. Expect steep climbs, technical descents, and stunning panoramic views, all wrapped up in a supportive and encouraging atmosphere. It's a true test of endurance and mental fortitude.","Experienced trail runners and those with a good level of fitness seeking a tough challenge. While beginners are welcome, be prepared for a significant step up in difficulty from road running. Not suitable for young children or those with limited trail running experience.","This is a tough course. Expect significant elevation gain on technical terrain. There will be sections of steep, uneven ground, and potentially challenging weather conditions. Proper trail running shoes are essential, and training on similar terrain is highly recommended. Be prepared to hike some sections.","The atmosphere is supportive and encouraging, but definitely leans towards the serious end. While there's camaraderie amongst runners, most are focused on completing the demanding course. Expect a well-organized event with a no-frills, focused vibe.","Be prepared for changeable weather. The Brecon Beacons are notorious for sudden shifts in conditions, so pack layers and be ready for anything from sunshine to rain and wind."
ABP Newport Marathon Festival,Running,April 19,Newport,South Wales,https://www.newportmarathon.co.uk,35-60,5000+,"Marathon, half, 10K, mile - flat & fast","The ABP Newport Marathon Festival is a celebration of running, featuring a flat and fast marathon course perfect for chasing personal bests. Expect a supportive atmosphere with enthusiastic crowds and a well-organized race experience. Beyond the marathon, shorter distance races make it a full weekend of running.","The marathon attracts a wide range of runners, from experienced marathoners aiming for a fast time to those completing their first 26.2 miles. The 10k and 5k events are very beginner-friendly, perfect for families and those new to running. Experienced 10k and 5k runners will still find it a well-organized and enjoyable run.","The marathon course is flat, making it one of the UK's fastest. This doesn't mean it's easy! It's still a marathon, and you'll need to put in the training miles. The 10k and 5k are relatively easy and accessible to most fitness levels.","Expect a buzzing race village with music and food vendors. The marathon has a serious but supportive vibe among runners, with plenty of encouragement from spectators along the course. The shorter races have a more relaxed and fun atmosphere.","Due to the flat course, expect the possibility of wind, especially along the coastal sections. Check the weather forecast and plan your clothing accordingly."
