Pub Name,Region,Location,Website,Phone,Food Served,Real Ale,Dog Friendly,Muddy Boots,Fireplace,Beer Garden,Sunday Roast,Near Attraction,Google Rating,Price Level,description
The Vaynol Arms,Snowdonia,Nant Peris,http://www.vainolarms.co.uk,01286 872675,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Snowdon / Llanberis Pass,4.5,££,"A legendary mountaineer's pub right at the foot of the Llanberis Pass. It's the perfect spot to rehydrate after tackling Snowdon or Crib Goch. The walls are adorned with climbing memorabilia, and the atmosphere is always buzzing with hikers swapping stories. Hearty food and a great selection of ales."
The Heights,Snowdonia,Llanberis,http://www.theheightsllanberis.co.uk,01286 871179,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Snowdon / Llyn Padarn,4.0,££,"A true hub for the outdoor community in Llanberis. Known for its laid-back vibe, it's where climbers, paddlers, and runners congregate. The food is solid pub grub, perfect for refueling, and they have a spacious beer garden for sunny days. Often hosts live music and events."
Ty Coch Inn,Llŷn Peninsula,Porthdinllaen,http://www.tycoch.co.uk,01758 720498,Yes,Yes,Yes,Yes,Yes,Yes,No,Porthdinllaen Beach / Coastal Path,4.5,££,"Consistently voted one of the best beach bars in the world. Accessible only by foot along the beach or across the golf course, this pub is an adventure in itself to reach. Sitting on the sea wall with a pint watching the waves is an unforgettable Welsh experience."
The Black Boy Inn,Snowdonia,Caernarfon,http://www.black-boy-inn.com,01286 673023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Caernarfon Castle,4.5,££,"One of the oldest inns in North Wales, dating back to 1522. It oozes history with low beams and roaring fires. Located within the medieval town walls, it's a great base for exploring the castle and nearby mountains. The food is excellent, focusing on local Welsh produce."
The Gwydyr Hotel,Snowdonia,Betws-y-Coed,http://www.gwydyrhotel.co.uk,01690 710217,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gwydyr Forest / Marin Trail,4.0,££,"Ideally situated in the heart of Betws-y-Coed, this historic hotel and pub is a favorite amongst mountain bikers riding the Marin Trail. It offers a warm welcome, plenty of space for muddy gear, and hearty meals to satisfy a post-ride appetite."
The Royal Oak,Snowdonia,Betws-y-Coed,http://www.royaloakhotel.net,01690 710219,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Swallow Falls / Gwydyr Forest,4.5,££,"A grand former coaching inn that dominates the village center. It's a bustling spot with a choice of bars, including a hikers' bar where boots are definitely welcome. Great food, local ales, and a perfect central location for exploring the National Park."
The Saracens Head,Snowdonia,Beddgelert,http://www.saracens-head.co.uk,01766 890223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Aberglaslyn Pass / Gelert's Grave,4.5,££,"Located in the picturesque village of Beddgelert, this pub is a gem. It offers fantastic food and a cozy atmosphere after a walk through the stunning Aberglaslyn Pass. The beer garden is a lovely spot to relax by the river in the summer."
The Snowdonia Parc,Snowdonia,Waunfawr,http://www.snowdonia-parc.co.uk,01286 650409,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Welsh Highland Railway / Moel Eilio,4.5,££,"This brewpub has its own microbrewery on-site, serving award-winning real ales. It's situated right next to the Welsh Highland Railway station and has a campsite, making it a fantastic base for a weekend of steam trains and hiking Moel Eilio."
The Eagles Hotel,Snowdonia,Llanrwst,http://www.eagleshotel.co.uk,01492 640454,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gwydyr Forest,4.0,££,"An 18th-century coaching inn on the banks of the River Conwy. It's a great stop for those exploring the Gwydyr Forest or heading towards the coast. Good traditional pub food and a friendly local atmosphere."
The Bryn Tyrch,Snowdonia,Capel Curig,http://www.bryntyrchinn.co.uk,01690 720223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Tryfan / Glyderau,4.5,£££,"With stunning views towards Moel Siabod, the Bryn Tyrch is a cut above your average pub. It specializes in high-quality local food and has a great selection of craft beers. A perfect treat after a hard day scrambling on Tryfan."
Tyn-y-Coed Inn,Snowdonia,Capel Curig,http://www.tyn-y-coed.co.uk,01690 720331,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moel Siabod / Plas y Brenin,4.5,££,"Ideally located for the peaks of the Glyderau and Carneddau. Known for its 'stagecoach' bar and welcoming atmosphere. It's a classic climber's pub, full of character and offering solid, hearty meals."
The Cross Foxes,Snowdonia,Dolgellau,http://www.crossfoxes.co.uk,01341 421001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cadair Idris,4.5,£££,"Situated at the foot of Cadair Idris, this is more of a bar and grill but welcomes walkers with open arms. The building is beautifully renovated, and the food is excellent. A slightly more upscale option for a post-hike meal."
The Unicorn,Snowdonia,Dolgellau,https://www.facebook.com/TheUnicornDolgellau/,01341 423746,Yes,Yes,Yes,Yes,Yes,No,Yes,Coed y Brenin / Mawddach Trail,4.5,££,"A traditional Welsh pub in the heart of Dolgellau. It's famous for its warm welcome and excellent pint of Guinness. A great spot to mix with locals and listen to some stories after riding at Coed y Brenin."
The Ship Inn,Snowdonia,Porthmadog,http://www.shipinnporthmadog.co.uk,01766 512990,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ffestiniog Railway / Coast,4.0,££,"A classic maritime pub with a wealth of history. Good food, good beer, and a convenient location for the Ffestiniog Railway and the coast. It has a real traditional feel with slate floors and open fires."
The Sloop Inn,Pembrokeshire,Porthgain,http://www.sloop.co.uk,01348 831249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pembrokeshire Coast Path,4.5,££,"Located in the tiny fishing harbour of Porthgain, The Sloop is an institution. Historic, full of character, and serving fresh local seafood (often landed right outside). It's a must-visit when walking the Pembrokeshire Coast Path."
The Old Point House,Pembrokeshire,Angle,http://www.oldpointhouse.wales,01646 641205,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Angle Peninsula,4.5,££,"Known as the 'pub on the point', this remote spot is reached by a tidal causeway (accessible at most tides). Famous for its seaweed dishes and fresh seafood. A truly unique location perfect for coastal explorers."
The Stackpole Inn,Pembrokeshire,Stackpole,http://www.stackpoleinn.co.uk,01646 672324,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Barafundle Bay / Bosherston Lily Ponds,5.0,£££,"An award-winning pub close to the stunning Barafundle Bay. The food here is exceptional, focusing on high-quality local ingredients. It's the perfect end to a walk around the Lily Ponds."
The Druidstone Hotel,Pembrokeshire,Druidstone,http://www.druidstone.co.uk,01437 781221,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Druidstone Haven,4.5,££,"Perched on the cliff edge with breathtaking views over the Atlantic. The cellar bar is legendary – rustic, bohemian, and incredibly welcoming. A cult favourite among those who know Pembrokeshire well."
The Golden Lion,Pembrokeshire,Newport,http://www.goldenlionpembrokeshire.co.uk,01239 820321,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Carningli Mountain / Coast Path,4.5,££,"A lively and popular pub in Newport. Great for food, local ales, and often hosts live music. It's a bustling hub for hikers coming off the Preseli Hills or the Coast Path."
The Farmers Arms,Pembrokeshire,St Davids,http://www.farmersst-davids.co.uk,01437 721666,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St Davids Cathedral / Whitesands Bay,4.0,££,"A traditional pub in the heart of Britain's smallest city. Good pub grub and a great sun terrace for the summer months. Close to the Cathedral and the surfing beach at Whitesands."
The Bishops,Pembrokeshire,St Davids,http://www.thebish.co.uk,01437 720422,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St Davids Cathedral,4.0,££,"Another St Davids staple, offering views of the Cathedral. It's a popular spot with both locals and tourists, serving generous portions of food and a good selection of drinks."
The Harbour Inn,Pembrokeshire,Solva,http://www.theharbourinnsolva.co.uk,01437 720013,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Solva Harbour / Coast Path,4.5,££,"Ideally situated right on the harbour wall in Solva. It's the perfect place to watch the tide come in with a pint and some fresh crab sandwiches. Very dog friendly and welcoming to muddy boots."
The Cambrian Inn,Pembrokeshire,Solva,http://www.thecambrianinn.co.uk,01437 721210,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Solva,4.5,£££,"A smarter dining pub in Upper Solva. Known for its burgers and seafood. A great option if you want something a little more substantial after a long day on the coast path."
The Cresselly Arms,Pembrokeshire,Cresswell Quay,https://www.facebook.com/TheCressellyArms/,01646 651210,No,Yes,Yes,Yes,Yes,Yes,No,Cleddau Estuary,4.5,£,"A timeless classic. This pub has barely changed in decades. Set right on the tidal quay, it's perfect for a pint at high tide. Simple, no-nonsense, and incredibly atmospheric. Note: check food availability, often just rolls/pies."
The Griffin Inn,Pembrokeshire,Dale,http://www.griffininndale.co.uk,01646 636227,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Dale Peninsula,4.5,££,"A fantastic seafood pub right on the water in Dale. Much of the seafood is caught by the pub's own boat. A must-visit for foodies and sailors alike."
The Royal Oak,Pembrokeshire,Fishguard,http://www.royaloakfishguard.co.uk,01348 872514,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fishguard Harbour,4.0,££,"Steeped in history – this is where the treaty was signed after the Last Invasion of Britain in 1797. A traditional pub with plenty of stories to tell."
The Bear Hotel,Brecon Beacons,Crickhowell,http://www.bearhotel.co.uk,01873 810408,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Table Mountain / Sugar Loaf,4.5,£££,"A famous coaching inn dating back to 1432. It has heaps of character with oak beams and open fires. The food is excellent, and it's a perfect base for walking in the Black Mountains."
The Dragon's Back,Brecon Beacons,Pengenffordd,http://www.dragonsback.co.uk,01874 711353,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Waun Fach / Black Mountains,4.0,££,"The highest pub in the Brecon Beacons (literally). It's a bunkhouse and pub combined, catering specifically to hikers and bikers. Simple, honest food and a great location for tackling the highest peaks in the Black Mountains."
