slug,image_url,width,height,license,author,source_url,title
newborough,https://upload.wikimedia.org/wikipedia/commons/0/0a/A_toy_gun_at_Llanddwyn_beach.jpg,6332,4228,CC BY-SA 4.0,Satdeep Gill,https://commons.wikimedia.org/wiki/File:A_toy_gun_at_Llanddwyn_beach.jpg,A toy gun at Llanddwyn beach.jpg
newborough,https://upload.wikimedia.org/wikipedia/commons/e/e6/Llanddwyn_Bay_-_geograph.org.uk_-_4032346.jpg,3872,2592,CC BY-SA 2.0,John Winder,https://commons.wikimedia.org/wiki/File:Llanddwyn_Bay_-_geograph.org.uk_-_4032346.jpg,Llanddwyn Bay - geograph.org.uk - 4032346.jpg
newborough,https://upload.wikimedia.org/wikipedia/commons/e/e2/Newborough_Beach%2C_Anglesey_-_panoramio.jpg,2048,1536,CC BY 3.0,James Merrington (Me…,"https://commons.wikimedia.org/wiki/File:Newborough_Beach,_Anglesey_-_panoramio.jpg","Newborough Beach, Anglesey - panoramio.jpg"
newborough,https://upload.wikimedia.org/wikipedia/commons/2/20/Newborough_Beach%2C_Anglesey_-_panoramio_%281%29.jpg,2048,1536,CC BY 3.0,James Merrington (Me…,"https://commons.wikimedia.org/wiki/File:Newborough_Beach,_Anglesey_-_panoramio_(1).jpg","Newborough Beach, Anglesey - panoramio (1).jpg"
newborough,https://upload.wikimedia.org/wikipedia/commons/8/86/Newborough_Beach%2C_Anglesey_-_panoramio_%282%29.jpg,2048,1536,CC BY 3.0,James Merrington (Me…,"https://commons.wikimedia.org/wiki/File:Newborough_Beach,_Anglesey_-_panoramio_(2).jpg","Newborough Beach, Anglesey - panoramio (2).jpg"
newborough,https://upload.wikimedia.org/wikipedia/commons/d/dc/Newborough_Beach%2C_Anglesey_-_panoramio_%283%29.jpg,2048,1536,CC BY 3.0,James Merrington (Me…,"https://commons.wikimedia.org/wiki/File:Newborough_Beach,_Anglesey_-_panoramio_(3).jpg","Newborough Beach, Anglesey - panoramio (3).jpg"
newborough,https://upload.wikimedia.org/wikipedia/commons/f/f6/Pilgrimage_route_on_the_Island_of_the_Blessed_%28Ynys_Llanddwyn_Island%29_05.jpg,4032,3024,CC BY-SA 4.0,Samysusan,https://commons.wikimedia.org/wiki/File:Pilgrimage_route_on_the_Island_of_the_Blessed_(Ynys_Llanddwyn_Island)_05.jpg,Pilgrimage route on the Island of the Blessed (Ynys Llanddwyn Island) 05.jpg
newborough,https://upload.wikimedia.org/wikipedia/commons/0/01/Sand_castle_at_Llanddwyn_beach._%2828264910076%29.jpg,4082,2864,CC BY-SA 2.0,Hefin Owen from Wales,https://commons.wikimedia.org/wiki/File:Sand_castle_at_Llanddwyn_beach._(28264910076).jpg,Sand castle at Llanddwyn beach. (28264910076).jpg
newborough,https://upload.wikimedia.org/wikipedia/commons/f/f9/September_shoreline%2C_Llanddwyn_Bay_-_geograph.org.uk_-_7631401.jpg,1024,768,CC BY-SA 2.0,Enid Astley,"https://commons.wikimedia.org/wiki/File:September_shoreline,_Llanddwyn_Bay_-_geograph.org.uk_-_7631401.jpg","September shoreline, Llanddwyn Bay - geograph.org.uk - 7631401.jpg"
newborough,https://upload.wikimedia.org/wikipedia/commons/a/ae/The_beach_at_Llanddwyn_Bay_-_geograph.org.uk_-_4143640.jpg,2926,1873,CC BY-SA 2.0,MrC,https://commons.wikimedia.org/wiki/File:The_beach_at_Llanddwyn_Bay_-_geograph.org.uk_-_4143640.jpg,The beach at Llanddwyn Bay - geograph.org.uk - 4143640.jpg
