spot_slug,image_url,source,license,author,attribution_text,width,height,description
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/5/5d/Llanberis_Path%2C_Snowdonia_%289482718281%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,3000,4000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/7/78/Llanberis_Path%2C_Snowdonia_%289482732699%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,4320,2432,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/6/68/Llanberis_Path%2C_Snowdonia_%289482736983%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,4000,3000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/b/ba/Llanberis_Path%2C_Snowdonia_%289482741197%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,3000,4000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/5/54/Llanberis_Path%2C_Snowdonia_%289482745699%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,4000,3000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/0/06/Llanberis_Path%2C_Snowdonia_%289485510524%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,3000,4000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/5/57/Llanberis_Path%2C_Snowdonia_%289485518542%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,3000,4000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/5/5d/Llanberis_Path%2C_Snowdonia_%289485522696%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,4000,3000,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/0/0e/Llanberis_Path%2C_Snowdonia_%289485526352%29.jpg,Wikimedia Commons,CC BY 2.0,Rob Young from United Kingdom,Rob Young from United Kingdom (CC BY 2.0) via Wikimedia Commons,4320,2432,"Llanberis Path, Snowdonia"
snowdon-llanberis,https://upload.wikimedia.org/wikipedia/commons/3/35/Llyn_Padarn%2C_Snowdonia_National_Park_%2850505273417%29.jpg,Wikimedia Commons,CC BY 2.0,JackPeasePhotography,JackPeasePhotography (CC BY 2.0) via Wikimedia Commons,7952,5304,"After a long break from Flickr, I'm back with photos from a recent trip to Snowdonia National Park.

First up is Llyn Padarn, with the famous 'Lone Tree' visible on the left. Llyn Padarn is a beautiful glacial ribbon lake situated on the north-western extremity of Snowdonia National Park. It is ..."
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/d/da/Gaeaf_yr_Wyddfa.jpg,Wikimedia Commons,CC BY-SA 4.0,Mazaruni,Mazaruni (CC BY-SA 4.0) via Wikimedia Commons,4608,2592,Snowdon Pyg track in the snow
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Pen_Y_Pass_-_Flickr_-_Petersrockypics.jpg,Wikimedia Commons,CC BY-SA 2.0,Petersrockypics,Petersrockypics (CC BY-SA 2.0) via Wikimedia Commons,1920,1280,"Pen-y-Pass is a mountain pass in Eryri/Snowdonia, Gwynedd, north-west Wales. It is a popular location from which to walk up Yr Wyddfa/Snowdon, as three of the popular routes (the Miners Track, the Pyg Track and the ascent via Crib Goch) can be started here. Glyder Fawr, to the north, is also acce..."
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/9/91/Pyg_Track%2C_Snowdon_-_panoramio.jpg,Wikimedia Commons,CC BY 3.0,Andrew Woodvine (awo…,Andrew Woodvine (awo… via Wikimedia Commons,5184,3456,"Pyg Track, Snowdon"
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/a/ae/On_Snowdon%27s_Pyg_Track_-_geograph.org.uk_-_4167699.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,On Snowdon's Pyg Track by Gareth James via Wikimedia Commons,3743,2807,On Snowdon's Pyg Track
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/6/6c/On_Snowdon%27s_Pyg_Track_-_geograph.org.uk_-_4167701.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,On Snowdon's Pyg Track by Gareth James via Wikimedia Commons,3816,2862,On Snowdon's Pyg Track
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/4/4e/On_Snowdon%27s_Pyg_Track_-_geograph.org.uk_-_4167706.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,On Snowdon's Pyg Track by Gareth James via Wikimedia Commons,3816,2862,On Snowdon's Pyg Track
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/d/d2/On_Snowdon%27s_Pyg_Track_-_geograph.org.uk_-_4167710.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,On Snowdon's Pyg Track by Gareth James via Wikimedia Commons,3807,2855,On Snowdon's Pyg Track
