id,type,name,slug,region,source_file,data_completeness,status,notes
e7c75be31e,accommodation,Aberafon Camping,aberafon-camping,llyn-peninsula,content/accommodation.csv,0.57,csv-only,
6b719f5051,accommodation,Aberbran Fawr,aberbran-fawr,brecon-beacons,content/accommodation.csv,0.57,csv-only,
654b4abb83,accommodation,Aberdaron YHA,aberdaron-yha,Aberdaron,content/accommodation.csv,0.71,csv-only,
9d8b185d74,accommodation,Abersoch YHA,abersoch-yha,Abersoch,content/accommodation.csv,0.71,csv-only,
6024bfe6e2,accommodation,Aberystwyth YHA,aberystwyth-yha,Aberystwyth,content/accommodation.csv,0.71,csv-only,
69039ddc42,accommodation,Anglesey Outdoor Centre,anglesey-outdoor-centre,Holyhead,content/accommodation.csv,0.71,csv-only,
1ca3c57017,accommodation,Apple Camping,apple-camping,Redberth,content/accommodation.csv,0.71,csv-only,
f7bee45e3f,accommodation,Arete Outdoor Centre,arete-outdoor-centre,Llanrug,content/accommodation.csv,0.71,csv-only,
114071a9e7,accommodation,Away From It All,away-from-it-all,Pwllheli,content/accommodation.csv,0.71,csv-only,
f9e5384a24,accommodation,Bala Backpackers,bala-backpackers,Bala,content/accommodation.csv,0.71,csv-only,
7fe6e38160,accommodation,Bank Farm,bank-farm,gower,content/accommodation.csv,0.57,csv-only,
9f08d87d1e,accommodation,Base Camp Snowdonia,base-camp-snowdonia,Betws-y-Coed,content/accommodation.csv,0.71,csv-only,
10c47db4e6,accommodation,Beddgelert Campsite,beddgelert-campsite,snowdonia,content/accommodation.csv,0.57,csv-only,
51b3b8dfaf,accommodation,Ben's Bunkhouse,ben-s-bunkhouse,Nant Peris,content/accommodation.csv,0.71,csv-only,
bfd387ad9c,accommodation,Bolmynydd Camping Park,bolmynydd-camping-park,llyn-peninsula,content/accommodation.csv,0.57,csv-only,
bd5987619d,accommodation,Borth YHA,borth-yha,Borth,content/accommodation.csv,0.71,csv-only,
5fc10d1748,accommodation,Brecon Bunkhouse,brecon-bunkhouse,Talgarth,content/accommodation.csv,0.71,csv-only,
18911f6f79,accommodation,Broadhaven Camping,broadhaven-camping,Broadhaven,content/accommodation.csv,1.00,csv-only,
8078355b62,accommodation,Buckspool Farm,buckspool-farm,pembrokeshire,content/accommodation.csv,0.57,csv-only,
5fce1cb48d,accommodation,Caerfai Bay Caravan & Tent Park,caerfai-bay-caravan-and-tent-park,pembrokeshire,content/accommodation.csv,0.57,csv-only,
df4cd5001f,accommodation,Caerhafod Lodge,caerhafod-lodge,St Davids,content/accommodation.csv,0.71,csv-only,
dd66c16035,accommodation,Cantref Camping,cantref-camping,brecon-beacons,content/accommodation.csv,0.57,csv-only,
216ea41f4d,accommodation,Celtic Camping,celtic-camping,pembrokeshire,content/accommodation.csv,0.57,csv-only,
d202213680,accommodation,Celtic Woodland Holidays,celtic-woodland-holidays,Builth Wells,content/accommodation.csv,0.71,csv-only,
a25762dd9c,accommodation,Cemaes Bay Caravan Park,cemaes-bay-caravan-park,Cemaes Bay,content/accommodation.csv,1.00,csv-only,
9097e83f4c,accommodation,Church Bay Cottages,church-bay-cottages,Church Bay,content/accommodation.csv,0.71,csv-only,
e02fbdcb0e,accommodation,Clarach Bay Holiday Village,clarach-bay-holiday-village,mid-wales,content/accommodation.csv,0.57,csv-only,
c988ee762c,accommodation,Clyngwyn Bunkhouse,clyngwyn-bunkhouse,Pontneddfechan,content/accommodation.csv,0.71,csv-only,
19fd2a4699,accommodation,Conwy Valley Backpackers Barn,conwy-valley-backpackers-barn,"Tal-y-Bont, Conwy",content/accommodation.csv,0.71,csv-only,
f07a1b4fd7,accommodation,Corris Hostel,corris-hostel,Corris,content/accommodation.csv,0.71,csv-only,
b5e204cd70,accommodation,Cosy Under Canvas,cosy-under-canvas,Newchurch,content/accommodation.csv,0.71,csv-only,
4a46e6d90f,accommodation,Craig y Nos Castle,craig-y-nos-castle,Ystradgynlais,content/accommodation.csv,0.71,csv-only,
6fa36d17da,accommodation,Crashpad Lodges at Yr Helfa,crashpad-lodges-at-yr-helfa,Llanberis,content/accommodation.csv,0.71,csv-only,
0c0d6b2ecf,accommodation,Criccieth YHA,criccieth-yha,Criccieth,content/accommodation.csv,0.71,csv-only,
857899f527,accommodation,Cwellyn Arms Campsite,cwellyn-arms-campsite,snowdonia,content/accommodation.csv,0.57,csv-only,
18fb23a8c1,accommodation,Cwmdu Campsite,cwmdu-campsite,brecon-beacons,content/accommodation.csv,0.57,csv-only,
14a9fc7fc4,accommodation,Cwtsh Hostel,cwtsh-hostel,Swansea,content/accommodation.csv,0.71,csv-only,
eed26e29ca,accommodation,Dolgam Campsite,dolgam-campsite,snowdonia,content/accommodation.csv,0.57,csv-only,
864df804d2,accommodation,Dolgellau YHA,dolgellau-yha,Dolgellau,content/accommodation.csv,0.71,csv-only,
99bd7a2836,accommodation,Driftwood Guest House,driftwood-guest-house,Rhosneigr,content/accommodation.csv,0.71,csv-only,
2f6a2a47bc,accommodation,Dwyros Campsite,dwyros-campsite,llyn-peninsula,content/accommodation.csv,0.57,csv-only,
450acb495d,accommodation,Elan Oaks,elan-oaks,mid-wales,content/accommodation.csv,0.57,csv-only,
0a2209d1b8,accommodation,Elan Valley Hotel,elan-valley-hotel,Elan Valley,content/accommodation.csv,0.71,csv-only,
f3ce87d46f,accommodation,Fairyhill,fairyhill,Reynoldston,content/accommodation.csv,0.71,csv-only,
8f83915681,accommodation,Fforest Farm,fforest-farm,Cardigan,content/accommodation.csv,0.71,csv-only,
5d3919a8f4,accommodation,Fforest Fields,fforest-fields,mid-wales,content/accommodation.csv,0.57,csv-only,
a915c224c2,accommodation,Florence Springs,florence-springs,Tenby,content/accommodation.csv,0.71,csv-only,
7b3b8f8968,accommodation,Forest Holidays Beddgelert,forest-holidays-beddgelert,Beddgelert,content/accommodation.csv,0.71,csv-only,
cc8217a383,accommodation,Freshwater East Caravan Club,freshwater-east-caravan-club,pembrokeshire,content/accommodation.csv,0.57,csv-only,
1109afa797,accommodation,Gower Cottage,gower-cottage,Various,content/accommodation.csv,0.71,csv-only,
3bf3b93930,accommodation,Graig Wen,graig-wen,Dolgellau,content/accommodation.csv,1.00,csv-only,
53f47c9482,accommodation,Grawen Camping,grawen-camping,Merthyr Tydfil,content/accommodation.csv,1.00,csv-only,
e66924ee86,accommodation,Gwern Gof Isaf,gwern-gof-isaf,snowdonia,content/accommodation.csv,0.57,csv-only,
1b7e3011ef,accommodation,Gwern Gof Uchaf,gwern-gof-uchaf,snowdonia,content/accommodation.csv,0.57,csv-only,
adcb1e900d,accommodation,Hafren Forest Hideaway,hafren-forest-hideaway,Staylittle,content/accommodation.csv,0.71,csv-only,
bdd1fef71f,accommodation,Hardingsdown Bunkhouse,hardingsdown-bunkhouse,"Llangennith, Gower",content/accommodation.csv,0.71,csv-only,
d5d364feeb,accommodation,Hillend Camping,hillend-camping,gower,content/accommodation.csv,0.57,csv-only,
c1c4e57208,accommodation,Home Farm Caravan Park,home-farm-caravan-park,anglesey,content/accommodation.csv,0.57,csv-only,
e4afa9bab7,accommodation,Hungerford Farm,hungerford-farm,pembrokeshire,content/accommodation.csv,0.57,csv-only,
3f0051da33,accommodation,Kingsbridge Caravan Park,kingsbridge-caravan-park,anglesey,content/accommodation.csv,0.57,csv-only,
e4fcf9617f,accommodation,Lake Vyrnwy Hotel,lake-vyrnwy-hotel,Lake Vyrnwy,content/accommodation.csv,0.71,csv-only,
63126715a0,accommodation,Living Room Treehouses,living-room-treehouses,Machynlleth,content/accommodation.csv,0.71,csv-only,
f3f4314194,accommodation,Llanbedrog Beach Huts,llanbedrog-beach-huts,Llanbedrog,content/accommodation.csv,1.00,csv-only,
eefaef80d2,accommodation,Llandudno Hostel,llandudno-hostel,Llandudno,content/accommodation.csv,0.71,csv-only,
ed8bb121b1,accommodation,Llangennith Campsite,llangennith-campsite,Llangennith,content/accommodation.csv,0.71,csv-only,
64b25a0dfa,accommodation,Llangollen Hostel,llangollen-hostel,Llangollen,content/accommodation.csv,0.71,csv-only,
1ae20febeb,accommodation,Llangorse Multi Activity Centre,llangorse-multi-activity-centre,Llangorse,content/accommodation.csv,0.71,csv-only,
98b8b93678,accommodation,Llanthony Priory Hotel,llanthony-priory-hotel,Llanthony,content/accommodation.csv,0.71,csv-only,
5a0997d934,accommodation,Llechwedd Glamping,llechwedd-glamping,snowdonia,content/accommodation.csv,0.57,csv-only,
88e27ea3dc,accommodation,Llwyngwern Farm,llwyngwern-farm,mid-wales,content/accommodation.csv,0.57,csv-only,
8afcf0f9aa,accommodation,Llyn Gwynant Campsite,llyn-gwynant-campsite,snowdonia,content/accommodation.csv,0.57,csv-only,
6946c3bcad,accommodation,Lodge Dinorwig Hostel,lodge-dinorwig-hostel,"Dinorwig, Caernarfon",content/accommodation.csv,0.71,csv-only,
b030484fc5,accommodation,Machynlleth YHA,machynlleth-yha,Machynlleth,content/accommodation.csv,0.71,csv-only,
157fb277ba,accommodation,Morawelon House,morawelon-house,Rhosneigr,content/accommodation.csv,0.71,csv-only,
eece4c78d6,accommodation,Nefyn Golf Club Accommodation,nefyn-golf-club-accommodation,Nefyn,content/accommodation.csv,0.71,csv-only,
e4b239a83d,accommodation,Newborough Forest Campsite,newborough-forest-campsite,Newborough,content/accommodation.csv,1.00,csv-only,
6cebb103f9,accommodation,Newgale Campsite,newgale-campsite,Newgale,content/accommodation.csv,1.00,csv-only,
6da545913a,accommodation,Nicholaston Farm,nicholaston-farm,gower,content/accommodation.csv,0.57,csv-only,
e3d1029286,accommodation,Oxwich Bay Hotel,oxwich-bay-hotel,Oxwich,content/accommodation.csv,0.71,csv-only,
f601be3d0b,accommodation,Pen-y-Bont,pen-y-bont,anglesey,content/accommodation.csv,0.57,csv-only,
1b8dfc715d,accommodation,Pencelli Castle Caravan & Camping Park,pencelli-castle-caravan-and-camping-park,brecon-beacons,content/accommodation.csv,0.57,csv-only,
6149b8c2b0,accommodation,Penstar Bunkhouse,penstar-bunkhouse,Libanus,content/accommodation.csv,0.71,csv-only,
5cdfc03f2f,accommodation,Pitton Cross Campsite,pitton-cross-campsite,Rhosili,content/accommodation.csv,1.00,csv-only,
c5389ab819,accommodation,Plas Menai,plas-menai,Caernarfon,content/accommodation.csv,0.71,csv-only,
afd6c2d977,accommodation,Plas Menai Accommodation,plas-menai-accommodation,Caernarfon,content/accommodation.csv,0.71,csv-only,
7887f6927b,accommodation,Plas y Brenin,plas-y-brenin,Capel Curig,content/accommodation.csv,0.71,csv-only,
bd0183e990,accommodation,Platts Farm,platts-farm,Llanfairfechan,content/accommodation.csv,1.00,csv-only,
67f9a8a803,accommodation,Port Eynon Beach Campsite,port-eynon-beach-campsite,Port Eynon,content/accommodation.csv,1.00,csv-only,
1b6a748229,accommodation,Porthclais Campsite,porthclais-campsite,pembrokeshire,content/accommodation.csv,0.57,csv-only,
07bb24f647,accommodation,Portmeirion Village,portmeirion-village,Minffordd,content/accommodation.csv,0.71,csv-only,
4bb9fbe786,accommodation,Premier Inn Merthyr Tydfil,premier-inn-merthyr-tydfil,Merthyr Tydfil,content/accommodation.csv,0.71,csv-only,
199d32a97f,accommodation,Preseli Venture Eco Lodge,preseli-venture-eco-lodge,Mathry,content/accommodation.csv,0.71,csv-only,
b34ecc4e21,accommodation,Priory Mill Farm,priory-mill-farm,brecon-beacons,content/accommodation.csv,0.57,csv-only,
1ef5adb196,accommodation,Pwllheli Marina Apartments,pwllheli-marina-apartments,Pwllheli,content/accommodation.csv,0.71,csv-only,
248935484a,accommodation,Red Kite Tree Tent,red-kite-tree-tent,Newbridge-on-Wye,content/accommodation.csv,0.71,csv-only,
e681733e15,accommodation,Relais & Châteaux Palé Hall,relais-and-ch-teaux-pal-hall,Bala,content/accommodation.csv,0.71,csv-only,
a4707f8c98,accommodation,Rhosili Bunkhouse,rhosili-bunkhouse,Rhosili,content/accommodation.csv,0.71,csv-only,
0603046f23,accommodation,Rhosneigr Bunkhouse,rhosneigr-bunkhouse,Rhosneigr,content/accommodation.csv,0.71,csv-only,
1dddd57171,accommodation,Riverside Caravan Park,riverside-caravan-park,brecon-beacons,content/accommodation.csv,0.57,csv-only,
41d5c11a03,accommodation,Riverside Pods,riverside-pods,Betws-y-Coed,content/accommodation.csv,0.71,csv-only,
dcb10ee114,accommodation,Roch Castle,roch-castle,Roch,content/accommodation.csv,0.71,csv-only,
5c78d90570,accommodation,Sea Breeze Apartment,sea-breeze-apartment,Rhosneigr,content/accommodation.csv,0.71,csv-only,
6e980f3595,accommodation,Sealyham Activity Centre,sealyham-activity-centre,Sealyham,content/accommodation.csv,0.71,csv-only,
79146b8782,accommodation,Shell Island,shell-island,snowdonia,content/accommodation.csv,0.57,csv-only,
5627123753,accommodation,Shoreside Caravan & Camping Park,shoreside-caravan-and-camping-park,anglesey,content/accommodation.csv,0.57,csv-only,
19dfff08c7,accommodation,Skysea Caravan & Camping,skysea-caravan-and-camping,gower,content/accommodation.csv,0.57,csv-only,
761eced7d7,accommodation,Slate Mountain Glamping,slate-mountain-glamping,Blaenau Ffestiniog,content/accommodation.csv,0.71,csv-only,
c7f8755c38,accommodation,Snowdonia Mountain Hostel,snowdonia-mountain-hostel,"Nant Ffrancon, Bangor",content/accommodation.csv,0.71,csv-only,
584d9d6d71,accommodation,St Briavels Castle (YHA),st-briavels-castle-yha,Lydney,content/accommodation.csv,0.71,csv-only,
85b14ccee6,accommodation,St Davids YHA,st-davids-yha,St Davids,content/accommodation.csv,0.71,csv-only,
4d4cbb694b,accommodation,St Madoc Centre,st-madoc-centre,"Llanmadoc, Gower",content/accommodation.csv,0.71,csv-only,
dd98e5b03c,accommodation,Stackpole Centre (National Trust),stackpole-centre-national-trust,Stackpole,content/accommodation.csv,1.00,csv-only,
b6d192231d,accommodation,Surf's Edge Apartment,surf-s-edge-apartment,Rhosneigr,content/accommodation.csv,0.71,csv-only,
0fe27fb028,accommodation,The Grove Hotel,the-grove-hotel,Narberth,content/accommodation.csv,0.71,csv-only,
4dd917e0db,accommodation,The King Arthur Hotel,the-king-arthur-hotel,Reynoldston,content/accommodation.csv,0.71,csv-only,
dbad04a861,accommodation,The laundry @ Brecon,the-laundry-brecon,Brecon,content/accommodation.csv,0.71,csv-only,
7bf73701f6,accommodation,The Lodge (Llandegla),the-lodge-llandegla,Llandegla,content/accommodation.csv,0.71,csv-only,
9938642658,accommodation,The Lodge (Staylittle),the-lodge-staylittle,Staylittle,content/accommodation.csv,0.71,csv-only,
1d0be5fe12,accommodation,The Rocks at Plas Curig,the-rocks-at-plas-curig,Capel Curig,content/accommodation.csv,0.71,csv-only,
c246a38b44,accommodation,The Snowdon Inn (Y Fricsan),the-snowdon-inn-y-fricsan,Llanberis,content/accommodation.csv,1.00,csv-only,
7766107fe5,accommodation,The Vaynol,the-vaynol,Abersoch,content/accommodation.csv,0.71,csv-only,
5244b40ee3,accommodation,Three Cliffs Bay Campsite,three-cliffs-bay-campsite,Three Cliffs,content/accommodation.csv,1.00,csv-only,
1d14a144e3,accommodation,Top of the Woods,top-of-the-woods,Boncath,content/accommodation.csv,0.71,csv-only,
c3bca73c2e,accommodation,Trearddur Bay Hotel,trearddur-bay-hotel,Trearddur Bay,content/accommodation.csv,0.71,csv-only,
48acdf663c,accommodation,Tregwynt Hotel,tregwynt-hotel,Fishguard,content/accommodation.csv,0.71,csv-only,
df396c461e,accommodation,Treks Bunkhouse,treks-bunkhouse,Ffestiniog,content/accommodation.csv,0.71,csv-only,
1a1c107e7c,accommodation,Trellyn Woodland Camping,trellyn-woodland-camping,pembrokeshire,content/accommodation.csv,0.57,csv-only,
5362a9163e,accommodation,Twin Trails B&B,twin-trails-bandb,Merthyr Tydfil,content/accommodation.csv,0.71,csv-only,
e523837d68,accommodation,Ty Coch Inn,ty-coch-inn,Morfa Nefyn,content/accommodation.csv,0.71,csv-only,
26e9bced6a,accommodation,Ty Coch Inn (Morfa Nefyn),ty-coch-inn-morfa-nefyn,Morfa Nefyn,content/accommodation.csv,0.71,csv-only,
db52443aca,accommodation,Ty Cwch Boathouse,ty-cwch-boathouse,"Cwmtydu, Llandysul",content/accommodation.csv,0.71,csv-only,
23cf4cb747,accommodation,Tyddyn Isaf,tyddyn-isaf,anglesey,content/accommodation.csv,0.57,csv-only,
1a8e89d89e,accommodation,Tyddyn Mawr (Porth Iago),tyddyn-mawr-porth-iago,llyn-peninsula,content/accommodation.csv,0.57,csv-only,
ec69433a54,accommodation,TYF Cliff-top Campsite,tyf-cliff-top-campsite,Porthclais,content/accommodation.csv,1.00,csv-only,
a6d252afbd,accommodation,Tyn-y-Mur,tyn-y-mur,llyn-peninsula,content/accommodation.csv,0.57,csv-only,
3923bfa12b,accommodation,Tynycornel Hotel,tynycornel-hotel,Tal-y-llyn,content/accommodation.csv,0.71,csv-only,
08df0f8d53,accommodation,Under the Thatch,under-the-thatch,Various,content/accommodation.csv,0.71,csv-only,
96a51ba505,accommodation,Waterfall Country Campsite,waterfall-country-campsite,Ystradfellte,content/accommodation.csv,1.00,csv-only,
