slug,name,type,region,lat,lon,trails_count,vertical_m,uplift,parking_free,parking_cost,cafe,bike_wash,bike_hire,bike_shop,showers,skills_area,website,phone,address,postcode,getting_there,nearest_station
coed-y-brenin,Coed y Brenin,trail-centre,snowdonia,52.8019,-3.8847,8,400,false,false,varies,true,true,true,true,true,true,https://www.beicsbrenin.co.uk,01341 440747,"Coed y Brenin Visitor Centre, Dolgellau",LL40 2HZ,"A470 north from Dolgellau, signed",Barmouth (15 miles)
bikepark-wales,BikePark Wales,bike-park,brecon-beacons,51.7589,-3.3711,47,300,true,true,0,true,true,true,true,true,true,https://www.bikeparkwales.com,01685 709450,"Gethin Woodland Centre, Abercanaid, Merthyr Tydfil",CF48 1YZ,"A470 from Cardiff, signed from roundabout",Pentre-Bach (1 mile)
antur-stiniog,Antur Stiniog,bike-park,snowdonia,52.9897,-3.9381,14,250,true,false,3,true,true,true,true,true,false,https://www.anturstiniog.com,01onal766 831100,"Blaenau Ffestiniog",LL41 3NB,"A470 to Blaenau Ffestiniog",Blaenau Ffestiniog (0.5 miles)
afan-forest,Afan Forest Park,trail-centre,south-wales,51.6147,-3.6089,6,450,false,false,3,true,true,true,true,false,false,https://www.mbwales.com/agents/afan-forest-park/,01639 850564,"Afan Forest Park Visitor Centre, Cynonville",SA13 3HG,"M4 J40, A4107 to Cynonville",Port Talbot Parkway (8 miles)
cwmcarn,Cwmcarn Forest,trail-centre,south-wales,51.6478,-3.1089,3,380,false,false,3,true,true,true,false,false,false,https://www.cwmcarn.co.uk,01011495 272001,"Cwmcarn Forest Drive, Crosskeys",NP11 7FA,"M4 J28, A467 north",Crosskeys (2 miles)
llandegla,Coed Llandegla,trail-centre,north-wales,53.0728,-3.2728,5,250,false,false,4,true,true,true,true,true,true,https://www.coedllandegla.com,01978 751656,"Llandegla Forest, near Wrexham",LL11 3AA,"A525 from Wrexham",Wrexham (12 miles)
nant-yr-arian,Nant yr Arian,trail-centre,mid-wales,52.4189,-3.9089,3,350,false,false,3,true,true,false,false,false,false,https://naturalresources.wales,01011970 890694,"Nant yr Arian, Ponterwyd",SY23 3AB,"A44 east of Aberystwyth",Aberystwyth (10 miles)
gwydir-forest,Gwydir Forest (Marin Trail),trail-centre,snowdonia,53.1089,-3.8089,2,800,false,false,0,false,false,false,false,false,false,https://www.mbwales.com/listings/gwydirmawrandbach/,none,"Llanrwst",LL26 0PT,"A5 to Betws-y-Coed area",Llanrwst (2 miles)
penmachno,Penmachno,trail-centre,snowdonia,53.0189,-3.8489,2,500,false,false,0,false,false,false,false,false,false,https://www.mbwales.com,none,"Penmachno village",LL24 0UU,"B4406 from Betws-y-Coed",Betws-y-Coed (5 miles)
dyfi-bike-park,Dyfi Bike Park,bike-park,mid-wales,52.5889,-3.8489,8,200,true,false,5,true,true,true,true,false,false,https://www.dyfibikepark.co.uk,none,"Corris, Machynlleth",SY20 9RF,"A487 to Corris",Machynlleth (7 miles)
revolution-bike-park,Revolution Bike Park,bike-park,north-wales,53.2089,-3.0489,12,150,true,false,10,true,true,true,true,false,false,https://revolutionbikepark.co.uk,01011244 550936,"Llanferres, near Mold",CH7 5LH,"A494 from Mold",Mold (8 miles)
