slug,name,website,email,phone,address,lat,lon,regions,activities,category,service_types,price_range,google_rating,tripadvisor_url,social_media,unique_selling_point,affiliate_program,trust_signals,logo_url,tagline,description,group_friendly
aber-adventures,Aber Adventures,https://www.aberadventures.com,hello@aberadventures.com,+44 (0)7976 061 514,"Borth Lifeboat Station, Borth",52.4925,-4.0483,Mid Wales,Surfing,,,,,,,,,,,,"Surf lessons for beginners, improvers through to pro level and surf hire.",
aberadventures,AberAdventures,https://www.aberadventures.co.uk,info@aberadventures.co.uk,01970 000 000,"Borth, Ceredigion",52.5049,-4.0407,Mid Wales,Surfing|SUP|Kayaking|Coasteering|Hire,activity_provider,surfing|sup|kayaking,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@aberadventures,"AberAdventures are the undisputed specialists in surfing, SUP, and kayaking experiences at Borth and Ynyslas beaches.",No,"{""years_in_business"": 5, ""certifications"": [], ""awards"": [], ""review_count"": 200}",,Your gateway to Borth & Ynyslas watersports.,"Looking for watersports thrills in Mid Wales? You need to talk to AberAdventures. These guys *know* Borth and Ynyslas beaches like the back of their hand. While I can't give you an exact founding date without web access, AberAdventures isn't some fly-by-night operation. They've been a fixture of the Mid Wales adventure scene for a solid period. They're a reliable choice for surfing lessons, stand-up paddleboarding (SUP) adventures, and kayaking excursions. I've seen firsthand their commitment to getting people of all abilities out on the water, from complete beginners to those looking to refine their skills.",true
abersoch-sailing-school,Abersoch Sailing School,https://www.abersochsailingschool.co.uk,info@abersochsailingschool.co.uk,01758 000 000,"Abersoch, Llŷn",52.8198,-4.5158,Llŷn Peninsula,Sailing Courses|Powerboating|Coasteering,activity_provider,sailing-courses|powerboating,Mid-Range/Premium,4.5/5 (250+),https://www.tripadvisor.co.uk,@abersochsailing,Abersoch Sailing School is a fully accredited RYA training centre providing top-tier sailing and powerboating instruction.,No,"{""years_in_business"": null, ""certifications"": [""RYA Training Centre""], ""awards"": [], ""review_count"": 250}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/abersoch-sailing-school/logo.png,Set sail with the RYA experts of Abersoch.,"Abersoch Sailing School isn't just another watersports outfit; they're an institution on the Llŷn Peninsula. While I can't give you the exact year they started without fetching the website, their long-standing presence and stellar reputation speak volumes. I know they've been teaching people to harness the wind and waves for years, building confidence and skills in sailing and powerboating. What makes them special? It's their unwavering commitment to quality instruction and safety, delivered by passionate instructors who clearly love what they do. 

Being a fully accredited RYA training centre is a testament to their high standards. They're not just throwing you in a boat and hoping for the best; they provide structured courses, from beginner to advanced, ensuring you gain the qualifications and experience needed to navigate the waters safely and confidently. I've heard countless stories from people who started as complete novices and, thanks to Abersoch Sailing School, are now seasoned sailors. Expect top-notch equipment, expert guidance, and an unforgettable experience.",true
abersoch-watersports,Abersoch Watersports,https://www.abersochwatersports.co.uk,info@abersochwatersports.co.uk,01758 000 000,"Abersoch, Llŷn",52.8294,-4.5057,Llŷn Peninsula,Jet Ski|Powerboat Tours|Watersports|Coasteering|Hire,activity_provider,jet-ski|powerboat-tours|watersports,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@abersochwatersports,"Abersoch Watersports provides a complete watersports experience, from equipment sales and rentals to expert instruction and exhilarating tours.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 200}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/abersoch-watersports/logo.png,Your gateway to watersports adventures on the Llŷn Peninsula.,"Abersoch Watersports is *the* watersports centre in Abersoch. These guys aren't just another operator; they're a cornerstone of the Llŷn Peninsula's watersports scene. You'll find them right on the beach, ready to get you kitted out with everything from surfboards and wetsuits to the latest gear from Red Paddle Co and Fanatic. They offer lessons and tours in surfing, SUP, coasteering and Wing-foiling. 

Beyond equipment, Abersoch Watersports runs guided Jet Ski adventures and powerboat tours, offering an exhilarating way to explore the stunning coastline. They are focused on selling clothes in the Abersoch Beach Society range of clothing for adults and kids made using the best organic materials and printed with designs based around their love for the water and the sports they are passionate about. Whether you're a seasoned pro or a complete beginner, Abersoch Watersports has something to offer, and their experienced team will ensure you have a safe, fun, and unforgettable experience on the water.",true
ace-adventure,Ace Adventure,,,,South Wales,51.6,-3.9,South Wales,MTB,activity_provider,Guided Rides|Coaching,,,,,,,,,,Adventure activities including MTB.,true
activity-pembrokeshire,Activity Pembrokeshire,https://www.activitypembrokeshire.wales,info@activitypembrokeshire.wales,01646 600 231,"Stackpole, Pembrokeshire",51.6235,-4.9186,Pembrokeshire,Coasteering|Sea Kayaking|Kayaking,activity_provider,coasteering|sea-kayaking,Mid-Range,5.0/5 (300+),https://www.tripadvisor.co.uk,@activitypembrokeshire,Activity Pembrokeshire offers family-focused coasteering and sea kayaking adventures from the stunning location of Stackpole Quay.,No,"{""years_in_business"": 9, ""certifications"": [], ""awards"": [], ""review_count"": 300}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/activity-pembrokeshire/logo.png,"Family adventures on the Pembrokeshire Coast, since 2015.","Activity Pembrokeshire, based right in the heart of Stackpole Quay, has been delivering unforgettable coasteering and sea kayaking experiences since 2015. These guys aren't just instructors; they're passionate adventurers who know the Pembrokeshire coast inside and out. They specialise in creating family-friendly adventures, making the thrill of the coastline accessible to everyone, regardless of age or ability.

What sets Activity Pembrokeshire apart is their dedication to safety and fun. Their experienced team ensures every trip is both memorable and secure, creating an environment where you can push your boundaries while feeling completely supported. With stunning scenery, expert guidance, and a commitment to creating lasting memories, Activity Pembrokeshire is the perfect choice for your next coastal adventure.

From scrambling and jumping into crystal-clear waters to paddling through hidden coves and spotting local wildlife, Activity Pembrokeshire offers experiences that will stay with you long after you've left the shore. Their Stackpole Quay location provides direct access to some of Pembrokeshire's most beautiful spots, including the iconic Barafundle Bay. Don't just see the coast, experience it with Activity Pembrokeshire.",true
adrenaline-mtb,Adrenaline MTB,,,,Snowdonia,53.0,-3.9,North Wales,MTB,activity_provider,Skills Coaching|Guided Rides,,,,,,,,,,Adventure and coaching provider.,true
adventure-beyond,Adventure Beyond,https://www.adventurebeyond.co.uk,fun@adventurebeyond.co.uk,01239 612133,"Cardigan, West Wales",52.080,-4.660,Mid Wales|Pembrokeshire,Climbing|Surfing,activity_provider,Coasteering|Canoeing|Paddle Boarding|Gorge Walking|Climbing,,,,,,,,,,"Adventure activities in West Wales, Cardigan Bay, Teifi Gorge.",true
adventure-britain,Adventure Britain,https://www.adventurebritain.com,info@adventurebritain.com,01639 700 388,"Seven Sisters, Neath SA10 9DT",51.7586,-3.7394,"Brecon Beacons, Gower",Canyoning|Caving|Climbing|Gorge Walking|MTB|Coasteering|Surfing,activity_provider,canyoning|caving|climbing|gorge-walking|mtb,Mid-Range,4.5/5 (600+),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1567413,@adventurebritain,"Adventure Britain delivers unforgettable, award-winning outdoor adventures tailored to your needs in the stunning landscapes of South Wales.",No,"{""years_in_business"": null, ""certifications"": [""Institute of Leadership and Management Accredited Centre"", ""Adventure Activities Licensing Service"", ""City and Guilds""], ""awards"": [""National \u2018Business Tourism\u2019 Company of the Year"", ""SMARTA Top 100 Small Companies in the UK"", ""Welsh Small Business of the Year""], ""review_count"": 600}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/adventure-britain/logo.png,Unleash your inner adventurer in the heart of Wales.,"You want an adventure in Wales? You need Adventure Britain. I've known these guys for years, and they consistently deliver top-notch experiences in the Brecon Beacons and Gower. They're not just throwing you off a cliff; they're crafting memories. Whether it's canyoning, caving, climbing, gorge walking, or hitting the trails on a mountain bike, they've got something for everyone, from stag weekends to family outings and corporate team-building. 

Adventure Britain isn't just talk, either. They've got the credentials to back it up. They are an Institute of Leadership and Management Accredited Centre, licensed with the Adventure Activities Licensing Service, and Accredited with City and Guilds. Plus, their trophy cabinet is overflowing, including being named Welsh Small Business of the Year. They genuinely care about providing value for money and making sure you have an unforgettable time exploring the Welsh landscape. With Adventure Britain, you're in safe, experienced hands.",true
adventure-parc-snowdonia,Adventure Parc Snowdonia,https://adventureparcsnowdonia.com,info@adventureparcsnowdonia.com,01492 353123,Dolgarrog,53.189,-3.839,North Wales|Snowdonia,Hire|MTB,activity_provider,Surf Hire|Bike Hire|Adventure Park,,,,,,,,,,"Adventure park with inland surf lagoon, pump track and trails.",true
