name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
The Rock Climbing Company,rock-climbing-company,https://www.rockclimbingcompany.co.uk,silvia@rockclimbingcompany.co.uk,+44 7778 599 330,North Wales|Snowdonia,activity_provider,Rock Climbing|Scrambling|Mountain Skills,"Tailored climbing instruction and guided experiences in the mountains of Snowdonia and sea cliffs of North Wales.",53.153,-3.825,"Llys Gain, Crafnant Road, Trefriw, Conwy, LL27 0JZ",true
Plas y Brenin,plas-y-brenin,https://pyb.co.uk,info@pyb.co.uk,+44 1690 720 214,North Wales|Snowdonia,activity_provider,Rock Climbing|Mountaineering|Winter Skills|Scrambling,"The National Outdoor Centre in Snowdonia, offering world-class courses and instruction.",53.104,-3.905,"Capel Curig, Conwy, LL24 0ET",true
Boulder Adventures,boulder-adventures,https://boulderadventures.co.uk,info@boulderadventures.co.uk,01286 870556,North Wales|Snowdonia,activity_provider,Rock Climbing|Mountain Days|Coasteering|Gorge Scrambling|Canyoning,"Adventure activities and accommodation based in Llanberis, at the foot of Snowdon.",53.118,-4.127,"Bryn Du Mountain Centre, Ty Du Road, Llanberis, Gwynedd, LL55 4HE",true
Seren Ventures,seren-ventures,https://www.serenventures.com,info@serenventures.com,01690 710754,North Wales|Snowdonia,activity_provider,Adventure Activities|Canyoning|Climbing|Coasteering|Gorge Scrambles|Guided Walks|Outdoor Skills,"Providing unforgettable outdoor experiences tailored to your level of adventure in North Wales & Snowdonia.",53.093,-3.802,"Betws-y-Coed, Conwy, LL24 0BL",true
North Wales Active,north-wales-active,https://www.northwalesactive.co.uk,info@northwalesactive.co.uk,07800 666 895,North Wales|Snowdonia,activity_provider,Gorge Walking|Coasteering|Canyoning|Rock Climbing|Abseiling|Mountain Walking,"Your gateway to adventure in the stunning landscapes of Eryri (Snowdonia) National Park.",53.093,-3.810,"Bryn y Gwynt, Holyhead road, Betws y Coed, Snowdonia, North Wales, LL240BN",true
Ropeworks Active,ropeworks-active,https://www.ropeworksactive.co.uk,hello@ropeworksactive.co.uk,,North Wales|Snowdonia,activity_provider,High Ropes|Low Ropes|Gorge Scramble|Underground Adventure|Rock Climbing|Hill Walking,"High ropes and adventure activities in Padarn Country Park, Snowdonia.",53.123,-4.135,"Padarn Country Park, Llanberis, Caernarfon LL55 4TY",true
Ty Nant Outdoors,ty-nant-outdoors,https://tynantoutdoors.com,admin@tynantoutdoors.com,07814 922 437,North Wales|Mid Wales,activity_provider,Kayaking|Canoeing|Paddleboarding|Rafting|Gorge Walking|Climbing|Archery,"Family-run outdoor adventure company specialising in paddlesports and high quality outdoor activities in Llangollen.",52.969,-3.170,"Llangollen, Denbighshire",true
Rip N Rock,rip-n-rock,https://www.ripnrock.co.uk,ripnrockbookings@gmail.com,+44 7815 784 122,South Wales|Gower,activity_provider,Abseil Adventure|Canyoning|Coasteering|Gorge Walking|Rock Climbing|Surfing|Mega SUP,"Award winning adventure activity provider in Swansea & South Wales, Gower and Neath Valley.",51.621,-3.943,"Swansea, South Wales",true
Adventures Wales,adventures-wales,https://www.adventureswales.co.uk,info@adventureswales.co.uk,01656 782 300,South Wales,activity_provider,Rock Climbing|Gorge Walking|Canyoning|Coasteering|High Ropes|Abseiling,"Outdoor adventure activities in South Wales, Porthcawl, near Cardiff and Swansea.",51.488,-3.680,"Parc Newydd Farm, Porthcawl, Bridgend CF36 3EX",true
Gower Adventures,gower-adventures,https://www.goweradventures.co.uk,info@goweradventures.co.uk,01792 851182,South Wales|Gower,activity_provider,Climbing|Sea Kayaking|Caving|Canoeing|Abseiling|Gorge Walking,"Adventure activities on the Gower Peninsula, including climbing and caving.",51.621,-3.943,"Swansea, Gower",true
Hawk Adventures,hawk-adventures,https://www.hawkadventures.co.uk,info@hawkadventures.co.uk,01558 668878,South Wales|Brecon Beacons,activity_provider,Rock Climbing|Caving|Gorge Walking|Canyoning|Abseiling|Coasteering|Guided Walks,"Outdoor adventure activities and team building in South Wales and the Brecon Beacons.",51.880,-3.990,"Carmarthenshire, South Wales",true
Snowdonia Adventures,snowdonia-adventures,https://www.snowdonia-adventures.co.uk,info@snowdonia-adventures.co.uk,07930 601137,North Wales|Snowdonia,activity_provider,Hike|Scramble|Climb|Coasteering|Gorge Scramble|Canyoning|Winter Skills,"Celebrating 25 years providing adventures and mountaineering skills in Snowdonia.",53.070,-4.080,"Snowdonia, North Wales",true
Anglesey Adventures,anglesey-adventures,https://www.angleseyadventures.com,info@angleseyadventures.com,,North Wales|Anglesey,activity_provider,Coasteering|Kayaking|Gorge Scrambling|Rock Climbing|Abseiling|Mountain Days,"Premier outdoor adventure company on Anglesey, based at Anglesey Outdoors.",53.290,-4.660,"Anglesey Outdoors, Porthdafarch Road, Holyhead LL65 2LP",true
Black Mountain Adventure,black-mountain-adventure,https://www.blackmountain.co.uk,info@blackmountain.co.uk,01497 847897,Mid Wales|Brecon Beacons,activity_provider,Rock Climbing|Caving|Gorge Adventure|Canoeing|Kayaking|High Ropes,"Award winning outdoor adventure centre in the stunning Brecon Beacons and Black Mountains.",52.030,-3.200,"Three Cocks, Brecon, Powys, LD3 0SD",true
Blue Ocean Activities,blue-ocean-activities,https://www.blueoceanactivities.co.uk,info@blueoceanactivities.co.uk,,South Wales|Brecon Beacons,activity_provider,Canyoning|Gorge Walking|Coasteering|Abseiling|Caving|Climbing,"Adventure activities in South Wales, Brecon Beacons, and Cardiff.",51.480,-3.180,"Cardiff, South Wales",true
Call of the Wild,call-of-the-wild,https://www.callofthewild.co.uk,info@callofthewild.co.uk,01639 700 388,South Wales|Brecon Beacons,activity_provider,Team Building|Leadership|Canyoning|Caving|Climbing,"Leadership training and team building in the Brecon Beacons.",51.760,-3.720,"Ty Anturiaeth, 83 Church Rd, Seven Sisters, Neath, SA10 9DT",true
Pro-Active Adventure,pro-active-adventure,https://www.proactive-adventure.com,office@proactive-adventure.com,07866 630123,North Wales|South Wales|Mid Wales,activity_provider,Rock Climbing|Gorge Walking|Coasteering|Mountaineering|Caving|Canoeing,"Outdoor education centres in Wales providing residential school trips and adventure activities.",52.540,-3.020,"The Old Forge Annex, Snead, Churchstoke, Powys SY15 6EB",true
Outward Bound Aberdyfi,outward-bound-aberdyfi,https://www.outwardbound.org.uk/aberdyfi,enquiries@outwardbound.org.uk,01654 767464,Mid Wales|Snowdonia,activity_provider,School Residentials|Summer Adventures|Hiking|Scrambling|Climbing,"Real adventures in the heart of Wales, where sea, forest and mountain meet.",52.540,-4.040,"Aberdyfi, Gwynedd, LL35 0RA",true
Expedition Guide,expedition-guide,https://www.expeditionguide.com,rob@expeditionguide.com,,North Wales|Snowdonia,activity_provider,Scrambling|Rock Climbing|Mountain Navigation|Winter Courses|Alpine Trekking,"Mountaineering instruction and courses in Snowdonia, North Wales, led by Rob Johnson.",53.120,-4.120,"Llanberis, North Wales",true
RAW Adventures,raw-adventures,https://www.raw-adventures.co.uk,info@raw-adventures.co.uk,+44 1286 870870,North Wales|Snowdonia,activity_provider,Climb Yr Wyddfa|Winter Mountain Courses|Welsh 3000s|Guided Climbing,"Mountain activities and skills courses based in Snowdonia, owned by Kate and Ross Worthington.",53.120,-4.120,"Llanberis, Caernarfon",true
Preseli Venture,preseli-venture,https://www.preseliventure.co.uk,info@preseliventure.co.uk,01348 837709,Pembrokeshire,activity_provider,Coasteering|Kayaking|Rock Climbing|Surfing|Coastal Explorer,"Adventure centre and eco-lodge on the North Pembrokeshire coast.",51.940,-5.080,"Parcynole Fach, Mathry, Haverfordwest, Pembrokeshire, SA62 5HN",true
TYF Adventure,tyf-adventure,https://www.tyf.com,play@tyf.com,01437 721611,Pembrokeshire,activity_provider,Coasteering|Kayaking|Climbing|Surfing|Paddleboarding,"Sustainable adventure activities in St Davids, Pembrokeshire.",51.880,-5.260,"20 High Street, St Davids, Haverfordwest, SA62 6SD",true
Adventure Beyond,adventure-beyond,https://www.adventurebeyond.co.uk,fun@adventurebeyond.co.uk,01239 612133,Mid Wales|Pembrokeshire,activity_provider,Coasteering|Canoeing|Paddle Boarding|Gorge Walking|Climbing,"Adventure activities in West Wales, Cardigan Bay, Teifi Gorge.",52.080,-4.660,"Cardigan, West Wales",true
Clyne Farm Centre,clyne-farm-centre,https://clynefarm.com,hello@clynefarm.com,01792 403333,South Wales|Gower,activity_provider,Horse Riding|Assault Course|Climbing|Challenge Valley,"Family run self-catering holiday cottages and adventure activities in Swansea, Gower.",51.590,-4.010,"Westport Avenue, Mayals, Swansea, SA3 5AR",true
Rock UK Summit Centre,rock-uk-summit-centre,https://rockuk.org/centres/summit-centre,summit@rockuk.org,01443 710090,South Wales,activity_provider,Indoor Climbing|Bouldering|Caving|Water Sports|Bushcraft,"Residential centre in the Welsh Valleys with indoor climbing walls, accommodation and adventure activities.",51.660,-3.290,"The Old Drift Mine, Trelewis, Treharris, South Wales, CF46 6RD",true
