name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
AberAdventures,aberadventures,https://www.aberadventures.co.uk,info@aberadventures.co.uk,07977 549975,mid-wales,activity_provider,Surfing|SUP|Kayaking,"Run by experienced local instructors, offering surfing, SUP, and kayaking lessons and rentals on Borth beach.",52.5049,-4.0407,"Borth, Ceredigion SY24 5JS",true
Activity Pembrokeshire,activity-pembrokeshire,https://www.activitypembrokeshire.wales,info@activitypembrokeshire.wales,07855 954315,pembrokeshire,activity_provider,Coasteering|Sea Kayaking,"Specializes in small group coasteering and sea kayaking adventures along the Pembrokeshire coast.",51.6235,-4.9186,"Stackpole, Pembrokeshire",true
Anglesey Adventures,anglesey-adventures,https://www.angleseyadventures.com,,,anglesey,activity_provider,Sea Kayaking|Coasteering,"Offers coasteering and sea kayaking adventures along the stunning Anglesey coastline with small group sizes.",53.2333,-4.5264,"Rhosneigr, Anglesey",true
Black Mountain Adventure,black-mountain-adventure,https://www.visitmidwales.co.uk,,,brecon-beacons,activity_provider,SUP|Gorge Walking|Caving,"Based near Brecon, offering outdoor adventures including SUP, gorge walking, and caving for all abilities.",52.0413,-3.2418,"Three Cocks, Brecon LD3 0SD",true
Llangorse Multi Activity Centre,llangorse-multi-activity-centre,https://www.llangorse.com,info@llangorse.com,01874 658271,brecon-beacons,activity_provider,Kayaking|Canoeing|SUP|Zip Lines|Climbing,"Adventure hub in Brecon Beacons offering kayaking, canoeing, SUP on Llangorse Lake, plus climbing and zip lines.",51.9405,-3.2342,"Llangorse, Brecon LD3 7UH",true
Llŷn Adventures,llyn-adventures,https://www.llynadventures.co.uk,,,ll-n-peninsula,activity_provider,Sea Kayaking|Coasteering|SUP,"Based in Abersoch, offering sea kayaking, coasteering, and SUP experiences tailored to all abilities.",52.8285,-4.5077,"Abersoch, Llŷn",true
Meadow Springs,meadow-springs,https://www.visitmidwales.co.uk,,,mid-wales,activity_provider,SUP|Watersports,"Offers SUP experiences near Caersws in Mid Wales, exploring serene waters and local wildlife.",52.5201,-3.4659,"Trefeglwys, Caersws",true
MUUK Adventures,muuk-adventures,https://www.muuk-adventures.com,,,pembrokeshire|snowdonia,activity_provider,Coasteering|Surfing|Kayaking,"Expertly guided outdoor experiences including sea kayaking, coasteering, and surfing in Pembrokeshire.",51.8827,-5.2662,"St Davids, Pembrokeshire",true
Outer Reef Surf School,outer-reef-surf-school,https://www.outerreefsurfschool.com,info@outerreefsurfschool.com,07813 778127,pembrokeshire,activity_provider,SUP|Surfing|Coasteering,"Based in Broadhaven, offering SUP, surfing, and coasteering with a commitment to small group sizes.",51.7343,-5.2187,"Broadhaven, Haverfordwest",true
Oxwich Watersports,oxwich-watersports,https://www.oxwichwatersports.co.uk,,,gower,activity_provider,SUP|Kayaking|Coasteering,"Offers a range of water-based activities including SUP and kayaking on the beautiful Oxwich Bay.",51.5655,-4.1397,"Oxwich Bay, Gower",true
Plas Menai,plas-menai,https://www.plasmenai.co.uk,enquiries@plasmenai.co.uk,0300 300 3111,anglesey|north-wales,activity_provider,Sea Kayaking|Sailing|Windsurfing,"National Outdoor Centre offering expert tuition in sea kayaking, sailing, and windsurfing on the Menai Strait.",53.1505,-4.2213,"Caernarfon LL55 1UE",true
Plas y Brenin,plas-y-brenin,https://pyb.co.uk,info@pyb.co.uk,01690 720214,snowdonia,activity_provider,Kayaking|Canoeing|Climbing,"National Outdoor Centre in Snowdonia offering courses in kayaking, canoeing, climbing, and mountaineering.",53.1034,-3.9103,"Capel Curig, Conwy LL24 0ET",true
Preseli Venture,preseli-venture,https://www.preseliventure.co.uk,info@preseliventure.co.uk,01348 837709,pembrokeshire,activity_provider,Sea Kayaking|Coasteering|Surfing,"Exhilarating coastal adventures including sea kayaking and coasteering in Pembrokeshire Coast National Park.",51.9574,-5.1775,"Mathry, Haverfordwest SA62 5HN",true
Sealyham Activity Centre,sealyham-activity-centre,https://www.sealyham.com,,,pembrokeshire,activity_provider,Kayaking|Coasteering|Multi-activity,"Adventure hub offering kayaking, coasteering, and residential stays for groups and families.",51.8377,-5.1794,"Sealyham, Haverfordwest",true
Tenby Adventure,tenby-adventure,https://www.visitpembrokeshire.com,,,pembrokeshire,activity_provider,Sea Kayaking|Coasteering,"Umbrella for providers offering sea kayaking and coasteering adventures around Tenby.",51.6743,-4.7021,"Tenby, Pembrokeshire",true
TYF Adventure,tyf-adventure,https://www.tyf.com,enquiry@tyf.com,01437 721611,pembrokeshire,activity_provider,Sea Kayaking|SUP|Coasteering,"Pioneering sustainable adventure provider offering sea kayaking, SUP, and coasteering in St Davids.",51.8824,-5.2641,"St Davids, Pembrokeshire SA62 6SD",true
Wye Valley Canoes,wye-valley-canoes,https://www.wyevalleycanoes.co.uk,,01497 847213,mid-wales,activity_provider,Canoe Hire|Kayak Hire|Multi-day Trips,"Specialists in canoe and kayak hire on the River Wye, offering half-day to multi-day expeditions.",52.029,-3.179,"The Boat House, Glasbury, HR3 5NP",true
Bala Adventure & Watersports,bala-adventure-watersports,https://www.balawatersports.com,hello@balawatersports.com,01678 521615,snowdonia,activity_provider,Kayaking|Canoeing|SUP|Sailing,"Offers a wide range of watersports including kayaking, canoeing, and SUP on Bala Lake.",52.909,-3.600,"Bala Lake Foreshore, Bala, Gwynedd, LL23 7SR",true
Snowdonia Watersports,snowdonia-watersports,https://www.snowdoniawatersports.com,shop@snowdoniawatersports.com,,snowdonia,activity_provider,Paddleboard Hire|Kayak Hire|Shop,"Watersports shop and hire centre on the shores of Llyn Padarn, offering SUP and kayak rental.",53.120,-4.125,"Unit 2, Y Glyn, Llanberis, Caernarfon, Gwynedd, LL55 4EL",true
Cardiff International White Water,cardiff-international-white-water,https://www.ciww.com,info@ciww.com,029 2082 9970,south-wales,activity_provider,White Water Rafting|Kayaking|SUP,"Premier white water centre offering rafting, kayaking courses, and SUP in Cardiff Bay.",51.448,-3.183,"Watkiss Way, Cardiff Bay, CF11 0SY",true
Ty Nant Outdoors,ty-nant-outdoors,https://www.tynantoutdoors.com,admin@tynantoutdoors.com,07814 922 437,north-wales,activity_provider,Kayaking|Canoeing|SUP|Rafting,"Family-run company specialising in kayaking, canoeing, SUP, and rafting adventures in Llangollen.",52.970,-3.170,"Llangollen, North Wales",true
Stand Up Paddle Board UK,stand-up-paddle-board-uk,https://www.standuppaddleboarduk.com,info@standuppaddleboarduk.com,07722 833667,north-wales,activity_provider,SUP|Coaching|White Water SUP,"Specialist SUP provider offering flat water and white water coaching, courses, and rafting in Llangollen.",52.972,-3.172,"Llangollen Sports Club, Tower Road, Llangollen, LL20 8TE",true
Psyched Paddleboarding,psyched-paddleboarding,https://www.psychedpaddleboarding.com,,01248 305130,anglesey,activity_provider,SUP|Guided Tours|Night SUP,"SUP specialists offering guided tours, night SUP, and courses on the stunning Anglesey coastline.",53.220,-4.160,"Anglesey, UK",true
Kayak King,kayak-king,https://www.kayak-king.com,info@kayak-king.com,07967 010203,pembrokeshire,activity_provider,Kayak Tours,"Guided sea kayak tours from Fishguard Lower Town Harbour, exploring caves and wildlife.",51.996,-4.975,"Fishguard Lower Town Harbour, Pembrokeshire",true
Paddle West,paddle-west,https://www.paddlewest.co.uk,info@paddlewest.co.uk,07342 741268,pembrokeshire,activity_provider,Canoe Tours|Row Boats,"Family friendly boating adventures including canoe tours and castle row boats in Pembroke.",51.676,-4.920,"The Quayside, Pembroke SA71 4DW",true
