slug,name,region,address,lat,lon,phone,email,website,activities,price_lesson_from,spots_served,specialties,description
tyf-adventure,TYF Adventure,Pembrokeshire,"20 High Street, St Davids, Haverfordwest, SA62 6SD",51.8827,-5.2691,01437 721611,play@tyf.com,https://www.tyf.com,Surfing|Stand Up Paddleboarding|Coasteering|Kayaking,,,"Eco-tourism","The original coasteering company offering surfing and paddleboarding adventures."
outer-reef-surf-school,Outer Reef Surf School,Pembrokeshire,"Unit 4, Upper Lamphey Road, Pembroke, SA71 5JJ",51.6308,-4.9097,01646 680070,contact@outerreefsurfschool.com,https://www.outerreefsurfschool.com,Surfing|Stand Up Paddleboarding|Coasteering|Kayaking,£40,"Freshwater West|Manorbier|Newgale|Tenby|Saundersfoot|Stackpole Quay","ISA Training","Wales' Premier Surf School & Adventure Centre Since 1999."
llangennith-surf-school,Llangennith Surf School,Gower,"Llangennith Beach, Gower",51.6028,-4.2939,07855 420062,,https://www.llangennithsurfschool.com,Surfing,£35,Llangennith,,"Established school at Wales's most famous surf beach."
gower-surf-academy,Gower Surf Academy,Gower,"Caswell Beach, Caswell Road, Swansea, SA3 3BS",51.5675,-3.9803,07903 392282,,https://www.gowersurfing.com,Surfing,£35,Caswell Bay,"Junior Surf Club","Family-friendly lessons at sheltered Caswell Bay."
ma-simes-surf-hut,Ma Simes Surf Hut,Pembrokeshire,"28 High St, St Davids, Pembrokeshire, SA62 6SD",51.8827,-5.2691,01437 720433,info@masimes.co.uk,https://www.masimes.co.uk,Surfing|Equipment Hire,£45,Whitesands Bay,,"One of the original surf shops in Wales offering lessons at Whitesands."
aber-adventures,Aber Adventures,Mid Wales,"Borth Lifeboat Station, Borth",52.4925,-4.0483,+44 (0)7976 061 514,hello@aberadventures.com,https://www.aberadventures.com,Surfing|Stand Up Paddleboarding|Kayak,£29,"Borth|Ynyslas",,"Surf lessons for beginners, improvers through to pro level and surf hire."
progress-surf-school,Progress Surf School,Gower,"Caswell Bay, Swansea",51.5675,-3.9803,"01792 410825|07876 712106",surf@swanseasurfing.com,https://www.swanseasurfing.com,Surfing|Stand Up Paddleboarding,£40,"Caswell Bay|Llangennith",,"Running Surf Lessons in Gower, South Wales since 2005."
porthcawl-surf-school,Porthcawl Surf School,South Wales,"Rest Bay Watersports Centre, Rest Bay, Porthcawl, CF36 3UW",51.4867,-3.7322,07583 348 013,surf@porthcawlsurf.co.uk,https://www.porthcawlsurf.co.uk,Surfing|Stand Up Paddleboarding,£35,"Rest Bay|Coney Beach|Newton Beach",,"Run Porthcawl Surf School and the surf hire centre at Rest Bay."
pembrokeshire-surf-school,Pembrokeshire Surf School,Pembrokeshire,"Newgale Beach, Pembrokeshire",51.8456,-5.1178,07881 937605,phil@pembrokeshiresurfschool.co.uk,https://pembrokeshiresurfschool.co.uk,Surfing,,Newgale,,"Established in 2018, offers a range of surf training for all levels."
newsurf,Newsurf,Pembrokeshire,"Newsurf, Newgale Beach, Pembrokeshire SA62 6AS",51.8456,-5.1178,01437 721 398,shop@newsurf.co.uk,https://www.newsurf.co.uk,Surfing|Stand Up Paddleboarding|Coasteering,,Newgale,,"The only surf school right on the beach at Newgale."
west-coast-surf-shop,West Coast Surf Shop,Llŷn Peninsula,"West Coast Surf Shop, Lon Pen Cei, Abersoch, Gwynedd LL53 7AP",52.8228,-4.4875,"01758 713067|07817 497880",surf@westcoastsurf.co.uk,https://www.westcoastsurf.co.uk,Surfing,£15,"Hell's Mouth|Abersoch",,"Operates Hell's Mouth Surf School from May until November."
preseli-venture,Preseli Venture,Pembrokeshire,"Preseli Venture, Parcynole Fach, Mathry, Haverfordwest, SA62 5HN",51.9372,-5.2061,01348 837709,,https://www.preseliventure.co.uk,Surfing|Stand Up Paddleboarding|Coasteering|Kayaking,£52,Abermawr,,"Accommodation & adventure where the land meets the sea."
adventures-wales,Adventures Wales,South Wales,"Parc Newydd Farm, Porthcawl, Bridgend CF36 3EX",51.4867,-3.7322,01656 782 300,,https://www.adventureswales.co.uk,Surfing|Stand Up Paddleboarding|Coasteering,£55,Porthcawl,,"Outdoor activity centre in Porthcawl offering a wide range of adventures."
anglesey-adventures,Anglesey Adventures,Anglesey,"Anglesey Outdoors, Porthdafarch Road, Holyhead LL65 2LP",53.3050,-4.6950,,info@angleseyadventures.com,https://www.angleseyadventures.com,Coasteering|Kayaking|MEGA SUP,£50,"Anglesey|Porthdafarch",,"Original premier outdoor adventure company on Anglesey."
rip-n-rock,Rip N Rock,Gower,,51.5650,-4.2900,07815 784 122,ripnrockbookings@gmail.com,https://www.ripnrock.co.uk,Surfing|Stand Up Paddleboarding|Coasteering|Canyoning,,Gower,,"Award winning adventure activity provider in South Wales."
plas-menai,Plas Menai,Anglesey,"Griffiths Crossing, Caernarfon, Gwynedd LL55 1UE",,0300 300 3112,info@plasmenai.wales,https://www.plasmenai.wales,Windsurfing|Stand Up Paddleboarding|Sailing,,,,"National Outdoor Centre for Wales."
cardigan-bay-active,Cardigan Bay Active,Mid Wales,,,,,,https://www.cardiganbayactive.co.uk,Stand Up Paddleboarding|Kayaking|Coasteering,,,,"Adventure activities in Cardigan Bay."
gower-adventures,Gower Adventures,Gower,,51.5650,-4.2900,,,https://www.goweradventures.co.uk,Coasteering|Surfing,,,,"Adventure activities on the Gower Peninsula."
arete-outdoor-centre,Arete Outdoor Centre,North Wales,"Llanrug, Caernarfon",,,,,https://www.arete.co.uk,Coasteering|Kayaking|SUP,,,,"Outdoor education centre in Snowdonia."
plas-y-brenin,Plas y Brenin,North Wales,"Capel Curig",,,,,https://pyb.co.uk,Kayaking|Canoeing|SUP,,,,"National Outdoor Centre for rock, water and hills."
stand-up-paddle-board-uk,Stand Up Paddle Board UK,North Wales,Llangollen,,,,,https://www.standuppaddleboarduk.com,Stand Up Paddleboarding,,,,"Stand Up Paddle Boarding in North Wales."
psyched-paddleboarding,Psyched Paddleboarding,Anglesey,,,,,,https://psychedpaddleboarding.com,Stand Up Paddleboarding,,,,"SUP adventures on Anglesey."
snowdonia-watersports,Snowdonia Watersports,North Wales,Llanberis,,,,,https://snowdoniawatersports.com,Stand Up Paddleboarding|Kayaking,,,,"Watersports centre in Llanberis."
bala-watersports,Bala Watersports,North Wales,Bala,,,,,https://balawatersports.com,Stand Up Paddleboarding|Kayaking,,,,"Watersports on Bala Lake."
summit-to-sea,Summit to Sea,Anglesey,,,,,,https://www.summittosea.co.uk,Kayaking|SUP,,,,"Kayak and SUP specialist shop and activities."
sea-kayaking-wales,Sea Kayaking Wales,Anglesey,,,,,,https://seakayakingwales.com,Sea Kayaking,,,,"Sea kayaking courses and trips on Anglesey."
blue-ocean-activities,Blue Ocean Activities,South Wales,,,,,,https://www.blueoceanactivities.co.uk,Coasteering|Canyoning|Gorge Walking,,,,"Adventure activities in South Wales."
adventure-beyond,Adventure Beyond,Mid Wales,,,,,,https://www.adventurebeyond.co.uk,Coasteering|Kayaking|SUP,,,,"Adventure activities in Cardigan Bay and Pembrokeshire."
up4it-outdoors,Up4It Outdoors,North Wales,,,,,,https://up4itoutdoors.co.uk,Coasteering|Gorge Walking,,,,"Outdoor activities in Snowdonia."
hawk-adventures,Hawk Adventures,South Wales,,,,,,https://www.hawkadventures.co.uk,Coasteering|Canyoning,,,,"Adventure activities in South Wales."
surfability-uk,Surfability UK,Gower,Canthed Centre,51.5675,-3.9803,01792 368482,,https://surfabilityukcic.org/,Adaptive Surfing,,"Caswell Bay","Adaptive Surfing","Adapted and inclusive surfing experiences."
adventure-britain,Adventure Britain,South Wales,"Head Office: Ty Anturiaeth, 83 Church Rd, Seven Sisters, Neath, GB, SA10 9DT",,01639 700388,sales@adventurebritain.com,https://www.adventurebritain.com,Coasteering|Canyoning|Gorge Walking|Kayaking|Stand Up Paddleboarding,,,,"Adventure Activity Weekends in South Wales."
