id,channel,content_type,route_or_slug,title,region,activity,commercial_tier,priority,status,launch_visible,owner,assigned_agent,source_count,source_urls,evidence_status,image_status,image_source_url,copy_status,seo_status,schema_status,commercial_review_status,safety_or_legal_status,last_generated_at,last_reviewed_at,next_review_due,published_at,blocker_reason,review_notes,quality_score,confidence_score
operator-adventure-parc-snowdonia,commercial,operator,/directory/adventure-parc-snowdonia,Adventure Parc Snowdonia,,,strategic_big_player_or_launch_priority,59,researched,true,content-ops,,9,https://www.adventureparc.co.uk | https://www.tripadvisor.co.uk/Attraction_Review-g2626612-d8451531-Reviews-Adventure_Parc_Snowdonia-Dolgarrog_Conwy_County_North_Wales_Wales.html | https://www.adventureparc.co.uk/contact-us/ | https://www.gonorthwales.co.uk/things-to-do/adventure-parc-ltd-p376241 | https://www.adventureparc.co.uk/plan-your-visit/ | https://www.northwalespioneer.co.uk/news/25504220.reimagined-adventure-parc-officially-opens-doors/ | https://reviews.birdeye.com/adventure-parc-snowdonia-171592885998337 | https://www.northwalespioneer.co.uk/news/25340152.adventure-parc-reopen-summer-new-ownership/ | https://www.visitsnowdonia.info/adventure-parc-snowdonia,sourced,missing,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-07-03,,,,"Operator ""Adventure Parc Snowdonia"" missing: no description, no cover image, no logo, no Google rating | Operator ""Adventure Parc Snowdonia"" missing: no description, no cover image, no logo, no Google rating",Audit gap: Fill 4 missing fields | Research output exists: data/research/content-ops/operator-adventure-parc-snowdonia.json. Audit gap: Fill 4 missing fields,68,70
operator-bala-watersports,commercial,operator,/directory/bala-watersports,Bala Watersports,,,strategic_big_player_or_launch_priority,59,qa_needed,true,content-ops,,12,https://find-and-update.company-information.service.gov.uk/company/04640347 | https://www.balawatersports.com | https://www.balawatersports.com/get-in-touch/ | https://aala.hse.gov.uk/aala/provider_detail.php?ref_no=R0679 | https://www.balawatersports.com/how-to-find-us/ | https://visitbala.org.uk/things-to-do/view/bala_adventure_and_water_sports_centre | https://www.balawatersports.com/adventure-activities-watersports/ | https://www.balawatersports.com/faqs/ | https://wanderlog.com/place/details/3931255/bala-adventure-and-watersports-centre | https://www.tripadvisor.com/Attraction_Review-g672155-d2547794-Reviews-Bala_Adventure_and_Watersports-Bala_Snowdonia_Eryri_National_Park_North_Wales_Wal.html | https://www.facebook.com/BalaWatersports/ | https://www.instagram.com/balawatersports/,sourced,needs_review,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-06-04,,,,"Operator ""Bala Watersports"" missing: no description, no cover image, no logo, no email, no Google rating | Operator ""Bala Watersports"" missing: no description, no cover image, no logo, no email, no Google rating",Audit gap: Fill 5 missing fields | Research output exists: data/research/content-ops/operator-bala-watersports.json. Audit gap: Fill 5 missing fields,68,70
operator-beics-brenin,commercial,operator,/directory/beics-brenin,Beics Brenin,,,strategic_big_player_or_launch_priority,59,qa_needed,true,content-ops,,11,https://beicsbrenin.co.uk/ | https://reviews.listen360.com/summit-cycles-beics-brenin-dolgellau | https://www.visitwales.com/activity/activity/beics-brenin-coed-y-brenin-528701 | https://beicsbrenin.co.uk/bike-hire/ | https://www.top100attractions.com/attractions/item/beics-brenin | https://en.wikipedia.org/wiki/Coed-y-Brenin | https://beicsbrenin.co.uk/trails/ | https://www.facebook.com/beicsbrenin | https://www.instagram.com/beicsbrenin/ | https://naturalresources.wales/days-out/places-to-visit/north-west-wales/coed-y-brenin-visitor-centre/?lang=en | https://www.mbwales.com/listings/beics-brenin/,sourced,needs_review,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-06-04,,,,"Operator ""Beics Brenin"" missing: no description, no cover image, no logo, no email, no Google rating | Operator ""Beics Brenin"" missing: no description, no cover image, no logo, no email, no Google rating",Audit gap: Fill 5 missing fields | Research output exists: data/research/content-ops/operator-beics-brenin.json. Audit gap: Fill 5 missing fields,68,70
operator-snowdonia-watersports,commercial,operator,/directory/snowdonia-watersports,Snowdonia Watersports,,,strategic_big_player_or_launch_priority,59,researched,true,content-ops,,10,"https://snowdoniawatersports.com/ | https://www.tripadvisor.com/Attraction_Review-g186448-d1893299-Reviews-Snowdonia_Watersports-Llanberis_Snowdonia_Eryri_National_Park_North_Wales_Wales.html | https://snowdoniawatersports.com/pages/about-us, | https://snowdoniawatersports.com/pages/kit-hire, | https://aala.hse.gov.uk/aala/provider_detail.php?ref_no=R2388 | https://www.visitwales.com/activity/snowdonia-watersports-930412 | https://www.yha.org.uk/experience/snowdonia-watersports | https://snowdoniawatersports.com/pages/contact | https://snowdoniawatersports.com/pages/kit-hire | https://bookings.snowdoniawatersports.com/kit-hire/",sourced,missing,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-07-03,,,,"Operator ""Snowdonia Watersports"" missing: no description, no cover image, no logo, no email, no Google rating | Operator ""Snowdonia Watersports"" missing: no description, no cover image, no logo, no email, no Google rating",Audit gap: Fill 5 missing fields | Research output exists: data/research/content-ops/operator-snowdonia-watersports.json. Audit gap: Fill 5 missing fields,68,70
activity-location-anglesey-coasteering,evergreen,activity_location,/anglesey/things-to-do/coasteering,Anglesey / Coasteering,anglesey,coasteering,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/coast-and-sea/regional-coastal-forecasts/holyhead | https://magicseaweed.com/Rhoscolyn-Surf-Report/722/ | https://angleseyadventures.com/ | https://www.angleseyoutdoors.com/ | https://www.snowdonia-watersports.com/ | https://www.gooutdoors.co.uk/stores/bangor | https://www.oystercatcheranglesey.co.uk/ | http://www.the-lobster-pot.co.uk/ | https://www.white-eagle.co.uk/ | https://www.sosbanandthesecretgarden.co.uk/ | https://www.nationaltrust.org.uk/plas-newydd-house-and-garden | https://www.theboathouserhoscolyn.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/anglesey--coasteering.json,70,70
activity-location-anglesey-kayaking,evergreen,activity_location,/anglesey/things-to-do/kayaking,Anglesey / Kayaking,anglesey,kayaking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/ | https://www.windguru.cz/ | https://magicseaweed.com/ | https://www.angleseyadventures.com/ | https://www.plasmenai.co.uk/ | https://angleseyoutdoors.com/ | https://www.snowdoniawatersports.com/ | https://oystercatcheranglesey.co.uk/ | https://sandymounthouse.co.uk/ | https://white-eagle.co.uk/ | https://dylansrestaurant.co.uk/ | https://www.tynlon.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/anglesey--kayaking.json,70,70
activity-location-anglesey-wild-swimming,evergreen,activity_location,/anglesey/things-to-do/wild-swimming,Anglesey / Wild Swimming,anglesey,wild-swimming,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/forecast/gcv0081g1 | https://www.windfinder.com/forecast/holyhead | https://angleseyadventures.com/ | https://www.angleseyoutdoors.com/ | https://funsportonline.com/ | https://geckosurf.co.uk/ | https://www.oystercatcheranglesey.co.uk/ | https://sandymounthouse.co.uk/ | https://www.thelobsterpotrestaurant.co.uk/ | https://www.sosbanandthesecretgarden.co.uk/ | https://www.white-eagle.co.uk/ | https://www.plasnewyddcaravanpark.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/anglesey--wild-swimming.json,70,70
activity-location-brecon-beacons-caving,evergreen,activity_location,/brecon-beacons/things-to-do/caving,Brecon Beacons / Caving,brecon-beacons,caving,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/ | https://www.metoffice.gov.uk/weather/forecast/gcm417y1f | https://www.starlessriver.com/ | https://www.v12outdoor.com/ | https://www.mountainwarehouse.com/ | https://www.cotswoldoutdoor.com/ | https://www.sabrain.com/pubs-in-wales/swansea/ancient-briton | https://www.eatdrinksleep.ltd.uk/felin-fach-griffin/ | https://www.lambinndefynnog.co.uk/ | https://www.swcc.org.uk/bunkhouse/ | https://www.yha.org.uk/hostel/yha-brecon-beacons | https://penpont.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/brecon-beacons--caving.json,70,70
activity-location-brecon-beacons-gorge-walking,evergreen,activity_location,/brecon-beacons/things-to-do/gorge-walking,Brecon Beacons / Gorge Walking,brecon-beacons,gorge-walking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain/brecon-beacons | https://naturalresources.wales/flooding/check-river-levels-and-sea-conditions/?lang=en | https://www.adventurebritain.com/ | https://blackmountainadventure.co.uk/ | https://www.cotswoldoutdoor.com/ | https://www.mountainwarehouse.com/ | http://www.angelinnponthotel.co.uk/ | https://www.sabrain.com/ancient-briton-pen-y-cae | https://eatdrinksleep.ltd.uk/felin-fach-griffin/ | https://www.yha.org.uk/hostel/yha-brecon-beacons | https://www.breconcastlehotel.com/ | https://www.peterstone-court.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/brecon-beacons--gorge-walking.json,70,70
activity-location-brecon-beacons-hiking,evergreen,activity_location,/brecon-beacons/things-to-do/hiking,Brecon Beacons / Hiking,brecon-beacons,hiking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/ | https://www.metoffice.gov.uk/weather/forecast/gxxrf086w | https://www.cotswoldoutdoor.com/stores/brecon-outdoor-clothing-and-equipment-shop.html | https://www.blacks.co.uk/stores/brecon-outdoor-clothing-and-equipment-shop-store-s74 | https://www.mountainwarehouse.com/stores/brecon.aspx | http://www.brownandwhite.co.uk/ | https://www.eatdrinksleep.ltd.uk/felin-fach-griffin/ | https://www.bearhotel.co.uk/ | http://www.nantyffin.com/ | https://www.starinntalybont.co.uk/ | https://www.yha.org.uk/hostel/yha-brecon-beacons | https://www.ukcampsite.co.uk/sites/details.asp?revid=331,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/brecon-beacons--hiking.json,70,70
