slug,name,region,lat,lon,beach_type,length_m,aspect,blue_flag,lifeguards,dog_rules,parking_lat,parking_lon,parking_cost,facilities,access_type,wheelchair_access,water_sports,rock_pools,walk_in_mins,best_for,hazards,description
newborough,Newborough Beach (Llanddwyn),anglesey,53.1389,-4.4134,sandy,6000,SW,no,seasonal,restricted-summer,53.1401,-4.3989,7,cafe|toilets,walk,partial,windsurfing|kitesurfing,no,20,"walking|Llanddwyn-Island|views","tides|soft-sand","Vast beach with views to Snowdonia. Llanddwyn Island at south end is magical. Romantic legend and lighthouse ruins. Allow whole day."
rhosneigr,Rhosneigr (Traeth Crigyll),anglesey,53.2285,-4.5244,sandy,2000,SW,yes,no,year-round,53.2290,-4.5200,free,cafe|toilets|shops,easy,yes,surfing|windsurfing|kitesurfing,yes,2,"watersports|families","rocks|currents","A mecca for watersports enthusiasts, Rhosneigr offers wide sands and reliable wind."
trearddur-bay,Trearddur Bay,anglesey,53.2796,-4.6224,sandy,800,SW,yes,seasonal,restricted-summer,53.2800,-4.6210,paid,cafe|toilets|promenade,easy,yes,swimming|kayaking,yes,1,"families|sunsets","rocks","Popular family beach with a promenade, rock pools, and protected bathing area."
benllech,Benllech,anglesey,53.3150,-4.2260,sandy,1500,E,yes,seasonal,restricted-summer,53.3160,-4.2250,paid,cafe|toilets|shops,easy,yes,swimming|paddling,yes,2,"families|safe-swimming","none","Wide, safe, sandy beach perfect for families, with easy access and plenty of facilities."
red-wharf-bay,Red Wharf Bay (Traeth Coch),anglesey,53.3087,-4.2125,sandy,4000,E,no,no,year-round,53.3130,-4.2050,free,pub|toilets,easy,partial,none,no,1,"walking|nature","tides|mud","A vast expanse of sand at low tide, famous for its beauty and the Ship Inn nearby."
church-bay,Church Bay (Porth Swtan),anglesey,53.3740,-4.5550,pebble|sandy,300,NW,yes,seasonal,restricted-summer,53.3750,-4.5540,free,cafe|toilets,walk,no,swimming|kayaking,yes,5,"scenery|rock-pools","rocks","Rugged and beautiful cove with high cliffs, excellent rock pools and a famous seafood restaurant."
cable-bay,Cable Bay (Porth Trecastell),anglesey,53.2180,-4.5020,sandy,200,SW,no,no,year-round,53.2190,-4.5010,paid,none,easy,no,surfing|kayaking,yes,2,"surfing|sunsets","currents","Small, sheltered bay popular with surfers and kayakers, backed by dunes and cliffs."
lligwy,Lligwy Beach,anglesey,53.3540,-4.2640,sandy,1000,NE,yes,no,year-round,53.3530,-4.2650,paid,cafe|toilets,easy,yes,swimming|windsurfing,yes,2,"families|space","none","Wide, open sandy beach with shallow water, great for families and watersports."
aberffraw,Aberffraw (Traeth Mawr),anglesey,53.1850,-4.4750,sandy,1500,SW,yes,no,year-round,53.1920,-4.4630,free,toilets|shops,walk,no,swimming,no,15,"solitude|dunes","tides","Unspoilt sandy beach backed by extensive dunes, requiring a walk from the village."
porth-dafarch,Porth Dafarch,anglesey,53.2960,-4.6620,sandy,150,W,yes,no,restricted-summer,53.2970,-4.6610,free,toilets,easy,partial,diving|kayaking,yes,1,"diving|snorkelling","rocks","Sheltered sandy cove owned by the National Trust, popular for scuba diving and kayaking."
cemaes-bay,Cemaes Bay (Traeth Mawr),anglesey,53.4130,-4.4500,sandy,400,N,yes,no,restricted-summer,53.4120,-4.4490,paid,cafe|toilets|promenade,easy,yes,swimming|kayaking,yes,2,"families|harbour","boats","Pretty harbour village with two sandy beaches, sheltered and safe for families."
traeth-llydan,Traeth Llydan (Broad Beach),anglesey,53.2180,-4.5100,sandy,1500,SW,yes,no,year-round,53.2250,-4.5150,free,none,walk,no,surfing,no,10,"surfing|walking","currents","Quieter alternative to Rhosneigr's main beach, offering miles of sand and good surf."
