slug,name,region,lat,lon,beach_type,length_m,aspect,blue_flag,lifeguards,dog_rules,parking_lat,parking_lon,parking_cost,facilities,access_type,wheelchair_access,water_sports,rock_pools,walk_in_mins,best_for,hazards,description,tags_audience,tags_features,tags_conditions
rhossili,Rhossili Bay,gower,51.5667,-4.2889,sandy,4800,W,no,seasonal,restricted-summer,51.5689,-4.2856,6,cafe|toilets,walk,no,surfing|paragliding,no,10,"Best for views, surfing and walking.",rips|tides,Regularly voted Britain's best beach. 3-mile curve of golden sand beneath Rhossili Down. Worm's Head at south end. Spectacular any season.,"families,surfers","cafe,lifeguards,parking-paid,toilets",tide-dependent
barafundle,Barafundle Bay,pembrokeshire,51.6178,-4.9234,sandy,500,S,no,no,year-round,51.6145,-4.9189,free,toilets,walk,no,swimming,no,15,"Best for beauty, seclusion and swimming.",tides,Often called Wales's best-kept secret (it's not secret anymore). Worth every step of the walk in. No facilities - bring everything.,dog-walkers,"parking-free,toilets",tide-dependent
three-cliffs,Three Cliffs Bay,gower,51.5678,-4.1034,sandy,800,S,no,no,restricted-summer,51.5712,-4.0978,3,toilets,walk,no,swimming,yes,15,"Best for photography, walking and swimming.",tides|river-crossing,Wales's most photographed beach. Three limestone pinnacles frame the bay. River crossing required at most tides. Magical at sunset.,"couples,families","parking-paid,rock-pools,toilets",tide-dependent
whitesands,Whitesands Bay,pembrokeshire,51.8934,-5.2967,sandy,800,W,yes,seasonal,restricted-summer,51.8945,-5.2978,6,cafe|toilets|showers,easy,partial,surfing,yes,2,"Best for surfing, families and St Davids.",rips|currents,"Pembrokeshire's premier family beach near St Davids. Blue Flag, lifeguards, surf school. Gets busy but well-organised. Purple sandpipers in winter.","families,surfers","cafe,lifeguards,parking-paid,rock-pools,shower,toilets",crowds-high
newborough,Newborough Beach (Llanddwyn),anglesey,53.1389,-4.4134,sandy,6000,SW,no,seasonal,year-round,53.1401,-4.3989,7,cafe|toilets,walk,partial,windsurfing,no,20,"Best for walking, Llanddwyn Island and views.",tides|soft-sand,Vast beach with views to Snowdonia. Llanddwyn Island at south end is magical. Romantic legend and lighthouse ruins. Allow whole day.,"dog-walkers,families","cafe,lifeguards,parking-paid,toilets",tide-dependent
tenby-north,Tenby North Beach,pembrokeshire,51.6734,-4.6934,sandy,1200,NE,yes,seasonal,restricted-summer,51.6745,-4.6923,varies,cafe|toilets|showers,easy,yes,swimming|paddling,no,2,"Best for families, town beach and facilities.",busy,Classic seaside town beach beneath colourful Georgian houses. All facilities. Castle Beach around headland for more space. Caldey Island boats.,families,"cafe,lifeguards,parking-paid,shower,toilets",
freshwater-west,Freshwater West,pembrokeshire,51.6456,-5.0567,sandy,2000,W,no,seasonal,year-round,51.6478,-5.0545,4,toilets,easy,no,surfing,no,3,"Best for surfing, wildness and Harry Potter.",rips|currents|powerful,Wild and powerful. Featured in Harry Potter (Shell Cottage). Strong currents - not for casual swimming. Dune system behind. Atmospheric any weather.,"dog-walkers,families,surfers","lifeguards,parking-paid,toilets",
broad-haven,Broad Haven,pembrokeshire,51.7812,-5.1089,sandy,800,W,yes,seasonal,restricted-summer,51.7823,-5.1078,3,cafe|toilets|showers,easy,yes,swimming|surfing,yes,2,"Best for families, village and facilities.",normal,Classic Pembrokeshire family beach with village behind. Reliable facilities and gentle waters. Rock pools at low tide. Gateway to coast path walks.,"families,surfers","cafe,lifeguards,parking-paid,rock-pools,shower,toilets",tide-dependent
oxwich,Oxwich Bay,gower,51.5534,-4.1534,sandy,2500,SE,yes,seasonal,restricted-summer,51.5545,-4.1523,5,cafe|toilets|showers,easy,partial,swimming|kayaking,no,2,"Best for families, nature reserve and dunes.",tides,Sweeping bay with nature reserve behind. More sheltered than west Gower beaches. Good for families wanting space and facilities. Dune walks excellent.,"families,nature-lovers","cafe,lifeguards,parking-paid,shower,toilets",tide-dependent
mwnt,Mwnt,ceredigion,52.1289,-4.5534,sandy,200,W,no,no,year-round,52.1301,-4.5523,3,toilets,walk,no,swimming,no,5,"Best for dolphins, seclusion and beauty.",tides|access,Tiny perfect cove with whitewashed church above. Dolphins frequently seen. Steep steps to beach. National Trust - arrive early in summer.,dog-walkers,"parking-paid,toilets",tide-dependent
llangrannog,Llangrannog,ceredigion,52.1534,-4.4734,sandy,300,W,no,seasonal,restricted-summer,52.1545,-4.4723,3,cafe|toilets,easy,partial,swimming,yes,2,"Best for village, coast path and families.",tides,Charming village beach squeezed between cliffs. Coast path access to quieter coves north and south. Traditional seaside atmosphere.,families,"cafe,lifeguards,parking-paid,rock-pools,toilets","quiet,tide-dependent"
