slug,name,region,lat,lon,beach_type,length_m,aspect,blue_flag,lifeguards,dog_rules,parking_lat,parking_lon,parking_cost,facilities,access_type,wheelchair_access,water_sports,rock_pools,walk_in_mins,best_for,hazards,description
mwnt,Mwnt,ceredigion,52.1289,-4.5534,sandy,200,W,no,no,year-round,52.1301,-4.5523,3,toilets,walk,no,swimming,no,5,"dolphins|seclusion|beauty","tides|access","Tiny perfect cove with whitewashed church above. Dolphins frequently seen. Steep steps to beach. National Trust - arrive early in summer."
llangrannog,Llangrannog,ceredigion,52.1534,-4.4734,sandy,300,W,no,seasonal,restricted-summer,52.1545,-4.4723,3,cafe|toilets,easy,partial,swimming,yes,2,"village|coast-path|families","tides","Charming village beach squeezed between cliffs. Coast path access to quieter coves north and south. Traditional seaside atmosphere."
aberystwyth-north,Aberystwyth North Beach,ceredigion,52.4150,-4.0830,shingle-sand,2000,W,yes,seasonal,restricted-summer,52.4150,-4.0830,varies,cafe|toilets|town-facilities,easy,yes,swimming|promenade,no,0,"promenade|families|convenience","deep-water","Classic Victorian seaside resort beach. Promenade, pier, and full town facilities immediately adjacent. Popular for sunsets and strolling."
borth,Borth Beach,ceredigion,52.4900,-4.0500,sand-shingle,4000,W,yes,seasonal,restricted-summer,52.4900,-4.0500,varies,shops|pubs|cafes,easy,yes,surfing|walking,yes,0,"surfing|walking|families","tides","Three miles of sand and shingle. Popular for surfing and walking. Ancient submerged forest visible at very low tides."
ynyslas,Ynyslas Beach,ceredigion,52.5200,-4.0500,sand-dunes,3000,N-W,no,seasonal,allowed,52.5200,-4.0500,varies,toilets|visitor-centre,easy,partial,kitesurfing|walking,no,0,"kitesurfing|dunes|nature","tides|soft-sand","Stunning sand dunes at the mouth of the Dovey Estuary. National Nature Reserve. Great for kitesurfing and views across to Aberdyfi."
blue-pool-ceibwr,Blue Pool (Ceibwr),ceredigion,52.0789,-4.7234,rocky,50,NW,no,no,allowed,52.0801,-4.7189,free,none,steep-path,no,swimming|jumping,no,15,"wild-swimming|adventure|scenery","tides|cliffs","Natural tidal pool carved into cliffs. Dramatic setting. Access requires care - steep path. Best 2 hours either side of low tide."
clarach,Clarach Bay,ceredigion,0.0,0.0,sand-shingle,0,W,no,no,unknown,0.0,0.0,0,cafe|toilets,easy,unknown,none,unknown,0,"families|camping","unknown","[Research Needed] Popular bay north of Aberystwyth with holiday parks."
penbryn,Penbryn Beach,ceredigion,0.0,0.0,sandy,0,W,no,no,unknown,0.0,0.0,0,cafe|toilets,walk,unknown,none,unknown,10,"dark-skies|national-trust","unknown","[Research Needed] National Trust beach known for dark skies and golden sand."
tresaith,Tresaith Beach,ceredigion,0.0,0.0,sandy,0,W,no,no,unknown,0.0,0.0,0,pub|toilets,easy,unknown,none,unknown,0,"waterfall|pub","unknown","[Research Needed] Sandy beach famous for the waterfall cascading onto the beach."
aberporth,Aberporth Beach,ceredigion,0.0,0.0,sandy,0,N,yes,seasonal,unknown,0.0,0.0,0,cafe|toilets,easy,unknown,none,unknown,0,"families|sheltered","unknown","[Research Needed] Two sandy beaches popular with families. Sheltered waters."
new-quay-harbour,New Quay Harbour Beach,ceredigion,0.0,0.0,sandy,0,E,yes,seasonal,unknown,0.0,0.0,0,cafe|toilets|shops,easy,unknown,dolphins|boating,unknown,0,"dolphins|families","unknown","[Research Needed] Sheltered harbour beach famous for dolphin spotting boat trips."
cwmtydu,Cwmtydu Beach,ceredigion,0.0,0.0,shingle,0,W,no,no,unknown,0.0,0.0,0,cafe|toilets,easy,unknown,none,unknown,0,"seals|quiet","unknown","[Research Needed] Quiet cove, historically a smugglers' haunt. Good for seal spotting."
