slug,name,region,lat,lon,parking_lat,parking_lon,parking_cost,beach_type,length_m,facilities,blue_flag,lifeguards,lifeguard_season,dog_rules,water_sports,rock_pools,family_friendly,best_season,hazards,quality_score,tier,tags_audience,tags_features,tags_conditions,description,source_urls,best_for
rhossili-bay,Rhossili Bay,gower,51.5694,-4.2882,51.5694,-4.2882,£6/day,sand,5000,"toilets,cafe,shop",false,false,none,allowed,"surfing,walking",false,4,all-year,"steep-access,shipwreck,tides",10,A,"dog-friendly,nature-lovers,photographers,surfers,walkers","cafe,parking-paid,scenic,shop,toilets","crowds-high,iconic,steep-access,tide-dependent,windy","Rhossili Bay is widely considered one of the best beaches in the world. A 3-mile expanse of golden sand backed by dunes and dominated by the Worm's Head promontory. The walk down from the village is steep but essential. Famous for the Helvetia shipwreck visible at low tide. Strong waves make it popular for surfing, but swimming can be dangerous due to currents. Not for those who can't manage the climb back up.",visitwales.com,"Best for dog friendly, nature lovers, photographers, surfers, walkers."
three-cliffs-bay,Three Cliffs Bay,gower,51.5684,-4.1147,51.5762,-4.1118,£4/day,sand,800,toilets (at car park),false,true,peak-summer,allowed,swimming (caution),false,3,summer,"strong-currents,rips,river-crossing",9,A,"adventurers,couples,dog-friendly,nature-lovers","dunes,parking-paid,river,scenic,toilets","hike-access,tide-dependent","Iconic photogenic bay named after the three limestone cliffs that jut into the sea. Accessed via a beautiful walk through a valley or over dunes from Penmaen. The Pennard Pill stream meanders through the beach to the sea. Swimming is notoriously dangerous here due to strong rips and currents. Perfect for picnics and photography, less so for a family dip.",nationaltrust.org.uk,"Best for adventurers, couples, dog friendly, nature lovers."
oxwich-bay,Oxwich Bay,gower,51.5546,-4.1624,51.5546,-4.1624,£5/day,sand,4000,"toilets,cafe,hotel,shop,water-sports-centre",true,false,none,allowed,"swimming,kayaking,sup,jet-ski",false,5,summer,boat-traffic,8,A,"accessible,dog-walkers,families,water-sports","cafe,parking-onsite,parking-paid,rental,shop,toilets","calm-water,crowds,crowds-high,flat-access","A vast, easily accessible sandy beach that's perfect for families and water sports enthusiasts. The car park opens directly onto the sand. Home to the Oxwich Bay Hotel and a water sports centre. The water is generally calm and safe for swimming. You can walk for miles towards Tor Bay. Can get very busy on sunny weekends.",visitswanseabay.com,"Best for accessible, dog walkers, families, water sports."
caswell-bay,Caswell Bay,gower,51.5697,-4.0325,51.5705,-4.0318,£3-5/day,sand,500,"toilets,cafe,shop,showers",true,true,May-Sep,seasonal-ban-May-Sep,"surfing,swimming,rock-pooling",true,5,all-year,crowds,8,A,"accessible,families,surfers","cafe,lifeguards,parking-onsite,parking-paid,rock-pools,shop,shower,toilets","busy,crowds-high,safe-swimming,tide-dependent","A compact, sheltered sandy bay that is a favourite with families and surfers. Excellent facilities including beachside cafes and surf equipment hire. The beach is accessible with a ramp. Rock pools abound at low tide. Lifeguards patrol in season, making it a safe choice for swimming. Dog restrictions apply in summer.",swansea.gov.uk,"Best for accessible, families, surfers."
langland-bay,Langland Bay,gower,51.5678,-4.0156,51.5685,-4.0142,£3-6/day,sand,600,"toilets,cafe,restaurant,beach-huts,tennis",true,true,May-Sep,seasonal-ban-May-Sep,"surfing,swimming",true,5,all-year,rocks-at-high-tide,8,A,"families,posh,surfers","beach-huts,cafe,parking-onsite,parking-paid,promenade,toilets","tide-dependent,urban-feel","The ""posh"" beach of Gower, lined with green and white beach huts and palm trees. A Victorian seaside feel with a promenade, tennis courts, and brasseries. Famous for its surf break (Crab Island) for experts. Great for families with easy access and plenty of facilities. The sand can disappear at very high tide.",visitswanseabay.com,"Best for families, posh, surfers."
pobbles-bay,Pobbles Bay,gower,51.5670,-4.1050,51.5732,-4.0950,free,sand,400,none,false,false,none,allowed,"swimming,walking",false,3,summer,"strong-currents,tides",7,B,"couples,dog-friendly,nature-lovers,walkers","parking-free,scenic,secluded","hike-access,no-facilities,quiet,tide-dependent","Often quieter than its neighbour Three Cliffs, Pobbles is surrounded by limestone cliffs and dunes. Best accessed from Southgate (National Trust parking). The beach connects to Three Cliffs at low tide but beware of getting cut off. No facilities on the beach itself, making it a wilder, more peaceful option.",thegower.com,"Best for couples, dog friendly, nature lovers, walkers."
tor-bay,Tor Bay,gower,51.5600,-4.1350,51.5762,-4.1118,£4/day,sand,900,none,false,false,none,allowed,"walking,swimming",false,3,summer,"currents,isolation",7,B,"dog-friendly,quiet,walkers","hike-access,parking-paid,sandy,spacious","no-facilities,quiet","A huge expanse of sand shaped like a question mark. Often overlooked by the crowds at Oxwich and Three Cliffs. Accessed via a long walk from Penmaen or a cliff path from Oxwich. It has no facilities, guaranteeing a quiet day out even in August. Great for dogs and space to run.",goweros.com,"Best for dog friendly, quiet, walkers."
port-eynon,Port Eynon,gower,51.5436,-4.2117,51.5445,-4.2105,£5/day,sand,1200,"toilets,chips,shop,youth-hostel",true,true,May-Sep,seasonal-ban-section,"swimming,kayaking,fishing",true,5,summer,boat-launching,7,A,"campers,families,fish-and-chips","accessible,commercial,parking-onsite,parking-paid,shop,slipway,toilets,village","commercial,crowds-high","A village-backed beach with a commercial feel—fish and chip shops, surf store, and campsite. A slipway makes it popular for boat launching. The beach is sandy and safe when lifeguarded. Historic salt house ruins add interest. A good base for a full day out with all amenities to hand.",swansea.gov.uk,"Best for campers, families, fish and chips."
horton-beach,Horton Beach,gower,51.5460,-4.2000,51.5480,-4.2000,£4/day,sand,1000,toilets,false,true,May-Sep,allowed,"swimming,walking",false,4,summer,currents,7,B,"dog-friendly,families,nature-lovers,quieter-than-port-eynon","dunes,parking-nearby,parking-paid,sandy,toilets",quiet,"Essentially the eastern end of Port Eynon bay but much quieter. Backed by dunes and the village of Horton. A steep walk down from the car park or a walk along the sand from Port Eynon. Dog friendly year round, unlike the main Port Eynon section. Good for avoiding the busiest crowds.",visitswanseabay.com,"Best for dog friendly, families, nature lovers, quieter than port eynon."
llangennith,Llangennith (Rhossili North),gower,51.5900,-4.2800,51.5950,-4.2700,£4/day,sand,4000,"cafe,shop,toilets",false,false,none,allowed,"surfing,kite-surfing",false,4,all-year,"surf,rips",9,A,"campers,dog-friendly,nature-lovers,surf-mecca,surfers","cafe,camping,dunes,huge-beach,parking-paid,shop,toilets","crowds-high,windy","The surf capital of Gower. Technically the northern end of Rhossili Bay, but accessed via Llangennith village and Hillend campsite. Miles of sand backed by massive dunes. Always has waves. Very popular with campers and surfers. Dog friendly and feels endless. Wetsuits are the uniform here.",hillendcamping.com,"Best for campers, dog friendly, nature lovers, surf mecca, surfers."
