slug,name,region,lat,lon,beach_type,length_m,aspect,blue_flag,lifeguards,dog_rules,parking_lat,parking_lon,parking_cost,facilities,access_type,wheelchair_access,water_sports,rock_pools,walk_in_mins,best_for,hazards,description,quality_score,tier,tags_audience,tags_features,tags_conditions,source_urls
abersoch-main,Abersoch Main Beach,llyn-peninsula,52.8234,-4.4989,sandy,800,E,no,seasonal,restricted-summer,52.8250,-4.5000,6,cafe|toilets|showers,easy,yes,watersports|sailing,no,2,families|watersports|posh,busy,Popular resort beach with beach huts and safe swimming. Very busy in summer.,9,A,families|watersports,toilets|cafe|parking-paid,summer-only|crowds-high,https://www.visitsnowdonia.info/abersoch
porth-neigwl,Porth Neigwl (Hell's Mouth),llyn-peninsula,52.8050,-4.5550,sandy,6000,SW,no,no,year-round,52.8100,-4.5500,free,none,walk,no,surfing,no,10,surfing|walking|wild,rips|currents,Vast bay famous for surfing. Dangerous currents for swimmers. Wild and uncommercialised.,8,A,surfing|wild,parking-free,weather-dependent|crowds-low,https://www.nationaltrust.org.uk/
aberdaron,Aberdaron Beach,llyn-peninsula,52.8040,-4.7110,sandy,1500,S,yes,no,restricted-summer,52.8050,-4.7120,5,cafe|toilets|pub,easy,yes,sailing|kayaking,yes,1,families|village|history,tides,Mile-long sandy beach in a historic village. Boat trips to Bardsey Island.,8,A,families|village|history,toilets|cafe|pub-nearby|parking-paid,all-year,https://www.aberdaronlink.co.uk/
porthdinllaen,Porthdinllaen,llyn-peninsula,52.9430,-4.5680,sandy,1000,N,no,no,restricted-summer,52.9360,-4.5510,5,pub|toilets,walk,no,swimming|paddling,yes,20,pub|views|history,tides,Home to the famous Ty Coch Inn on the beach. National Trust owned. Accessible only by foot or boat.,9,A,families|pub-nearby,toilets|pub-nearby|parking-paid,all-year,https://www.nationaltrust.org.uk/porthdinllaen
morfa-nefyn,Morfa Nefyn,llyn-peninsula,52.9360,-4.5510,sandy,1500,N,no,no,restricted-summer,52.9370,-4.5520,5,cafe|toilets,easy,partial,swimming|kayaking,yes,5,families|walking|access,tides,Long sandy crescent leading to Porthdinllaen. Good facilities and easier access than its neighbour.,7,B,families|walking,toilets|cafe|parking-paid,summer-only,https://www.visitsnowdonia.info/
pwllheli-south,Pwllheli South Beach,llyn-peninsula,52.8840,-4.4080,shingle,3000,S,yes,seasonal,restricted-summer,52.8850,-4.4090,4,cafe|toilets,easy,yes,swimming|walking,no,2,walking|families|facilities,steep-shelf,Long shingle and sand beach stretching towards Llanbedrog. Backed by promenade.,5,B,walking|families,toilets|cafe|parking-paid,all-year,https://www.visitsnowdonia.info/pwllheli
porth-oer,Porth Oer (Whistling Sands),llyn-peninsula,52.8460,-4.7130,sandy,400,N,no,no,restricted-summer,52.8470,-4.7140,5,cafe|toilets,walk,no,swimming|bodyboarding,yes,5,unique|families|surfing,tides,Famous for its 'whistling' sands that squeak underfoot. National Trust managed.,9,A,unique|families|surfing,toilets|cafe|parking-paid,all-year,https://www.nationaltrust.org.uk/porth-oer
llanbedrog,Llanbedrog Beach,llyn-peninsula,52.8550,-4.4810,sandy,1000,SE,no,seasonal,year-round,52.8560,-4.4820,5,cafe|toilets,walk,no,swimming|paddling,no,5,families|sheltered|huts,tides,Sheltered National Trust beach with colorful beach huts. Famous Tin Man statue on headland.,8,A,families|sheltered|walking,toilets|cafe|parking-paid,summer-only,https://www.nationaltrust.org.uk/llanbedrog
porth-iago,Porth Iago,llyn-peninsula,52.8510,-4.7220,sandy,100,W,no,no,year-round,52.8520,-4.7210,5,camping,walk,no,swimming|sunsets,yes,5,camping|swimming|seclusion,steep-access,Stunning cove with crystal clear water. Private access through farm/campsite.,8,A,camping|swimming|secluded,parking-paid|camping-nearby,weather-dependent,https://www.porthiago.co.uk/
porth-ceiriad,Porth Ceiriad,llyn-peninsula,52.8020,-4.5150,sandy,600,S,no,no,year-round,52.8080,-4.5160,3,none,walk,no,surfing|sunbathing,no,15,surfing|seclusion|sun,steep-steps,South facing sun-trap sheltered from northerly winds. Good surf in right conditions.,7,B,surfing|secluded,parking-paid,weather-dependent,https://www.visitsnowdonia.info/
porth-ysgo,Porth Ysgo,llyn-peninsula,52.8000,-4.6600,sandy,200,S,no,no,year-round,52.8050,-4.6550,2,none,walk,no,bouldering|exploring,yes,20,bouldering|wild|walking,steep-steps,Wild beach with black sands and waterfall. Famous for bouldering on the beach rocks.,7,B,bouldering|wild|walking,parking-paid,all-year,https://www.ukclimbing.com/
traeth-penllech,Traeth Penllech,llyn-peninsula,52.8750,-4.6850,sandy,1000,NW,no,no,year-round,52.8800,-4.6800,0,none,walk,no,walking|solitude,yes,15,solitude|walking|nature,remote,Remote sandy beach on the north coast. Often empty even in summer.,6,B,secluded|walking,parking-free,crowds-low,https://www.visitsnowdonia.info/
machroes,Machroes Beach,llyn-peninsula,52.8120,-4.4900,sandy,500,E,no,no,year-round,52.8130,-4.4910,4,cafe,walk,partial,dog-walking|paddling,no,5,dog-friendly|families,muddy-parts,The southern end of Abersoch bay. Much quieter and dog friendly year round.,6,B,dog-friendly|families,cafe|parking-paid,all-year,https://www.visitsnowdonia.info/
criccieth-west,Criccieth West Beach,llyn-peninsula,52.9150,-4.2340,pebbly,1000,S,yes,seasonal,restricted-summer,52.9160,-4.2350,3,cafe|toilets,easy,yes,swimming|views,yes,1,families|views|castle,steep-shelf,Mixed sand and pebble beach overlooked by Criccieth Castle. South facing.,7,B,families|views|castle,toilets|cafe|parking-paid,all-year,https://www.visitsnowdonia.info/criccieth
porth-colmon,Porth Colmon,llyn-peninsula,52.8700,-4.7000,rocky,200,NW,no,no,year-round,52.8710,-4.6990,free,none,walk,no,fishing|rockpooling,yes,5,fishing|quiet,rocky,Quiet rocky cove with some sand at low tide. Popular for fishing.,5,C,fishing|quiet,parking-free,crowds-low,https://www.visitsnowdonia.info/
