slug,name,region,lat,lon,beach_type,length_m,aspect,blue_flag,lifeguards,dog_rules,parking_lat,parking_lon,parking_cost,facilities,access_type,wheelchair_access,water_sports,rock_pools,walk_in_mins,best_for,hazards,description
harlech,Harlech Beach,snowdonia,52.8634,-4.1334,sandy,3000,W,no,no,year-round,52.8645,-4.1323,3,cafe|toilets,easy,partial,all,yes,5,"castle-views|dunes|space","tides","Vast beach beneath dramatic castle. Royal St David's golf course behind dunes. Usually uncrowded despite scale. Spectacular sunsets."
barmouth,Barmouth Beach (Abermaw),snowdonia,52.7196,-4.0556,sandy,4000,W,yes,seasonal,restricted-summer,52.7180,-4.0540,pay,cafe|toilets|showers|shops,easy,yes,swimming|kayaking|fishing,no,1,"families|promenade|traditional-seaside","currents-estuary","Classic seaside resort beach. Huge expanse of sand, donkey rides, harbour, and views up the Mawddach Estuary."
fairbourne,Fairbourne Beach,snowdonia,52.6974,-4.0538,pebble|sandy,3000,W,yes,no,restricted-summer,52.6950,-4.0500,pay,toilets|shops,easy,partial,surfing|windsurfing,no,2,"walking|quiet|views","steep-shingle","Two-mile stretch of golden sand at low tide backed by a steep pebble bank. Famous for its miniature railway."
tywyn,Tywyn Beach,snowdonia,52.5830,-4.0950,sandy,5000,W,yes,seasonal,restricted-summer,52.5810,-4.0930,pay,cafe|toilets|promenade,easy,yes,surfing|jet-skiing,no,1,"families|surfing|dolphins","rips","Long sandy beach with a promenade. Popular for surfing and spotting Cardigan Bay dolphins. Sunset cinema nearby."
aberdovey,Aberdovey Beach,snowdonia,52.5445,-4.0543,sandy,6000,S,yes,seasonal,restricted-summer,52.5450,-4.0450,pay,cafe|toilets|shops,easy,yes,sailing|kitesurfing|paddleboarding,no,1,"sailing|crabbing|families","currents|tides","Where the mountains meet the sea. Miles of sand dunes stretching north. Sailing hub with picturesque pastel houses."
black-rock-sands,Black Rock Sands (Morfa Bychan),llyn-peninsula,52.9150,-4.1600,sandy,3000,S,no,seasonal,restricted-summer,52.9160,-4.1580,pay,toilets|shop,easy,yes,kitesurfing|jet-skiing,yes,0,"cars|families|picnics","traffic","Famous open sands where you can drive your car onto the beach. Caves to explore at the western end. Popular with families."
criccieth,Criccieth Beach,llyn-peninsula,52.9160,-4.2340,mixed,1000,S,seasonal,seasonal,restricted-summer,52.9170,-4.2330,pay,cafe|toilets|ice-cream,easy,partial,kayaking|paddleboarding,yes,2,"castle-views|families|history","steep-shingle","Beaches split by a headland topped with a medieval castle. South-facing with views across Cardigan Bay to Harlech."
llandanwg,Llandanwg Beach,snowdonia,52.8270,-4.1200,sandy|rocky,1000,W,no,no,restricted-summer,52.8280,-4.1190,pay,cafe|toilets,easy,partial,kayaking|fishing,yes,1,"rock-pooling|church|shelter","currents","Sheltered beach with a medieval church in the dunes (St Tanwg). Great for rock pooling and kayaking in the lagoon."
bennar,Bennar Beach (Dyffryn),snowdonia,52.7900,-4.1250,sandy,4000,W,yes,no,yes,52.7920,-4.1200,pay,toilets,walk,no,surfing,no,10,"space|dunes|naturism","remote","Massive expanse of sand backed by high dunes. Wooden boardwalk access. Includes a designated naturist section."
shell-island,Shell Island (Mochras),snowdonia,52.8150,-4.1400,sandy,3000,W,no,no,yes,52.8160,-4.1380,pay,cafe|toilets|shops,tidal,partial,fishing,yes,20,"shells|camping|wildness","tides","A peninsula that becomes an island at high tide. Famous for the variety of seashells found on its beaches. Huge campsite."
