slug,name,region,lat,lon,jump_max_m,best_tide,swell_limit,water_temp,difficulty,hazards,parking,facilities,operators,quality_score,tier,description
abereiddy,Abereiddy (Blue Lagoon),pembrokeshire,51.9334,-5.2034,10,High,Moderate,15,Beginner/Intermediate,"Crowds, cold water","National Trust car park nearby (paid)","Toilets, mobile cafe in summer","TYF, Preseli Venture, Celtic Quest",95,1,"The iconic Blue Lagoon is a former slate quarry with deep water, perfect for jumps. A must-do coasteering classic."
st-davids,St Davids (St Non's),pembrokeshire,51.8730,-5.2660,8,Mid-High,Low-Moderate,15,Intermediate,"Swell, currents","Roadside near chapel","None (St Davids nearby)","TYF, Muuk",85,2,"Wilder coastline south of St Davids. Caves, arches, and wildlife encounters are common here."
stackpole,Stackpole Quay,pembrokeshire,51.6178,-4.9234,8,High,Low,15,Beginner,Tides,"National Trust car park (paid)","Toilets, cafe (Boathouse)","Activity Pembrokeshire, Outer Reef",90,1,"Sheltered south coast spot with caves and clear water. Great for families and beginners. Near Barafundle Bay."
abermawr,Abermawr,pembrokeshire,51.9567,-5.1234,8,Low-Mid,Moderate,14,Intermediate,"Remote, swell","Small car park",None,"Preseli Venture",80,2,"Rugged north coast. Remote feel with larger swell potential and dramatic rock formations."
porth-clais,Porthclais Harbour,pembrokeshire,51.8678,-5.2567,6,High,Low,15,Beginner,"Boat traffic","National Trust car park (paid)","Kiosk, toilets","TYF, Celtic Quest",85,2,"Sheltered harbour providing a safe introduction to coasteering. Good for windy days when other spots are blown out."
lydstep,Lydstep Caverns,pembrokeshire,51.6450,-4.7550,6,Low,Low,15,Intermediate,"Tides (caves)","National Trust car park (paid)","Toilets (seasonal)","Activity Pembrokeshire",88,2,"Famous for its smugglers caves which are accessible at low tide. A unique spelunking-style coasteer."
rhossili,Rhossili (Worm's Head),gower,51.5650,-4.2900,10,Low-Mid,Moderate,15,Advanced,"Strong currents, swell, isolation","National Trust car park (paid)","Toilets, pub nearby","Gower Adventures, Rip N Rock",92,1,"The Dragon's back. A committing adventure around the tidal island of Worm's Head. Expert guidance essential."
caswell-bay,Caswell Bay,gower,51.5700,-4.0300,5,Mid-High,Low,15,Beginner,Crowds,"Large pay and display","Cafe, toilets, showers","Gower Activity Centres",80,3,"Accessible and popular. Good for younger groups and beginners looking for a gentle introduction."
mewslade,Mewslade Bay,gower,51.5600,-4.2300,8,Low-Mid,Moderate,15,Intermediate,"Tides, scramble access","Farm car park (paid)",None,"Rip N Rock",85,2,"Dramatic limestone cliffs and jagged rocks. A stunning location for those willing to walk a bit."
south-stack,South Stack,anglesey,53.3050,-4.6950,10,Mid,Moderate,13,Advanced,"Height, swell, currents","RSPB car park (paid)","Toilets, cafe","Anglesey Adventures",94,1,"Beneath the famous lighthouse. Big jumps, deep water, and seals. A high-adrenaline location."
porth-dafarch,Porth Dafarch,anglesey,53.2850,-4.6600,6,All,Low,13,Beginner/Intermediate,"Boat traffic","Roadside / small car park",Toilets,"Anglesey Adventures, B-Active",88,2,"Sheltered cove often used for training. Rocky outcrops and easy access make it perfect for skill building."
trearddur-bay,Trearddur Bay,anglesey,53.2800,-4.6200,5,High,Low,13,Beginner,Crowds,"Large car park","Toilets, cafes, shops",Various,75,3,"Very accessible urban coasteering. Good for quick sessions and large groups."
rhoscolyn,Rhoscolyn (Bwa Gwyn),anglesey,53.2450,-4.6000,9,Mid,Moderate,13,Intermediate,"Currents (Beacon Rocks)","Limited roadside / pub car park","Pub nearby","B-Active",90,2,"Features the White Arch (Bwa Gwyn). Stunning geology and wilder feel than Trearddur."
morfa-nefyn,Morfa Nefyn,llyn-peninsula,52.9350,-4.5600,7,High,Low,14,Beginner,"Crowds at pub","National Trust (paid)","Toilets, Ty Coch Inn","Llŷn Adventures",85,2,"Coasteering near the famous Ty Coch Inn. Gentle waters and sandy bays interspersed with rocks."
aberdaron,Aberdaron,llyn-peninsula,52.8050,-4.7100,8,Mid,Moderate,14,Intermediate,"Swell, currents (Bardsey Sound)","Village car park","Toilets, cafes","Llŷn Adventures",88,2,"The end of the road. Wild and beautiful with views towards Bardsey Island. Clear water."
barry-island,Barry Island,south-wales,51.3900,-3.2750,5,All,Low,14,Beginner,"Muddy water","Large car parks","Full resort facilities","Adventure Britain",70,3,"Urban coasteering near Cardiff. Great for stag/hen dos but lacks the clarity and scenery of the west."
