slug,name,region,lat,lon,distance_km,ascent_m,difficulty,time_hours,route_type,terrain,highlights,dog_friendly,family_friendly,buggy_friendly,parking_lat,parking_lon,parking_cost,facilities,waymarked,map_os,best_season,hazards,description
pen-y-fan-storey-arms,Pen y Fan via Storey Arms,brecon-beacons,51.8839,-3.4367,6.5,460,moderate,2.5-3.5,out-and-back,mountain-path,"summit|views|iconic",true,older-kids,false,51.8795,-3.4984,free,toilets|food-truck,yes,OL12,year-round,"weather|erosion","The 'Motorway' route. Most popular and easiest way to the highest peak in South Wales. Well surfaced path but steep. Very busy on weekends."
pen-y-fan-pont-ar-daf,Pen y Fan via Pont ar Daf,brecon-beacons,51.8839,-3.4367,6.0,440,moderate,2.5-3,out-and-back,mountain-path,"summit|accessible-start|views",true,older-kids,false,51.8672,-3.4564,free,toilets|food-truck,yes,OL12,year-round,"weather|crowds","Slightly shorter alternative starting from the main car park. Merges with Storey Arms path. Good wide path suitable for most abilities (but still a mountain)."
pen-y-fan-horseshoe,Pen y Fan Horseshoe,brecon-beacons,51.8839,-3.4367,12.0,750,challenging,5-6,circular,mountain-path,"ridge-walk|views|quieter",true,teens,false,51.8973,-3.4182,free,none,no,OL12,spring-autumn,"weather|steep-drops","The classic horseshoe route from Cwm Gwdi. Ascends Cribyn, Pen y Fan, Corn Du. Much quieter and more scenic than the main tourist tracks."
corn-du-pen-y-fan,Corn Du & Pen y Fan Circular,brecon-beacons,51.8814,-3.4406,7.0,500,moderate,3-4,circular,mountain-path,"two-summits|views|lake-views",true,older-kids,false,51.8672,-3.4564,free,toilets|food-truck,yes,OL12,year-round,"weather|steep-sections","Circular loop taking in both main peaks. Go up Corn Du first for dramatic reveal of Pen y Fan. Descent via main path."
fan-y-big-gap,Fan y Big via The Gap,brecon-beacons,51.8756,-3.4123,10.0,550,moderate-challenging,4-5,circular,mountain-path,"diving-board|views|roman-road",true,teens,false,51.8532,-3.3798,free,none,partial,OL12,spring-autumn,"weather|remote","Route to the famous 'Diving Board' rock. Uses the Roman Road (The Gap). Less crowded. Great views of the main peaks."
fan-brycheiniog-llyn-y-fan-fach,Fan Brycheiniog & Llyn y Fan Fach,brecon-beacons,51.8839,-3.7114,8.0,600,moderate,3-4,circular,mountain-path,"lake|legend|cliffs",true,older-kids,false,51.8967,-3.7508,free,none,no,OL12,spring-autumn,"cliffs|weather","Spectacular walk in the Black Mountain range (western Brecons). Visit the legendary 'Lady of the Lake'. Dramatic escarpment walking."
carmarthen-fans,The Carmarthen Fans (Picws Du),brecon-beacons,51.8817,-3.7258,15.0,800,challenging,5-6,circular,mountain-path,"ridge-walk|wild|lakes",true,teens,false,51.8967,-3.7508,free,none,no,OL12,spring-autumn,"weather|navigation|remote","Extended loop taking in Fan Brycheiniog, Picws Du and Fan Foel. One of the finest ridge walks in Wales. Wild and remote feel."
four-falls-trail,Four Falls Trail,brecon-beacons,51.8012,-3.5501,9.0,250,moderate,3-4,circular,woodland-path,"waterfalls|caves|woodland",true,older-kids,false,51.8012,-3.5501,paid,toilets|shop,yes,OL12,year-round,"slippery-rocks|mud","Famous waterfall walk visiting Sgwd Clun-Gwyn, Sgwd Isaf Clun-Gwyn, Sgwd y Pannwr, and Sgwd yr Eira (where you can walk behind the falls)."
elidir-trail,Elidir Trail (Waterfall Country),brecon-beacons,51.7583,-3.5902,6.0,150,easy-moderate,2-3,out-and-back,river-path,"waterfalls|fairy-glen|accessible-start",true,kids,false,51.7583,-3.5902,free,cafe|toilets,yes,OL12,year-round,"slippery-paths","Scenic riverside walk from Pontneddfechan. Passes multiple waterfalls including Sgwd Gwladus. Mythical 'Fairy Glen' atmosphere."
sugar-loaf,Sugar Loaf,brecon-beacons,51.8582,-3.0581,6.0,350,moderate,2.5,circular,moorland,"views|accessible|heather",true,kids,false,51.8504,-3.0423,free,none,partial,OL13,year-round,"weather","Iconic conical peak near Abergavenny. Gentle ascent with massive views. Great for families and sunset walks."
