slug,name,region,lat,lon,distance_km,ascent_m,route_type,time_hours,terrain,difficulty,scramble_grade,os_map,parking,parking_lat,parking_lon,parking_cost,facilities,dog_friendly,waymarked,best_season,hazards,highlights,quality_score,tier,description,tags_audience,tags_features,tags_conditions,best_for
snowdon-llanberis,Snowdon Llanberis Path,snowdonia,53.1190,-4.1250,14.5,975,Out and back,5-7,Mountain Path,Moderate,None,OL17,Pay and display,,,,Cafe|Toilets,Yes,Yes,Spring-Autumn,Crowds|Weather,Summit Cafe|Views,90,Classic,"The most popular and easiest route technically, though longest. Follows the railway.",,cafe|dog-friendly|linear|toilets|waymarked,clear-weather-only,views
snowdon-pyg,Snowdon Pyg Track,snowdonia,53.0790,-4.0230,11,720,Out and back,4-6,Rocky Path,Hard,None,OL17,Pre-book Pen-y-Pass,,,,Toilets,Yes,Yes,Spring-Autumn,Steep drops|Weather,Classic Views|Lakes,95,Classic,Classic rugged route with spectacular views of the horseshoe. Steep sections.,experienced-hikers,dog-friendly|linear|toilets|waymarked,clear-weather-only|exposed,lakes|views
snowdon-miners,Snowdon Miners' Track,snowdonia,53.0790,-4.0230,12.5,680,Out and back,5-6,Gravel|Rocky,Moderate,None,OL17,Pre-book Pen-y-Pass,,,,Toilets,Yes,Yes,Spring-Autumn,Lakes|History,Mining Ruins|Lakes,92,Classic,Easy start past lakes then steep climb to join Pyg Track. Historic mine ruins.,,dog-friendly|linear|toilets|waymarked,,history|lakes
snowdon-watkin,Snowdon Watkin Path,snowdonia,53.0360,-4.0230,13,1015,Out and back,5-7,Woodland|Rocky,Hard,None,OL17,Pay and display,,,,None,No,Partial,Summer,Loose Scree|Steep,Waterfalls|South Ridge,94,Classic,Most scenic but toughest standard path. Starts near sea level. Final scree slope is loose.,experienced-hikers,linear,,ridge-walking|waterfalls
snowdon-rhyd-ddu,Snowdon Rhyd Ddu Path,snowdonia,53.0537,-4.1378,12,895,Out and back,5-6,Ridge|Path,Hard,None,OL17,Pay and display,,,,Toilets,Yes,Partial,Spring-Autumn,Narrow Ridge,Bwlch Main Ridge|Quiet,91,Gem,Quieter route offering dramatic ridge walking on Bwlch Main without scrambling.,experienced-hikers,dog-friendly|linear|toilets,,ridge-walking|solitude
snowdon-ranger,Snowdon Ranger Path,snowdonia,53.0768,-4.1481,13,936,Out and back,5-6,Zig-zags|Path,Moderate,None,OL17,Pay and display,,,,None,Yes,Yes,Spring-Autumn,Exposure,Views to Sea|Quiet,88,Gem,"Oldest path, winding up the western flank. Less crowded than Llanberis/Pyg.",,dog-friendly|linear|waymarked,exposed,coastal|solitude|views
crib-goch,Crib Goch,snowdonia,53.0790,-4.0230,11,920,Circular,5-7,Knife-edge Ridge,Severe,1,OL17,Pre-book Pen-y-Pass,,,,Toilets,No,No,Summer,Fatal drops|Wind,Adrenaline|Ridge,98,Legendary,Famous knife-edge scramble. Not for beginners. Serious exposure.,experienced-hikers|scramblers,circular|toilets,exposed,ridge-walking
tryfan-north-ridge,Tryfan North Ridge,snowdonia,53.1230,-4.0150,5,600,Circular,3-4,Scramble,Hard,1,OL17,Roadside (A5),,,,Toilets nearby,No,No,Summer,Scrambling|Navigation,Adam and Eve|Cannon,97,Legendary,Iconic scramble. Hands needed most of the way. Jump between Adam and Eve stones.,experienced-hikers|scramblers,circular|toilets,exposed|navigation-skills,
tryfan-south-ridge,Tryfan South Ridge,snowdonia,53.1230,-4.0150,5.5,600,Circular,3-4,Rocky Path,Hard,None,OL17,Roadside (A5),,,,Toilets nearby,Yes,Partial,Spring-Autumn,Loose Rock,Summit|Views,90,Classic,Easier way up Tryfan but still steep and rocky. Good descent option.,experienced-hikers,circular|dog-friendly|toilets,,views
glyderau-bochlwyd-horseshoe,Glyderau Bochlwyd Horseshoe,snowdonia,53.1230,-4.0150,7,750,Circular,5-6,Rocky|Scree,Severe,1,OL17,Ogwen Cottage,,,,Cafe|Toilets,No,No,Summer,Scree|Scrambling,Cantilever Stone|Castell y Gwynt,96,Legendary,Takes in Glyder Fach and Fawr via Bristly Ridge (G1) and Devil's Kitchen. Lunar landscape.,experienced-hikers|scramblers,cafe|circular|toilets,exposed,ridge-walking
