slug,name,region,lat,lon,distance_km,ascent_m,difficulty,time_hours,route_type,terrain,highlights,dog_friendly,family_friendly,buggy_friendly,parking_lat,parking_lon,parking_cost,facilities,waymarked,map_os,best_season,hazards,description
snowdon-llanberis,Snowdon via Llanberis Path,snowdonia,53.0789,-4.0756,14.5,975,moderate,5-7,out-and-back,mountain-path,"summit|views|cafe",true,older-kids,false,53.1189,-4.1256,10,cafe|toilets,yes,OL17,spring-autumn,"weather|crowds|navigation","The most popular and 'easiest' route up Snowdon. Follows the railway track. Still a proper mountain - don't underestimate. Summit café when train running."
snowdon-pyg,Snowdon via Pyg Track,snowdonia,53.0789,-4.0756,11.0,720,challenging,4-6,out-and-back,mountain-path,"views|scrambling|dramatic",true,older-teens,false,53.0689,-4.0234,10,toilets,yes,OL17,spring-autumn,"scrambling|exposure|weather","More dramatic than Llanberis with better views. Rocky sections require hands. Starts from Pen-y-Pass - arrive early or take Sherpa bus. Joins Miners' at Glaslyn."
snowdon-miners,Snowdon via Miners Track,snowdonia,53.0789,-4.0756,12.5,680,moderate-challenging,5-6,out-and-back,mountain-path,"lakes|mines|views",true,older-kids,false,53.0689,-4.0234,10,toilets,yes,OL17,spring-autumn,"weather|steep-finish","Scenic route past Llyn Llydaw and Glaslyn. Easier than Pyg until final steep section to join Llanberis path. Historic mining remains."
crib-goch,Crib Goch,snowdonia,53.0789,-4.0756,12.0,920,severe,5-7,circular,scramble,"knife-edge|adrenaline|views",false,no,false,53.0689,-4.0234,10,toilets,no,OL17,summer,"exposure|scrambling|fatal-drops","Grade 1 scramble along knife-edge ridge. Genuinely dangerous in wind/wet/ice. People die here. Do not attempt unless experienced scrambler with head for heights. Spectacular but serious."
tryfan-north,Tryfan North Ridge,snowdonia,53.1189,-3.9989,3.0,600,challenging,3-4,out-and-back,scramble,"scrambling|adam-eve|views",false,no,false,53.1189,-4.0189,free,none,no,OL17,spring-autumn,"scrambling|exposure","Classic Grade 1 scramble up iconic peak. Hands required throughout. Jump between Adam and Eve rocks on summit (optional and exposed). Descent via South Ridge or Heather Terrace."
pen-y-fan,Pen y Fan,brecon-beacons,51.8839,-3.4367,6.5,450,moderate,2.5-3.5,circular,mountain-path,"summit|views|iconic",true,older-kids,false,51.8667,-3.4178,5,toilets,yes,OL12,year-round,"weather|erosion","Highest peak in South Wales. Multiple routes - Storey Arms most popular but eroded. Pont ar Daf adds loop via Corn Du. Get there early on weekends."
fan-y-big,Horseshoe Ridge,brecon-beacons,51.8756,-3.4123,16.0,800,challenging,6-8,circular,mountain-path,"ridge-walk|views|quiet",true,no,false,51.8534,-3.3789,3,none,partial,OL12,spring-autumn,"weather|navigation|remote","Classic Beacons horseshoe taking in Pen y Fan, Corn Du, Cribyn, and Fan y Big. Long day but quieter than just Pen y Fan. Navigation skills needed in mist."
cadair-idris-pony,Cadair Idris via Pony Path,snowdonia,52.6989,-3.9089,10.0,700,moderate-challenging,4-6,out-and-back,mountain-path,"summit|views|legend",true,older-kids,false,52.7089,-3.8689,5,cafe|toilets,yes,OL23,spring-autumn,"weather|steep-sections","Classic route up 'Chair of Idris'. Legend says sleep on summit and wake poet or mad. Steep in places but well-maintained. Llyn Cau cirque spectacular."
cadair-idris-minffordd,Cadair Idris via Minffordd,snowdonia,52.6989,-3.9089,9.5,850,challenging,4-6,out-and-back,mountain-path,"llyn-cau|dramatic|waterfalls",true,no,false,52.6889,-3.8989,5,cafe|toilets,yes,OL23,spring-autumn,"weather|steep|scrambling","More dramatic route via Llyn Cau. Steeper and rougher than Pony Path. The view down to the lake from the rim is breathtaking."
rhossili-worms-head,Worm's Head,gower,51.5634,-4.3234,4.0,100,easy,2-3,out-and-back,coastal,"tidal-island|wildlife|views",true,older-kids,false,51.5689,-4.2856,6,cafe|toilets,no,OL164,year-round,"tides|slippery-rocks","Iconic tidal island. CHECK TIDE TIMES - 2.5 hour window either side of low tide. Coastguard posts times. People get stranded every year. Seals on rocks."
