slug,name,centre_slug,grade,distance_km,climb_m,descent_m,time_mins,surface,drainage,features,family_friendly,ebike_ok,strava_segment,description
yr-afon,Yr Afon,coed-y-brenin,green,10.8,150,150,90,forest-road,good,"waterfalls,views",true,true,,"Forest road loop contouring the hill with waterfall views. Perfect for novices and families. Control speed on descents."
minor-taur,MinorTaur,coed-y-brenin,blue,12.0,200,200,60,singletrack,good,"berms,flow,skills-area",true,true,,"Perfect intro to mountain biking. Reasonably flat and wide (1.5m minimum). Four loops (3/5/9/12km). Fun berms and bumps, no major climbs. Great for kids but enjoyable for experienced riders too."
cyflym-coch,Cyflym Coch,coed-y-brenin,red,11.2,350,350,120,singletrack,good,"dreamtime,uncle-fester,progression",false,true,,"Easiest red at Coed y Brenin. Increases in challenge as it progresses. Includes Dreamtime and Uncle Fester sections. Great for progressing from blue."
temtiwr,Temtiwr,coed-y-brenin,red,8.7,250,250,45,singletrack,good,"black-features,seven-sisters,glide",false,true,,"Short but punchy. Red grade with black TTFs. Undulating traverse then fire road climb, finishing on fast trio: Beginning of the End, Glide, and Seven Sisters. Rocky and demanding."
tarw-du,Tarw Du,coed-y-brenin,black,20.2,600,600,120,singletrack,moderate,"y-slab,retro,technical",false,true,,"Coed y Brenin's oldest trail featuring iconic Y Slab rock sections. Rocky, retro, twisty and technical. Classic descents and old favourites throughout."
mbr,MBR,coed-y-brenin,black,18.4,550,550,120,singletrack,good,"able,false-teeth,highlights",false,true,,"Packs highlights from Dragon's Back and Beast into 18km. Features modernised Able with rocky fly-offs and updated False Teeth. Maximum quality in minimum distance."
dragons-back,Dragon's Back,coed-y-brenin,red,31.1,800,800,240,singletrack,good,"addams-family,gomez,morticia,pugsley,lurch",false,true,,"Longest red at Coed y Brenin. Classic technical XC with tough climbs and long fast descents. Highlight: top-to-bottom Addams Family descents (Gomez, Morticia, Pugsley, Lurch, Uncle Fester)."
the-beast,The Beast,coed-y-brenin,black,38.2,1000,1000,270,singletrack,moderate,"epic,technical,endurance",false,false,,"Coed y Brenin's biggest challenge. Everything: fast open sections, tight technical bits, flowing singletrack, bone-shaking rocks. Major MTB milestone. Not for the faint-hearted."
kermit,Kermit,bikepark-wales,green,4.2,0,300,20,machine-built,excellent,"berms,flow,progression",true,true,,"UK's best beginner downhill trail. 4.2km of flowing green perfection. Utterly unique introduction to gravity riding. Part of Ticket to Ride experiences."
terry-s-belly,Terry's Belly,bikepark-wales,blue,2.8,0,300,15,machine-built,excellent,"berms,flow,jumps-optional",true,true,,"Flowing blue with optional features. Perfect progression from Kermit. Berms, rollers, and baby jumps you can roll if nervous."
dai-hard,Dai Hard,bikepark-wales,red,2.5,0,300,12,machine-built,excellent,"jumps,berms,flow",false,true,,"Classic red flow trail. Well-built jumps, berms, and drops. Good intro to reds at BPW."
vicious-valley,Vicious Valley,bikepark-wales,red,2.0,0,300,10,natural,good,"roots,rocks,natural",false,true,,"Natural feeling red with roots and rocks. Tests technique more than the machine-built trails."
a470,A470,bikepark-wales,black,2.2,0,300,10,machine-built,excellent,"jumps,gaps,pro-features",false,false,,"Serious jump trail. Gaps, step-downs, and committed features. For experienced riders only."
