slug,name,region,lat,lon,break_type,wave_direction,best_wind,best_swell,best_tide,wave_size_min,wave_size_max,bottom,difficulty,crowd_factor,water_quality,hazards,parking_lat,parking_lon,parking_cost,facilities,lifeguards,surf_school,wetsuit_hire,nearest_town,access_notes,best_season,description
llangennith,Llangennith,gower,51.5845,-4.2934,beach-break,right-left,E-NE,SW-W,all,0.5,3.0,sand,beginner-advanced,busy-summer,good,"rips|rocks-north",51.5832,-4.2889,5,cafe|toilets|showers,summer,true,true,Llangennith,Walk from PJs car park 200m,year-round,"Gower's surf epicentre. 3-mile beach works on all tides with multiple peaks. North end rockier and more powerful; middle section best for learners. Gets busy but enough peaks for everyone."
rhossili,Rhossili Bay,gower,51.5667,-4.2889,beach-break,right-left,E-NE,SW-W,all,0.5,2.5,sand,beginner-intermediate,moderate,excellent,rips,51.5689,-4.2856,6,cafe|toilets,summer,false,false,Rhossili,Walk down from village car park 10 mins,year-round,"Spectacular setting beneath Rhossili Down. Same swell as Llangennith but often less crowded. The walk in puts off casual visitors. Strong rips when big."
langland,Langland Bay,gower,51.5678,-3.9889,beach-break,right-left,N-NE,S-SW,mid-high,0.3,1.5,sand-rock,beginner-intermediate,busy,good,rocks,51.5671,-3.9901,4,cafe|toilets|showers,summer,true,true,Mumbles,Easy access from car park,spring-autumn,"Sheltered bay that works in smaller swells. Popular with longboarders and SUPs. Gets crowded but friendly vibe. Reef at west end gives better shape."
caswell,Caswell Bay,gower,51.5712,-3.9778,beach-break,left-right,N-NW,S-SW,low-mid,0.3,1.2,sand,beginner,busy,good,rocks-low-tide,51.5705,-3.9789,4,cafe|toilets,summer,true,true,Mumbles,Easy beach access,spring-autumn,"Small sheltered bay ideal for beginners. Works best on smaller swells. Almost disappears at high tide. Rock pools good for kids when flat."
port-eynon,Port Eynon,gower,51.5423,-4.2134,beach-break,right-left,N-NE,SW-W,low-mid,0.3,1.5,sand,beginner-intermediate,quiet,good,none,51.5434,-4.2145,4,cafe|toilets,no,false,false,Port Eynon,Easy beach access,spring-autumn,"Quieter alternative to Llangennith. Works on similar swells but more sheltered. Good for improvers wanting less crowd."
freshwater-west,Freshwater West,pembrokeshire,51.6456,-5.0567,beach-break,right-left,E-NE,SW-W-NW,all,0.5,4.0,sand,intermediate-advanced,moderate,good,"strong-rips|currents",51.6478,-5.0545,4,toilets,summer,false,false,Castlemartin,Car park to beach 200m,year-round,"Pembrokeshire's most powerful beach. Featured in Harry Potter. Picks up more swell than anywhere in Wales. Strong currents - not for beginners. Spectacular when big."
whitesands,Whitesands Bay,pembrokeshire,51.8934,-5.2967,beach-break,right-left,E-SE,W-SW,all,0.3,2.5,sand,beginner-advanced,busy-summer,excellent,rips-when-big,51.8945,-5.2978,6,cafe|toilets|showers,summer,true,true,St Davids,Easy access from car park,year-round,"Pembrokeshire's most popular surf beach. Consistent waves, RNLI lifeguards, surf school. Near St Davids so gets busy. Beautiful setting."
newgale,Newgale,pembrokeshire,51.8567,-5.1234,beach-break,right-left,E-NE,SW-W,all,0.3,2.5,sand,beginner-intermediate,moderate,good,rips,51.8578,-5.1245,5,cafe|toilets,summer,true,true,Newgale,Roadside parking along beach,year-round,"2-mile beach with reliable surf. Less powerful than Freshwater West but more accessible. Storm pebble bank at top of beach."
manorbier,Manorbier,pembrokeshire,51.6423,-4.7989,beach-break,right-left,N-NW,S-SW,mid,0.3,1.5,sand-rock,intermediate,quiet,good,rocks,51.6434,-4.8001,4,cafe|toilets,no,true,false,Manorbier,Beach car park,spring-autumn,"Beautiful bay beneath castle. Reef at south end gives better shape. Works on south swells when west coast is flat. Uncrowded gem."
broad-haven-south,Broad Haven South,pembrokeshire,51.6234,-4.9123,beach-break,right-left,N-NE,SW-W,mid,0.3,1.5,sand,beginner-intermediate,quiet,excellent,none,51.6245,-4.9134,free,toilets,no,false,false,Bosherston,Walk from Bosherston car park 15 mins,spring-autumn,"Stunning National Trust beach. Walk in keeps crowds away. Sheltered so works when exposed beaches are maxed out. Lily ponds nearby."
