slug,name,region,lat,lon,break_type,wave_direction,best_wind,best_swell_direction,best_tide,wave_size_min_ft,wave_size_max_ft,bottom_type,crowd_factor,skill_level,hazards,parking coords,facilities,surf_schools,quality_score,tier,description
llangennith,Llangennith,Gower,51.5845,-4.2934,Beach Break,Left & Right,"E, SE, NE","W, SW",All tides,2,10,Sand,High,Beginner to Advanced,Rips,"51.5832,-4.2889","Cafe, Toilets, Showers",Yes,9,Premier,"The most consistent surf spot on Gower. 3-mile beach works on all tides with multiple peaks. North end rockier and more powerful; middle section best for learners. Gets busy but enough peaks for everyone."
rhossili,Rhossili Bay,Gower,51.5667,-4.2889,Beach Break,Left & Right,"E, NE","W, SW",All tides,2,8,Sand,Moderate,Intermediate,"Rips, The walk back","51.5689,-4.2856","Cafe, Toilets",No,8,Classic,"Spectacular setting beneath Rhossili Down. Same swell as Llangennith but often less crowded. The walk in puts off casual visitors. Strong rips when big."
langland,Langland Bay,Gower,51.5678,-3.9889,Reef & Beach,Left & Right,"N, NE","S, SW",Mid to High,1,6,"Sand & Rock",High,Intermediate,"Rocks, Crowds","51.5671,-3.9901","Cafe, Toilets, Showers",Yes,7,Classic,"Sheltered bay that works in smaller swells. Popular with longboarders and SUPs. Gets crowded but friendly vibe. Reef at west end gives better shape."
caswell,Caswell Bay,Gower,51.5712,-3.9778,Beach Break,Left & Right,"N, NW","S, SW",Mid to High,1,4,Sand,High,Beginner,Crowds,"51.5705,-3.9789","Cafe, Toilets",Yes,6,Popular,"Small sheltered bay ideal for beginners. Works best on smaller swells. Almost disappears at high tide. Rock pools good for kids when flat."
oxwich,Oxwich Bay,Gower,51.5540,-4.1610,Beach Break,Left & Right,"W, NW","Huge SW",All tides,1,4,Sand,Low,Longboard/Beginner,None,"51.5550,-4.1600","Cafe, Toilets",No,4,Regional,"Needs a massive swell to wrap into the bay. When it works, it offers long, peeling waves perfect for longboarding. Great shelter from westerly storms."
port-eynon,Port Eynon,Gower,51.5423,-4.2134,Beach Break,Left & Right,"N, NE","S, SW",Low to Mid,2,6,Sand,Low,Beginner to Intermediate,None,"51.5434,-4.2145","Cafe, Toilets",No,5,Regional,"Quieter alternative to Llangennith. Works on similar swells but more sheltered. Good for improvers wanting less crowd."
broughton,Broughton Bay,Gower,51.6130,-4.2860,Beach/Point,Left & Right,"S, SE","N, NW",Mid to High,2,6,Sand,Low,Intermediate,"Rips, Currents","51.6100,-4.2800",None,No,6,Secret,"North Gower spot facing NW. Catches different swells to the main beaches. Can be excellent but fickle. Strong currents due to estuary proximity."
three-peaks,Three Peaks,Gower,51.5750,-4.2910,Beach Break,Left & Right,"E, NE","W, SW",All tides,2,8,Sand,Moderate,Intermediate,Rips,"51.5832,-4.2889",None,No,8,Classic,"A defined sandbank section of Llangennith beach offering punchier waves. A bit of a walk from the car park filters out the absolute beginners."
crab-island,Crab Island,Gower,51.5650,-3.9850,Reef,Right,N,SW,Low,3,8,Reef,High,Advanced,"Shallow Reef","51.5671,-3.9901",None,No,8,Premier,"Heavy right hand reef break off Langland point. Only works at low tide. Hollow, fast and unforgiving. Locals only spot - respect is essential."
horton,Horton,Gower,51.5450,-4.2050,Beach Break,Left & Right,"N, NE","S, SW",Low to Mid,2,5,Sand,Low,Beginner,None,"51.5460,-4.2000",Toilets,No,5,Regional,"Connected to Port Eynon but often quieter. Good banks can form here. Easy parking and access. Great for families."
slade,The Slade,Gower,51.5500,-4.1800,Reef,Left,N,SW,High,2,6,Reef/Rock,Low,Intermediate,Rocks,"51.5520,-4.1800",None,No,6,Secret,"Reef break near Oxwich that works on high tide. Can offer a long left hand wall. Tricky access and rocky bottom."
pwll-du,Pwll Du,Gower,51.5600,-4.0500,Point/Rivermouth,Left,N,SW,Low,2,5,Pebbles,Low,Intermediate,Remote,"51.5700,-4.0500",None,No,5,Adventure,"Remote pebbly bay accessible only by foot. Picks up swell well and offers a unique setting. Rivermouth can shape good banks."
