slug,name,region,lat,lon,break_type,wave_direction,best_wind,best_swell,best_tide,wave_size_min,wave_size_max,bottom,difficulty,crowd_factor,water_quality,hazards,parking_lat,parking_lon,parking_cost,facilities,lifeguards,surf_school,wetsuit_hire,nearest_town,access_notes,best_season,quality_score,tier,description,tags_audience,tags_features,tags_conditions,best_for
porth-neigwl,Porth Neigwl (Hell's Mouth),llyn-peninsula,52.8123,-4.5234,beach-break,right-left,e|ne,sw|w,all,0.5,4.0,sand,intermediate-advanced,moderate,good,strong-rips|currents|remote,52.8134,-4.5245,3,,no,false,false,Abersoch,Remote - check conditions before going,year-round,6,Regional,4-mile beach facing full Atlantic. Can get massive. Strong rips and currents. Remote location - no facilities. For experienced surfers only.,advanced|intermediates,,swell-sw|swell-w|tide-all,Experienced surfers
abersoch,Abersoch,llyn-peninsula,52.8234,-4.4989,beach-break,left-right,n|nw,s|sw,mid-high,0.2,1.0,sand,beginner,busy-summer,good,,52.8245,-4.4978,5,cafe|toilets|showers,summer,true,true,Abersoch,Town beach easy access,summer,6,Regional,Sheltered town beach. Small waves suit beginners and SUPs. Popular holiday destination so busy in summer. Works on south swells.,beginners,cafe|hire-available|lifeguards|showers|surf-school|toilets,swell-s|swell-sw|tide-high|tide-mid,Learning to surf
porth-ceiriad,Porth Ceiriad,llyn-peninsula,52.8161,-4.5136,beach-reef,right-left,n,s|sw,mid-high,1.0,5.0,reef-sand,advanced,moderate,good,rocks,52.8161,-4.5136,0,,no,false,false,Abersoch,Limited parking at the top of the cliffs. Arrive early.,Autumn-Winter,6,Regional,"A beautiful cove known for its clean, powerful waves breaking over a reef. It's a shorter wave than Hell's Mouth, but often more hollow. Best at mid to high tide.",advanced,parking-free,swell-s|swell-sw|tide-high|tide-mid,Experienced surfers
porth-oer,Porth Oer (Whistling Sands),llyn-peninsula,52.8456,-4.7123,beach-break,right-left,e|se,nw|w,mid,0.3,1.5,sand,beginner-intermediate,quiet,excellent,,52.8467,-4.7134,5,cafe|toilets,no,false,false,Aberdaron,National Trust car park walk 5 mins,summer,6,Regional,Famous squeaky sand. North-facing so works on different swells. Sheltered and scenic. Good for beginners on small days.,beginners|intermediates,cafe|toilets,swell-nw|swell-w|tide-mid,Learning to surf
criccieth,Criccieth,llyn-peninsula,52.9180,-4.2330,beach-break,right-left,n|nw,s|sw,mid,1.0,4.0,sand,beginner-intermediate,moderate,good,,52.9180,-4.2330,0,shops|pubs|castle,no,false,false,Criccieth,Town parking,Year-round,6,Regional,Beach below the castle. Needs big swell to wrap in or strong southerly windswell.,beginners|intermediates,parking-free,swell-s|swell-sw|tide-mid,Learning to surf
rhosneigr,Rhosneigr,anglesey,53.2234,-4.5123,beach-break,right-left,e|se,sw|w,all,0.3,2.0,sand,beginner-intermediate,moderate,good,,53.2245,-4.5134,free,cafe|toilets,summer,true,true,Rhosneigr,Easy town beach access,year-round,6,Regional,Anglesey's surf hub. Consistent beach break with mellow vibe. Kitesurfers share the beach. Good facilities and village atmosphere.,beginners|intermediates,cafe|hire-available|lifeguards|parking-free|surf-school|toilets,swell-sw|swell-w|tide-all,Learning to surf
cable-bay,Cable Bay (Porth Trecastell),anglesey,53.2080,-4.5020,beach-break,right-left,e|ne,sw|w,mid,1.0,3.0,sand-pebble,beginner-intermediate,moderate,good,rocks,53.2080,-4.5020,0,,no,false,false,Rhosneigr,Small car park at Cable Bay (LL65 2NJ).,Year-round,6,Regional,"Small, beautiful crescent of sand between low headlands. Can produce decent waves on its day. Can get crowded.",beginners|intermediates,parking-free,swell-sw|swell-w|tide-mid,Learning to surf
aberffraw,Aberffraw,anglesey,53.1918,-4.4644,beach-break,right-left,e|ne,sw|w,all,1.0,3.0,sand,beginner-intermediate,quiet,good,,53.1918,-4.4644,0,,no,false,false,Aberffraw,Walk from village.,Year-round,6,Regional,"Where locals go when tourists descend on Newborough. Wildflowers, birdlife, no facilities. Proper escape.",beginners|intermediates,parking-free,swell-sw|swell-w|tide-all,Learning to surf
traeth-llydan,Traeth Llydan (Broad Beach),anglesey,53.2150,-4.5100,beach-break,right-left,e|se,sw|w,all,1.0,4.0,sand,beginner-intermediate,quiet,good,,53.2150,-4.5100,0,,no,false,false,Rhosneigr,South of Rhosneigr,Year-round,6,Regional,"Just south of Rhosneigr, Broad Beach offers similar conditions, but often with fewer crowds.",beginners|intermediates,parking-free,swell-sw|swell-w|tide-all,Learning to surf
newborough,Newborough Beach (Llanddwyn),anglesey,53.1389,-4.4134,beach-break,right-left,ne,sw,mid,1.0,3.0,sand,beginner-intermediate,moderate,good,tides|soft-sand,53.1401,-4.3989,7,cafe|toilets,seasonal,false,false,Newborough,Walk from car park.,Year-round,6,Regional,Vast beach with views to Snowdonia. Llanddwyn Island at south end is magical. Romantic legend and lighthouse ruins. Allow whole day.,beginners|intermediates,cafe|toilets,swell-sw|tide-mid,Learning to surf
