slug,name,region,lat,lon,break_type,wave_direction,best_wind,best_swell,best_tide,wave_size_min,wave_size_max,bottom,difficulty,crowd_factor,water_quality,hazards,parking_lat,parking_lon,parking_cost,facilities,lifeguards,surf_school,wetsuit_hire,nearest_town,access_notes,best_season,description
freshwater-west,Freshwater West,pembrokeshire,51.6456,-5.0567,beach-break,right-left,E-NE,SW-W-NW,all,0.5,4.0,sand,intermediate-advanced,moderate,good,"strong-rips|currents",51.6478,-5.0545,4,toilets,summer,false,false,Castlemartin,Car park to beach 200m,year-round,"Pembrokeshire's most powerful beach. Featured in Harry Potter. Picks up more swell than anywhere in Wales. Strong currents - not for beginners. Spectacular when big."
whitesands,Whitesands Bay,pembrokeshire,51.8934,-5.2967,beach-break,right-left,E-SE,W-SW,all,0.3,2.5,sand,beginner-advanced,busy-summer,excellent,rips-when-big,51.8945,-5.2978,6,cafe|toilets|showers,summer,true,true,St Davids,Easy access from car park,year-round,"Pembrokeshire's most popular surf beach. Consistent waves, RNLI lifeguards, surf school. Near St Davids so gets busy. Beautiful setting."
newgale,Newgale,pembrokeshire,51.8567,-5.1234,beach-break,right-left,E-NE,SW-W,all,0.3,2.5,sand,beginner-intermediate,moderate,good,rips,51.8578,-5.1245,5,cafe|toilets,summer,true,true,Newgale,Roadside parking along beach,year-round,"2-mile beach with reliable surf. Less powerful than Freshwater West but more accessible. Storm pebble bank at top of beach."
manorbier,Manorbier,pembrokeshire,51.6423,-4.7989,beach-break,right-left,N-NW,S-SW,mid,0.3,1.5,sand-rock,intermediate,quiet,good,rocks,51.6434,-4.8001,4,cafe|toilets,no,true,false,Manorbier,Beach car park,spring-autumn,"Beautiful bay beneath castle. Reef at south end gives better shape. Works on south swells when west coast is flat. Uncrowded gem."
broad-haven-south,Broad Haven South,pembrokeshire,51.6234,-4.9123,beach-break,right-left,N-NE,SW-W,mid,0.3,1.5,sand,beginner-intermediate,quiet,excellent,none,51.6245,-4.9134,free,toilets,no,false,false,Bosherston,Walk from Bosherston car park 15 mins,spring-autumn,"Stunning National Trust beach. Walk in keeps crowds away. Sheltered so works when exposed beaches are maxed out. Lily ponds nearby."
broad-haven,Broad Haven (North),pembrokeshire,51.7812,-5.1089,beach-break,right-left,E-NE,SW-W,mid-high,0.3,2.0,sand,beginner-intermediate,busy-summer,excellent,rips,51.7823,-5.1078,3,cafe|toilets|showers,summer,true,true,Haverfordwest,Easy beach access,year-round,"Large sandy beach popular with families and beginners. Can get hollow at high tide. Good facilities right on the beachfront."
west-angle,West Angle Bay,pembrokeshire,51.6885,-5.1147,beach-break,right-left,E-NE,SW-W,mid,0.5,2.5,sand-rock,beginner-intermediate,moderate,good,rocks,51.6890,-5.1130,3,cafe|toilets,no,false,false,Pembroke,Car park next to beach,autumn-winter,"Sheltered cove that works when the main beaches are blown out. Needs a big swell to wrap in. User friendly but can get rocky at low tide."
marloes-sands,Marloes Sands,pembrokeshire,51.7198,-5.2125,beach-break,right-left,NE,SW-W,low-mid,0.5,3.0,sand-rock,intermediate,quiet,excellent,"rocks|rips|access",51.7250,-5.2080,5,none,no,false,false,Milford Haven,15 min walk from car park,year-round,"Stunning remote beach with scattered rocks. Picks up good swell but requires a walk. Often uncrowded and wild."
abereiddy,Abereiddy,pembrokeshire,51.9312,-5.2056,beach-reef,left-right,E,SW-W,mid,0.5,2.5,sand-rock,intermediate,moderate,good,rocks,51.9315,-5.2045,4,toilets,no,false,false,St Davids,Car park on beach front,autumn-winter,"Slate beach famous for the Blue Lagoon. West facing beach that can hold a decent wave. Watch out for rocks."
tenby-south,Tenby South Beach,pembrokeshire,51.6664,-4.7067,beach-break,right-left,N-NW,SW,all,0.5,2.5,sand,beginner-intermediate,busy,excellent,none,51.6680,-4.7050,5,cafe|toilets|showers,summer,true,true,Tenby,Easy access from car parks,winter,"Huge expanse of sand. Generally flat but fires on huge winter swells when west coast is unsurfable. Sheltered from SW winds."
