slug,name,region,lat,lon,water_type,depth_m,water_quality,temperature_summer_c,access_difficulty,parking,hazards,quality_score,tier,description
llyn-tegid,Llyn Tegid (Bala Lake),snowdonia,52.883,-3.633,Glacial Lake,42,Good,16,Easy,Paid parking at Bala foreshore and Llangower,"Algal blooms (blue-green algae), deep water, boat traffic",9,A,"Wales' largest natural lake, Llyn Tegid is a stunning glacial ribbon lake roughly 3.7 miles long. It is a hub for watersports, including sailing, kayaking, and swimming. The lake is home to the Gwyniad, a rare fish species trapped here since the last Ice Age. Access is excellent with parking and facilities in Bala and Llangower. While swimming is popular, visitors should be aware of sudden depth changes and the potential for blue-green algae blooms in late summer. The views of the Arenig mountains are spectacular."
llyn-ogwen,Llyn Ogwen,snowdonia,53.1250,-4.000,Ribbon Lake,3,Excellent,14,Easy,Roadside lay-bys on A5 and Ogwen Cottage,"Shallow rocks, cold water, changing weather",8,A,"Llyn Ogwen is a dramatic ribbon lake situated between the Carneddau and Glyderau mountain ranges. Despite its imposing location, it is surprisingly shallow, with a maximum depth of only about 3 meters. This makes it warmer than deeper lakes but also rocky. It is famously associated with the legend of King Arthur's sword Excalibur (Bedivere casting it into the lake). Access is very easy from the A5 road. It offers iconic views of Tryfan and Pen yr Ole Wen."
llyn-idwal,Llyn Idwal,snowdonia,53.11583,-4.02556,Glacial Lake,10,Excellent,12,Moderate,Ogwen Cottage (Paid),"Cold water, steep approach, strict nature reserve rules",10,A,"Llyn Idwal is a spectacular glacial lake nestled in Cwm Idwal, a National Nature Reserve famous for its rock formations and Darwin's geological studies. Surrounded by the towering cliffs of the Glyderau, the setting is dramatic and moody. Swimming is often debated due to its conservation status, but it remains a bucket-list spot for a quick dip for respectful wild swimmers. The water is crystal clear and cold. Access is via a paved but steep path from Ogwen Cottage."
llyn-padarn,Llyn Padarn,snowdonia,53.12528,-4.12944,Moraine Dammed Lake,29,Excellent,17,Easy,Padarn Country Park (Paid),"Boat traffic, cold deep water in centre",10,A,"Llyn Padarn is a designated Bathing Water, making it one of the most popular and safe wild swimming spots in Snowdonia. Located near Llanberis, it is a moraine-dammed lake with easy access points, especially at the lagoons near the slate museum. The lake is used for rowing and kayaking but has plenty of space. It offers stunning views of Snowdon and the historic Dolbadarn Castle. The water quality is regularly monitored and generally excellent."
llyn-gwynant,Llyn Gwynant,snowdonia,53.050,-4.033,Natural Lake,16,Excellent,16,Easy,Roadside lay-bys or Campsite (Paid),"Cold spots, kayak traffic",9,A,"Llyn Gwynant is often cited as one of the most beautiful lakes in Wales, famously featuring in the 'Tomb Raider' film. Located in the Nant Gwynant valley, it is easily accessible from the A498. The lake is popular for kayaking and swimming, particularly from the roadside lay-bys or the campsite at the head of the lake. It reflects the surrounding mountains of the Snowdon massif perfectly on calm days. A truly magical spot for a sunrise or sunset swim."
llyn-y-fan-fach,Llyn y Fan Fach,brecon-beacons,51.88194,-3.74194,Glacial Lake,18,Excellent,13,Hard,Remote car park near Llanddeusant,"Cold, remote location, steep hike",10,A,"Llyn y Fan Fach is steeped in legend, most notably the 'Lady of the Lake'. Situated high in the Black Mountain range of the Brecon Beacons, it sits beneath a dramatic amphitheatre of cliffs. Reaching it requires a steady uphill hike on a gravel track, making the swim a rewarding finale. The water is deep, cold, and incredibly clear. It is a remote and hauntingly beautiful location, perfect for those seeking solitude and a connection with Welsh folklore."
llyn-y-fan-fawr,Llyn y Fan Fawr,brecon-beacons,51.88111,-3.70000,Natural Lake,15,Good,13,Hard,Tafarn-y-Garreg or Llyn y Fan Fach car park,"Boggy margins, remote, weather changes",9,B,"The larger but slightly less famous neighbour of Llyn y Fan Fach, Llyn y Fan Fawr ('Great Lake of the Peak') is the largest natural lake in South Wales. It sits beneath the steep escarpment of Fan Brycheiniog. The approach is a hike across open moorland which can be boggy. The lake feels wilder and more open than Fan Fach. It is an atmospheric spot for a swim, surrounded by the brooding presence of the Black Mountain peaks."
tal-y-llyn,Tal-y-llyn Lake (Llyn Mwyngil),snowdonia,52.67250,-3.89744,Ribbon Lake,3,Good,16,Easy,Lay-bys on B4405 or Tywyn,"Shallow weeds, fishing lines",8,B,"Tal-y-llyn Lake, or Llyn Mwyngil, is a stunning ribbon lake at the foot of Cadair Idris in southern Snowdonia. Formed by a massive ancient landslide blocking the valley, it is relatively shallow and famous for its brown trout. Access is very easy via the B4405 road. The scenery is breathtaking, with the mountain looming directly above. Swimmers should be mindful of anglers and shallow weedy sections, but the location is iconic and serene."
llyn-geirionydd,Llyn Geirionydd,snowdonia,53.13139,-3.84917,Natural Lake,15,Fair,16,Moderate,Car park at lake side (via narrow lane),"Power boats, water skiers, busy in summer",7,B,"Llyn Geirionydd is unique in Snowdonia as being the only lake where power boats and water skiing are permitted. Consequently, it can be busy and noisy in summer. However, it is a beautiful spot in the Gwydir Forest. There is a car park and toilets. Swimming is possible but requires vigilance due to boat traffic. It is steeped in history, being the reputed home of the bard Taliesin. Best visited early morning or evening for a quieter dip."
llyn-crafnant,Llyn Crafnant,snowdonia,53.13250,-3.87000,Natural Lake,22,Excellent,15,Easy,Car park near lake or Trefriw,"Fishing lines, cold water",9,A,"Llyn Crafnant is often described as one of the prettiest lakes in Snowdonia, situated in a valley parallel to Geirionydd but much more peaceful. Private boating and swimming are technically restricted in parts due to fishing rights, so discretion is advised (check local signage, often tolerated away from anglers). The scenery is alpine-like with forest meeting the water. A cafe open in summer adds to the appeal. It is a haven for those seeking a quieter experience."
llyn-dinas,Llyn Dinas,snowdonia,53.017,-4.067,Natural Lake,10,Good,16,Easy,Lay-bys on A498,"River current at inflow/outflow, shallow rocks",8,B,"Llyn Dinas lies on the floor of the Glaslyn valley near Beddgelert. It is a shallow, accessible lake with the A498 running alongside. It offers easy entry points and is popular for kayaking and canoeing. The lake is surrounded by low hills and has a softer, less rugged feel than the high mountain lakes. It takes its name from the nearby Dinas Emrys hillfort. Good for a relaxed swim with easy parking options."
