slug,name,region,lat,lon,water_type,difficulty,depth_m,water_quality,temperature_summer,features,access_walk_mins,parking_lat,parking_lon,parking_cost,facilities,hazards,dog_friendly,best_time,description
llyn-padarn,Llyn Padarn,snowdonia,53.1234,-4.1289,lake,easy,20,excellent,16,beach-entry|mountain-views|cafe,2,53.1245,-4.1301,5,cafe|toilets|showers,boats|cold,"yes",summer,"Glacial lake beneath Snowdon with sandy beach entry. Designated bathing water with excellent quality. Can be busy but plenty of space. Cold but stunning."
llyn-gwynant,Llyn Gwynant,snowdonia,53.0289,-4.0134,lake,easy,15,excellent,15,mountain-views|campsite|peaceful,5,53.0301,-4.0145,5,campsite|toilets,cold|depth,"yes",summer,"Perhaps Wales's most beautiful lake swim. Campsite access easiest. Snowdon and surrounding peaks reflected in calm water. Cold and clear."
blue-pool-ceredigion,Blue Pool (Ceibwr),pembrokeshire,52.0789,-4.7234,sea,moderate,varies,excellent,15,tidal-pool|dramatic|cliffs,15,52.0801,-4.7189,free,none,tides|access,"yes",all-year,"Natural tidal pool carved into cliffs. Dramatic setting. Access requires care - steep path. Best 2 hours either side of low tide."
llyn-cau,Llyn Cau,snowdonia,52.6889,-3.9189,lake,moderate,30,good,12,cirque|remote|dramatic,45,52.7089,-3.8689,5,none,cold|altitude|remote,"no",summer,"Dramatic glacial cirque lake beneath Cadair Idris. Cold and deep. The swim you earn. Minffordd path approach. Take your time."
fairy-glen,Fairy Glen,snowdonia,53.0834,-3.8134,river,moderate,2-3,good,14,waterfalls|pools|gorge,10,53.0845,-3.8089,3,none,currents|rocks|slippery,"some",summer,"Series of pools and small falls in wooded gorge. Magical atmosphere. Slippery rocks require care. Can be busy on hot days."
three-cliffs,Three Cliffs Bay,gower,51.5678,-4.1034,sea,easy,varies,good,15,dramatic|beach|river,15,51.5712,-4.0978,3,toilets,tides|currents,"yes",summer,"Iconic Gower beach with river crossing. Swim in sea or tidal lagoon. Spectacular limestone cliffs. Check tides - beach floods."
blue-lagoon-abereiddy,Blue Lagoon,pembrokeshire,51.9334,-5.2034,quarry,easy,25,good,14,flooded-quarry|cliffs|jumping,2,51.9345,-5.2045,3,toilets,cold|depth|jumpers,"yes",all-year,"Flooded slate quarry with striking blue water. Deep and cold. Watch for cliff jumpers. Sheltered from waves. Popular and accessible."
mawddach-estuary,Mawddach Estuary,snowdonia,52.7234,-3.9789,estuary,easy,varies,good,16,estuary|views|bridge,5,52.7245,-3.9778,5,cafe|toilets,tides|currents|boats,"yes",summer,"Swim near the famous railway bridge with Cadair Idris views. Sandy bottom at low tide. Check tides and boat traffic. Penmaenpool good access."
horseshoe-falls,Horseshoe Falls,north-wales,52.9789,-3.1634,river,moderate,2,good,15,waterfall|pool|canal-heritage,5,52.9801,-3.1645,3,cafe|toilets,currents|rocks|cold,"yes",summer,"Weir creates swimming pool on River Dee. Canal boats pass above on aqueduct. Historic setting near Llangollen. Can be strong current after rain."
barafundle,Barafundle Bay,pembrokeshire,51.6178,-4.9234,sea,easy,varies,excellent,15,stunning-beach|clear-water,15,51.6145,-4.9189,free,toilets,tides,"yes",summer,"Often voted Britain's best beach. Walk in keeps crowds manageable. Crystal clear water, soft sand. Worth the walk every time."
rhaeadr-ewynnol,Swallow Falls,snowdonia,53.0789,-3.8534,river,easy-moderate,2,good,13,waterfall|pools|iconic,2,53.0778,-3.8545,2,none,rocks|currents|cold,"some",summer,"Wales's most famous waterfall with pools above and below. Cold but refreshing. Busy viewing area but quieter swimming spots nearby."
llyn-idwal,Llyn Idwal,snowdonia,53.1134,-4.0234,lake,moderate,10,excellent,11,dramatic|glacial|remote-feel,30,53.1189,-4.0189,varies,toilets,cold|altitude|weather,"no",summer,"Glacial lake in stunning cirque. Cold even in summer. Devil's Kitchen looms above. Nature reserve - swim with respect. Ogwen start."
