name,region,service_type,route_number,operator,start_point,end_point,key_stops,frequency,season,bike_friendly,website,description,adventure_tips
Snowdon Sherpa S1,North Wales,Sherpa,S1,Transport for Wales,Llanberis,Bangor,"Caernarfon, Pen-y-Pass",Hourly,Year-round,Yes,https://www.snowdonia.gov.wales,Vital link between Llanberis and rail network at Bangor.,"Connects to Snowdon trailheads (Llanberis Path, Pen-y-Pass). Best for train arrivals."
Snowdon Sherpa S2,North Wales,Sherpa,S2,Transport for Wales,Betws-y-Coed,Llanberis,"Capel Curig, Pen-y-Pass",Hourly,Year-round,Yes,https://www.snowdonia.gov.wales,Circular route connecting the east and west of Snowdonia.,"Ideal for completing linear hikes over Snowdon or the Glyderau."
Snowdon Sherpa S97,North Wales,Sherpa,S97,Transport for Wales,Llanberis,Pen-y-Pass,Nant Peris,Regular (summer),Summer mainly,Yes,https://www.snowdonia.gov.wales,Dedicated Park & Ride shuttle for Snowdon.,"Direct to Pen-y-Pass. Use the Nant Peris car park to avoid congestion."
Snowdon Sherpa S4,North Wales,Sherpa,S4,Transport for Wales,Porthmadog,Pen-y-Pass,Beddgelert,Regular,Year-round,Yes,https://www.snowdonia.gov.wales,Southern access route to the heart of the national park.,"Access from Porthmadog and Beddgelert. Stops at Pont Bethania for the Watkin Path."
TrawsCymru T2,Mid Wales,TrawsCymru,T2,Lloyds Coaches,Bangor,Aberystwyth,"Caernarfon, Porthmadog, Dolgellau, Machynlleth",Hourly,Year-round,Yes,https://www.trawscymru.info,Long-distance backbone connecting North and Mid Wales.,"Stops right at Coed y Brenin Visitor Centre. Scenic route along the coast and mountains."
TrawsCymru T4,South Wales,TrawsCymru,T4,Stagecoach,Cardiff,Newtown,"Merthyr Tydfil, Brecon, Llandrindod Wells",Hourly,Year-round,Yes,https://www.trawscymru.info,The North-South backbone of Wales transport.,"Stops at Storey Arms for Pen y Fan. Great for accessing the central Brecon Beacons."
TrawsCymru T6,South Wales,TrawsCymru,T6,Adventure Travel,Swansea,Brecon,"Neath, Ystradgynlais",Hourly,Year-round,Yes,https://www.trawscymru.info,Direct link from Swansea coast to the Brecon Beacons.,"Stops at Dan-yr-Ogof caves and near Fan Gyhirych. Scenic ride through the valleys."
TrawsCymru T12,Mid Wales,TrawsCymru,T12,Lloyds Coaches,Machynlleth,Wrexham,"Newtown, Welshpool, Oswestry",Hourly,Year-round,Yes,https://www.trawscymru.info,Key connector for the eastern border of Mid Wales.,"Connects historic market towns and provides access to the Berwyn mountains area."
TrawsCymru T1,Mid Wales,TrawsCymru,T1,First Cymru,Aberystwyth,Carmarthen,"Aberaeron, Lampeter",Hourly,Year-round,Yes,https://www.trawscymru.info,West Wales link connecting university towns.,"Mix of coastal and inland scenery. Good for accessing the Ceredigion Coast Path."
TrawsCymru T5,Pembrokeshire,TrawsCymru,T5,Richards Bros,Aberystwyth,Haverfordwest,"Aberaeron, Cardigan, Fishguard",Hourly,Year-round,Yes,https://www.trawscymru.info,The Ceredigion Coast backbone bus.,"Follows the coast closely. essential for linear walks on the Coast Path."
TrawsCymru T3,North Wales,TrawsCymru,T3,Lloyds Coaches,Wrexham,Barmouth,"Llangollen, Bala, Dolgellau",Regular,Year-round,Yes,https://www.trawscymru.info,East-West explorer passing through the heart of the mountains.,"Stops at Llyn Tegid (Bala) and near the base of Cadair Idris."
TrawsCymru T10,North Wales,TrawsCymru,T10,K&P Coaches,Bangor,Corwen,Betws-y-Coed,Regular,Year-round,Yes,https://www.trawscymru.info,North Wales connector linking the coast to the interior.,"Gateway to Eryri from the east. Connects with S2 at Betws-y-Coed."
TrawsCymru T19,North Wales,TrawsCymru,T19,Llew Jones,Llandudno Junction,Blaenau Ffestiniog,"Llanrwst, Betws-y-Coed",Regular,Year-round,No,https://www.llewjones.co.uk,Conwy Valley bus link running parallel to the train line.,"Useful alternative to the train. Stops in the centre of Betws-y-Coed."
TrawsCymru T22,North Wales,TrawsCymru,T22,Llew Jones,Blaenau Ffestiniog,Porthmadog,Castell Deudraeth,Regular,Year-round,Yes,https://www.trawscymru.info,Shuttle connecting the slate town to the coast.,"Provides access to Antur Stiniog downhill centre."
TrawsCymru T11,Pembrokeshire,TrawsCymru,T11,Richards Bros,Haverfordwest,Fishguard,St Davids,Regular,Year-round,Yes,https://www.trawscymru.info,Pembrokeshire connector for the north-west tip.,"Links key coastal towns and the ferry port."
Puffin Shuttle 400,Pembrokeshire,Coastal Bus,400,Richards Bros,St Davids,Marloes,"Newgale, Broad Haven",3x daily (summer),May-Sep,Yes,https://www.pembrokeshire.gov.uk,Coastal bus designed for walkers.,"Perfect for linear walks on the coast path. Stops at multiple trailheads."
Strumble Shuttle 404,Pembrokeshire,Coastal Bus,404,Richards Bros,Fishguard,St Davids,Newport,3x daily (summer),May-Sep,Yes,https://www.pembrokeshire.gov.uk,Serves the rugged North Pembrokeshire coast.,"Access to Strumble Head and remote sections of the path."
Poppit Rocket 405,Pembrokeshire,Coastal Bus,405,Richards Bros,Cardigan,Fishguard,"St Dogmaels, Newport",3x daily (summer),May-Sep,Yes,https://www.pembrokeshire.gov.uk,North coast path access bus.,"Stops at Poppit Sands, the start/end of the Pembrokeshire Coast Path."
Coastal Cruiser 387,Pembrokeshire,Coastal Bus,387,Pembrokeshire Council,Pembroke,Freshwater West,"Stackpole, Bosherston",3x daily (summer),May-Sep,Yes,https://www.pembrokeshire.gov.uk,South coast access to beaches and lily ponds.,"Access to Stackpole Quay, Bosherston Lily Ponds, and Fresh West surf beach."
Celtic Coaster 403,Pembrokeshire,Coastal Bus,403,Richards Bros,St Davids,St Justinian,Whitesands Bay,Every 30 min (summer),May-Sep,Yes,https://www.pembrokeshire.gov.uk,Frequent shuttle around the St Davids peninsula.,"Best way to reach Whitesands Bay and the lifeboat station."
Service 349,Pembrokeshire,Local Bus,349,First Cymru,Tenby,Haverfordwest,Pembroke,Regular,Year-round,No,https://www.firstbus.co.uk,Mainline connector for south Pembrokeshire.,"Links the main towns. Good for accessing accommodation hubs."
Service 351,Pembrokeshire,Local Bus,351,First Cymru,Tenby,Amroth,Saundersfoot,Regular,Year-round,No,https://www.firstbus.co.uk,Coast path link for the south-east.,"Access to Amroth, the official start/end of the Coast Path."
Service 315,Pembrokeshire,Local Bus,315,First Cymru,Haverfordwest,Marloes,Dale,Regular,Year-round,No,https://www.firstbus.co.uk,Access to the Milford Haven waterway and Dale.,"Stops at Dale for watersports and the peninsula walk."
Gower 118,South Wales,Local Bus,118,Adventure Travel,Swansea,Port Eynon,"Parkmill, Reynoldsston",Regular,Year-round,Yes,https://www.adventuretravel.cymru,South Gower backbone route.,"Stops near Three Cliffs Bay (Parkmill) and terminates at Port Eynon beach."
Gower 119,South Wales,Local Bus,119,Adventure Travel,Swansea,Rhossili,"Parkmill, Reynoldsston",Regular,Year-round,Yes,https://www.adventuretravel.cymru,Alternative route to Rhossili via inland villages.,"Great for accessing Cefn Bryn and King Arthur's Stone."
Gower 114,South Wales,Local Bus,114,Adventure Travel,Swansea,Rhossili,"Gowerton, Llanrhidian",Regular,Year-round,Yes,https://www.adventuretravel.cymru,North Gower scenic route.,"Follows the salt marshes of the Loughor Estuary before heading to Rhossili."
Service X43,South Wales,Local Bus,X43,Stagecoach,Brecon,Abergavenny,Crickhowell,Regular,Year-round,No,https://www.stagecoachbus.com,East Beacons access bus.,"Stops in Crickhowell for Table Mountain and near the Sugar Loaf."
Service X1,North Wales,Local Bus,X1,Arriva,Wrexham,Llandudno,"Chester, Holywell",Frequent,Year-round,No,https://www.arrivabus.co.uk,North Coast express service.,"Fast access along the coast. Good for Wales Coast Path sections."
Service X4,Anglesey,Local Bus,X4,Arriva,Holyhead,Bangor,"Llangefni, Menai Bridge",Regular,Year-round,No,https://www.arrivabus.co.uk,Anglesey mainline route.,"Fast route across the island. Connects ferry port to mainland."
Service 42,Anglesey,Local Bus,42,O R Jones,Bangor,Holyhead,"Newborough, Rhosneigr",Hourly,Year-round,Yes,https://www.orjones.co.uk,West Coast explorer for Anglesey.,"Stops at Newborough for the forest and Llanddwyn Island."
Service 4,Anglesey,Local Bus,4,Arriva,Llangefni,Holyhead,"Rhosneigr, RAF Valley",Regular,Year-round,No,https://www.arrivabus.co.uk,The Surfers Bus to Rhosneigr.,"Direct access to Rhosneigr beaches for windsurfing and kitesurfing."
Service X50,North Wales,Local Bus,X50,Arriva,Wrexham,Rhyl,"Llandegla, Denbigh",Regular,Year-round,No,https://www.arrivabus.co.uk,Access to Llandegla Forest.,"Stops near the entrance to One Planet Adventure MTB centre."
Service 83,South Wales,Local Bus,83,First Cymru,Port Talbot,Glyncorrwg,Cymmer,Regular,Year-round,No,https://www.firstbus.co.uk,Afan Forest access bus.,"Nearest public transport to Afan Forest Park trail centre."
