name,region,lat,lon,nearby_spots,bike_spaces,bus_connections,adventure_notes
Bangor (Gwynedd),North Wales,53.2230,-4.1280,snowdon-llanberis|zip-world-penrhyn|ogwen-valley,"2 spaces (booking advised)","S1 (Snowdon Sherpa), T2 (TrawsCymru), 5C","Main mainline hub for Northern Snowdonia. Direct bus links to Llanberis (Snowdon) and Ogwen Valley."
Llandudno Junction,North Wales,53.2840,-3.8210,conwy-castle|snowdonia-north|great-orme,"4 spaces (hub)","25, 19, T19 (to Llanrwst)","Key interchange for the Conwy Valley line into the heart of the national park."
Betws-y-Coed,North Wales,53.0930,-3.8010,gwydir-forest|marin-trail|swallow-falls,2 spaces,"S1, S2 (Sherpa), T10","Located directly in the national park. Gateway to Gwydir Forest mountain bike trails."
Blaenau Ffestiniog,North Wales,52.9960,-3.9360,antur-stiniog|zip-world-slate-caverns,2 spaces,"T22, Ffestiniog Railway","Terminus of the Conwy Valley line. Direct access to Antur Stiniog downhill MTB centre."
Pont-y-Pant,North Wales,53.0640,-3.8470,lledr-valley|fishermans-walk,2 spaces,None,"Request stop in the scenic Lledr Valley. Great for riverside walks."
Dolwyddelan,North Wales,53.0530,-3.8870,moel-siabod|dolwyddelan-castle,2 spaces,"S2 (nearby)","Quiet base for hiking Moel Siabod away from the crowds."
Conwy,North Wales,53.2800,-3.8280,conwy-mountain|carneddau-north,2 spaces,"5, 14, 15, 27","Historic walled town station. Access to Conwy Mountain and the northern Carneddau."
Penmaenmawr,North Wales,53.2720,-3.9210,druids-circle|uplands-path,2 spaces,5D,"Start point for the Druid's Circle walk and North Wales Path sections."
Llanfairfechan,North Wales,53.2540,-3.9770,carneddau-mountains|abergwyngregyn-falls,2 spaces,5D,"Direct access to the Carneddau range and Aber Falls via a longer walk."
Prestatyn,North Wales,53.3330,-3.4060,offas-dyke-path|prestatyn-hillside,2 spaces,11,"Northern start/end point of the famous Offa's Dyke National Trail."
