Activity Name,Type,Operator,Region,Location/Meeting Point,Price Range (£),Duration,Difficulty,Season,Min Age,Booking URL,Source URL
Velocity 2 Zip Line,Zip Lining,Zip World,Snowdonia,"Penrhyn Quarry, Bethesda",89-109,2-3 hours,Family/Moderate,Mar-Oct,10,https://www.zipworld.co.uk,https://www.zipworld.co.uk
Zip World Fforest Coaster,Toboggan,Zip World,Snowdonia,Betws-y-Coed,25-35,1-2 hours,Family,Year-round,3,https://www.zipworld.co.uk,https://www.zipworld.co.uk
Bounce Below,Underground Trampolines,Zip World,Snowdonia,"Llechwedd, Blaenau Ffestiniog",25-35,1 hour,Family/Moderate,Year-round,7,https://www.zipworld.co.uk,https://www.zipworld.co.uk
Crib Goch Guided Walk,Hiking/Scrambling,MountainXperience,Snowdonia,Pen-y-Pass,55-75,6-8 hours,Advanced,Mar-Oct,16,https://www.mountainxperience.uk,https://www.mountainxperience.uk
Snowdon Summit Hike,Hiking,Snowdonia Mountain Guides,Snowdonia,Llanberis,60-80,6-7 hours,Moderate,Year-round,8,https://snowdoniamountainguides.com,https://snowdoniamountainguides.com
Rock Climbing Taster,Climbing,Plas y Brenin,Snowdonia,Capel Curig,150-300,1-5 days,All Levels,Year-round,12,https://pyb.co.uk,https://pyb.co.uk
Mountain Biking - MinorTaur,Mountain Biking,Coed y Brenin,Snowdonia,Dolgellau,Free (parking £2-7),1-3 hours,Family/Moderate,Year-round,All,https://www.beicsbrenin.co.uk,https://naturalresources.wales
Mountain Biking - Temtiwr,Mountain Biking,Coed y Brenin,Snowdonia,Dolgellau,Free (parking £2-7),30-60 min,Difficult,Year-round,14,https://www.beicsbrenin.co.uk,https://naturalresources.wales
Downhill MTB - Antur Stiniog,Mountain Biking,Antur Stiniog,Snowdonia,Blaenau Ffestiniog,35-45 (uplift),Full day,All Levels,Year-round,8,https://www.anturstiniog.com,https://www.anturstiniog.com
Sea Kayaking,Kayaking,Plas y Brenin,Snowdonia,Conwy/Menai Strait,150-400,1-5 days,All Levels,Mar-Oct,12,https://pyb.co.uk,https://pyb.co.uk
White Water Rafting,Rafting,National White Water Centre,Snowdonia,"Canolfan Tryweryn, Bala",55-75,2-4 hours,Moderate/Advanced,Mar-Oct,12,https://www.ukrafting.co.uk,https://www.ukrafting.co.uk
Gorge Walking,Gorge Scrambling,Adventure Britain,Snowdonia,Bala area,65-95,Half day,Moderate,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com
Underground Adventure,Mine Exploration,Zip World Llechwedd,Snowdonia,Blaenau Ffestiniog,20-35,1-2 hours,Family,Year-round,5,https://www.zipworld.co.uk,https://www.zipworld.co.uk
Llanberis Path Guided Walk,Hiking,MountainXperience,Snowdonia,Llanberis,45-65,5-7 hours,Moderate,Mar-Oct,8,https://www.mountainxperience.uk,https://www.mountainxperience.uk
Coasteering Classic,Coasteering,TYF Adventure,Pembrokeshire,St Davids,60,3.5 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com
Sea Kayaking Safari,Sea Kayaking,TYF Adventure,Pembrokeshire,St Davids,60-85,3.5-7 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com
Surfing Lesson,Surfing,TYF Adventure,Pembrokeshire,Whitesands Beach,60,3.5 hours,Beginner,Year-round,8,https://www.tyf.com,https://www.tyf.com
Rock Climbing,Climbing,TYF Adventure,Pembrokeshire,St Davids coast,60,3.5 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com
Coasteering,Coasteering,Preseli Venture,Pembrokeshire,St Davids area,55-75,Half-Full day,All Levels,Mar-Oct,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk
Surfing,Surfing,Preseli Venture,Pembrokeshire,Newgale/Whitesands,55-75,Half day,Beginner,Year-round,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk
Sea Kayaking,Sea Kayaking,Preseli Venture,Pembrokeshire,St Davids coast,65-95,Half-Full day,All Levels,Mar-Oct,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk
Boat Trip - Ramsey Island,Wildlife Boat Tour,Preseli Venture,Pembrokeshire,St Justinian,45-65,2-3 hours,Family,Mar-Oct,All,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk
Wild Swimming,Wild Swimming,Preseli Venture,Pembrokeshire,Various locations,45-65,2-4 hours,Moderate,May-Sep,12,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk
Coasteering,Coasteering,Activity Pembrokeshire,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.activitypembrokeshire.wales,https://www.activitypembrokeshire.wales
Sea Kayak Safari,Sea Kayaking,Activity Pembrokeshire,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.activitypembrokeshire.wales,https://www.activitypembrokeshire.wales
Coasteering,Coasteering,Tenby Adventure,Pembrokeshire,Tenby,50-70,2-3 hours,All Levels,Mar-Oct,8,https://www.visitpembrokeshire.com,https://www.visitpembrokeshire.com
Sea Kayaking,Sea Kayaking,Tenby Adventure,Pembrokeshire,Tenby,50-70,2-3 hours,All Levels,Mar-Oct,8,https://www.visitpembrokeshire.com,https://www.visitpembrokeshire.com
Paddle Boarding,SUP,Outer Reef Surf School,Pembrokeshire,Stackpole/Barafundle,45-65,2-3 hours,All Levels,Apr-Oct,8,https://www.outerreefsurfschool.com,https://www.outerreefsurfschool.com
Coasteering,Coasteering,Outer Reef Surf School,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.outerreefsurfschool.com,https://www.outerreefsurfschool.com
Surfing,Surfing,MUUK Adventures,Pembrokeshire,St Davids/Blue Lagoon,50-70,Half day,Beginner,Year-round,8,https://www.muuk-adventures.com,https://www.muuk-adventures.com
Coasteering,Coasteering,MUUK Adventures,Pembrokeshire,Abereiddy Blue Lagoon,50-70,Half day,All Levels,Mar-Oct,8,https://www.muuk-adventures.com,https://www.muuk-adventures.com
Canyoning,Canyoning,Adventure Britain,Brecon Beacons,Bannau Brycheiniog,75-120,Half-Full day,Moderate/Advanced,Mar-Oct,12,https://www.adventurebritain.com,https://www.adventurebritain.com
Caving,Caving/Potholing,Adventure Britain,Brecon Beacons,Black Mountains,65-95,Half day,Moderate,Year-round,10,https://www.adventurebritain.com,https://www.adventurebritain.com
Gorge Walking,Gorge Scrambling,Adventure Britain,Brecon Beacons,Waterfall Country,65-95,Half day,Moderate,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com
Rock Climbing,Climbing,Adventure Britain,Brecon Beacons,Black Mountains,65-95,Half day,All Levels,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com
Mountain Biking,Mountain Biking,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,All Levels,Year-round,12,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Caving,Caving,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,Moderate,Year-round,10,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Paddle Boarding,SUP,Black Mountain Adventure,Brecon Beacons,Llangorse Lake,45-85,2-3 hours,All Levels,Apr-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Gorge Walking,Gorge Scrambling,Black Mountain Adventure,Brecon Beacons,Waterfall Country,45-85,2-3 hours,Moderate,Mar-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
High Ropes,High Ropes,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,Moderate,Mar-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Archery,Archery,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,1-2 hours,Family,Year-round,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Mountain Biking,Mountain Biking,BikePark Wales,Brecon Beacons,Merthyr Tydfil,8-32.50,Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com
Bike Hire - Enduro,Bike Hire,BikePark Wales,Brecon Beacons,Merthyr Tydfil,90-110,Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com
Coaching Session,MTB Coaching,BikePark Wales,Brecon Beacons,Merthyr Tydfil,99-150,Half-Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com
Sea Kayaking,Sea Kayaking,Anglesey Adventures,Anglesey,Rhosneigr/Newborough,55-90,Half-Full day,All Levels,Mar-Oct,8,https://www.angleseyadventures.com,https://www.northwalesseakayaking.co.uk
Coasteering,Coasteering,Anglesey Adventures,Anglesey,Rhosneigr,55-90,Half-Full day,All Levels,Mar-Oct,8,https://www.angleseyadventures.com,https://www.northwalesseakayaking.co.uk
Kitesurfing,Kitesurfing,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,60-120,Half-Full day,All Levels,Year-round,12,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk
Kitesurfing,Kitesurfing,Gecko Surf,Anglesey,Rhosneigr Beach,60-120,Half-Full day,All Levels,Year-round,12,https://www.geckosurf.co.uk,https://rhosneigr.co.uk
Windsurfing,Windsurfing,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,50-100,Half-Full day,All Levels,Year-round,12,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk
Wing Foiling,Wing Foiling,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,60-120,Half-Full day,Intermediate,Year-round,14,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk
Coasteering,Coasteering,Plas Menai,Anglesey,Menai Strait,55-85,Half day,All Levels,Mar-Oct,8,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk
