Event Name,Type,Date(s)/Month,Location,Region,Website,Registration Cost (£),Participant Capacity,Description
Chepstow Running Festival,Running,January 25,Chepstow Racecourse,South Wales,https://www.runthrough.co.uk,25-45,1000+,"Half marathon, 10K, 5K on racecourse"
Llanelli Half Marathon & 10K,Running,February 8,"Festival Fields, Llanelli",Carmarthenshire,https://www.frontrunnerevents.co.uk,30-50,2000+,Coastal course on Millennium Coastal Path
Nick Beer Llandudno 10K,Running,February 15,Llandudno Promenade,North Wales,https://www.run4wales.org,25-35,1500+,Scenic route around Great Orme
Caerphilly Trail Races,Running,February 15,Caerphilly,South Wales,https://www.ridgerunners.co.uk,20-35,800+,5K and 10K multi-terrain trails
Jones O Gymru Anglesey Half Marathon,Running,March 1,Anglesey Showground,Anglesey,https://www.alwaysaimhighevents.com,35-50,1500+,Closed-road coastal course
Great Welsh Marathon & Half,Running,March 8,Pembrey Country Park,Carmarthenshire,https://www.greatwelshmarathon.co.uk,35-60,2000+,South Wales' oldest marathon
Red Warrior Challenge,Running,March 22,Margam Country Park,South Wales,https://www.redwarrior.co.uk,25-45,1000+,"5K, 10K, 20K multi-terrain"
Pendine Sands Races,Running,April 5,Pendine Sands,Carmarthenshire,https://www.limitlesstrails.co.uk,30-70,800+,"Ultra, marathon, half, 10K, 5K on beach"
SheUltra,Running,April 11,Abersoch to Pwllheli,Llŷn Peninsula,https://www.sheultra.com,50-80,500+,World's largest all-female ultra (50K)
Ogwen Yr Helgi Du,Trail Running,April 12,Ogwen Valley,Snowdonia,https://www.alwaysaimhighevents.com,35-60,1000+,"Skyrunning event: 40K, 25K, 15K options"
Beast of the Beacons,Trail Running,April 18,Talybont-on-Usk,Brecon Beacons,https://www.limitlesstrails.co.uk,40-70,800+,"40, 20, 10 mile trail challenge"
ABP Newport Marathon Festival,Running,April 19,Newport,South Wales,https://www.newportmarathon.co.uk,35-60,5000+,"Marathon, half, 10K, mile - flat & fast"
Medieval Backyard Ultra,Ultra Running,April 25,Cosmeston Lakes,South Wales,https://www.gertlushevents.co.uk,50-80,200+,Last one standing endurance event
Radyr Trail Races,Trail Running,May 9,"Radyr, Cardiff",South Wales,https://www.limitlesstrails.co.uk,30-55,1000+,Half marathon and trail marathon
Barry Island 10K,Running,May 17,Barry Island,South Wales,https://www.run4wales.org,25-35,2000+,Coastal 10K with iconic backdrop
Abersoch 10K,Running,May 30,Abersoch,Llŷn Peninsula,https://www.abersoch10k.co.uk,25-35,1000+,"Beach finish, part of Triple Crown"
Swansea Half Marathon,Running,June 7,Swansea,South Wales,https://www.swanseahalfmarathon.co.uk,35-50,4000+,Biggest summer fun run in Wales
ABP Newport Marathon Festival,Running,April 19,Newport,South Wales,https://www.newportmarathon.co.uk,35-60,5000+,One of Europe's flattest marathon courses
Cardiff Half Marathon,Running,October 4,Cardiff,South Wales,https://www.cardiffhalfmarathon.co.uk,40-60,25000+,"Part of SuperHalfs Series, largest in Wales"
Anglesey Trail Half Marathon,Trail Running,November 1,Newborough Forest,Anglesey,https://www.alwaysaimhighevents.com,35-50,1000+,Trail through forest and Llanddwyn Island
Conwy Half Marathon,Running,November 15,Conwy,North Wales,https://www.runwales.com,35-50,2000+,Top 5 most scenic UK half marathon
Slateman Triathlon,Triathlon,June 14,Llanberis,Snowdonia,https://www.alwaysaimhighevents.com,80-150,2000+,"Iconic Snowdonia triathlon - swim in lake, bike, run"
Llandudno Triathlon,Triathlon,June 28,Llandudno,North Wales,https://www.alwaysaimhighevents.com,70-140,1000+,"Sea swim, coastal bike, run"
IRONMAN Wales,Triathlon,September 13,Tenby,Pembrokeshire,https://www.ironman.com/wales,400-600,2500+,"Full Ironman - challenging sea swim, hilly bike"
IRONKIDS Wales,Junior Triathlon,September 12,Tenby,Pembrokeshire,https://www.ironman.com/wales,15-25,500+,Participation-focused kids event
Trails & Tarmac Winter Backyard Ultra,Ultra Running,February 14,Black Mountains,Brecon Beacons,https://www.limitlesstrails.co.uk,60-90,200+,4.2 mile laps every hour until one remains
Trail Marathon Wales,Trail Running,June (TBC),Coed y Brenin,Snowdonia,https://www.trailmarathonwales.co.uk,50-80,1000+,Mountain marathon in forest park
Dragons Back Race,Ultra Running,September (TBC),Conwy to Cardiff,Wales (full length),https://www.dragonsbackrace.com,800-1200,200+,"6-day mountain race, 315km"
Berghaus Dragon's Back Race,Ultra Running,September (TBC),Conwy to Cardiff,Wales,https://www.berghaus.com,800-1200,200+,World's toughest mountain race
Tour of Britain (Wales Stages),Cycling Race,September (TBC),Various,Wales,https://www.tourofbritain.co.uk,Free to watch,Unlimited,Professional cycling race
Dragon Ride,Sportive,June (TBC),Port Talbot,South Wales,https://www.thedragonride.co.uk,50-80,3000+,Largest sportive in Wales
Etape Eryri,Sportive,July (TBC),Snowdonia,North Wales,https://www.etapeeryri.co.uk,50-80,1500+,Challenging Snowdonia sportive
Rhosneigr Wave Classic,Windsurfing,September 12-14 (TBC),Rhosneigr,Anglesey,https://www.britishwavesailing.com,Free to watch,100+,"UK's premier wavesailing event, BWA Tour"
Abersoch Dinghy Week,Sailing,August (TBC),Abersoch,Llŷn Peninsula,https://www.abersoch.co.uk,Varies,200+,Major sailing regatta
Cardiff Bay Water Festival,Watersports,July (TBC),Cardiff Bay,South Wales,https://www.cardiffharbour.com,Free,Unlimited,"Kayaking, paddleboarding, sailing demos"
Red Bull Hardline,MTB Downhill,September (TBC),Dyfi Forest,Mid Wales,https://www.redbull.com,Free to watch,Unlimited,World's toughest downhill MTB race
Welsh Gravity Enduro Series,MTB Enduro,March-October,Various,Wales,https://www.welshgravityenduro.co.uk,40-70,500+,Enduro race series across Wales
Coed y Brenin Enduro,MTB Enduro,October (TBC),Coed y Brenin,Snowdonia,https://www.beicsbrenin.co.uk,40-60,400+,Popular enduro event
Adventure Travel World Summit,Industry Conference,October (TBC),Llandudno (2025),North Wales,https://www.adventuretravel.biz,500-1000,800+,Global adventure tourism conference
Green Man Festival,Music/Outdoor,August (TBC),Brecon Beacons,Brecon Beacons,https://www.greenman.net,200-300,25000+,Music festival in mountain setting
Wakestock,Music/Watersports,July (TBC),Abersoch/Pwllheli,Llŷn Peninsula,https://www.wakestock.co.uk,100-200,15000+,Wakeboarding and music festival
Snowdonia Walking Festival,Walking,October (TBC),Betws-y-Coed,Snowdonia,https://www.snowdonia.gov.wales,Free-20,500+,"Guided walks, all abilities"
Pembrokeshire Coast Path Festival,Walking,May (TBC),Various,Pembrokeshire,https://www.pembrokeshirecoast.org.uk,Free-25,1000+,Celebrates coast path
Wales Coast Path Festival,Walking,June (TBC),Various,Wales,https://www.walescoastpath.gov.uk,Free-30,2000+,Events along entire coast path
World Bog Snorkelling Championships,Novelty,August (TBC),Llanwrtyd Wells,Mid Wales,https://www.green-events.co.uk,20-40,200+,Unique bog snorkelling race
Man vs Horse Marathon,Running/Cycling,June (TBC),Llanwrtyd Wells,Mid Wales,https://www.green-events.co.uk,30-50,500+,Runners vs horses over 22 miles
Welsh One Day Hill Climb,Cycling,October (TBC),Various,Wales,https://www.cycling.wales,25-40,200+,Uphill cycling time trial
