Business Name,Website,Contact Email,Phone,Physical Address,Activities Offered,Regions Covered,Price Range,TripAdvisor URL,Google Rating,Social Media,Unique Selling Point,Affiliate Program
Zip World,https://www.zipworld.co.uk,info@zipworld.co.uk,01248 601 444,"Penrhyn Quarry, Bethesda LL57 4YG","Zip Lining, Quarry Karts, Bounce Below, Adventure","Snowdonia, South Wales",Premium,https://www.tripadvisor.co.uk/Attraction_Review-g551648-d3673411,4.5/5 (5000+),@zipworld,"World's fastest zip line, multiple locations",No
TYF Adventure,https://www.tyf.com,info@tyf.com,01437 721 611,"20 High Street, St Davids, Pembrokeshire SA62 6SD","Coasteering, Sea Kayaking, Surfing, Climbing, SUP",Pembrokeshire,Mid-Range,https://www.tripadvisor.co.uk/Attraction_Review-g551669-d2153074,5.0/5 (2000+),@tyfadventure,"Pioneered coasteering in 1986, B Corp certified",No
Preseli Venture,https://www.preseliventure.co.uk,info@preseliventure.co.uk,01348 837 709,"Parcynole Fach, Mathry, Haverfordwest SA62 5HN","Coasteering, Surfing, Kayaking, Boat Trips, Wild Swimming",Pembrokeshire,Mid-Range,https://www.tripadvisor.co.uk/Attraction_Review-g551669-d1567410,5.0/5 (1500+),@preseliventure,"Eco-lodge accommodation, 35+ years experience",No
Plas y Brenin,https://pyb.co.uk,info@pyb.co.uk,01690 720 214,"Capel Curig, Conwy LL24 0ET","Climbing, Mountaineering, Kayaking, Hill Walking, MTB",Snowdonia,Mid-Range/Premium,https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1557422,4.5/5 (800+),@plasybrenin,"National Outdoor Centre, 60+ years experience",No
Adventure Britain,https://www.adventurebritain.com,info@adventurebritain.com,01639 700 388,"Seven Sisters, Neath SA10 9DT","Canyoning, Caving, Climbing, Gorge Walking, MTB","Brecon Beacons, Gower",Mid-Range,https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1567413,4.5/5 (600+),@adventurebritain,Welsh Small Business of the Year,No
BikePark Wales,https://www.bikeparkwales.com,info@bikeparkwales.com,01685 723 750,"Pentrebach, Merthyr Tydfil CF48 4TT","Mountain Biking, Coaching, Bike Hire",Brecon Beacons,Budget-Mid,https://www.tripadvisor.co.uk/Attraction_Review-g186428-d3849669,4.5/5 (1000+),@bikeparkwales,"UK's largest bike park, 40+ trails",No
Coed y Brenin (NRW),https://naturalresources.wales, enquiries@naturalresourceswales.gov.uk,0300 065 3000,Dolgellau LL40 2HZ,"Mountain Biking, Walking, Trail Running",Snowdonia,Budget (parking only),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1557424,4.5/5 (1200+),@natreswales,UK's first purpose-built MTB centre,No
Antur Stiniog,https://www.anturstiniog.com,info@anturstiniog.com,01766 238 007,Blaenau Ffestiniog LL41 3NB,"Downhill Mountain Biking, Bike Hire",Snowdonia,Mid-Range,https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d2711704,4.5/5 (500+),@anturstiniog,"Community-led social enterprise, best UK uplift",No
MountainXperience,https://www.mountainxperience.uk,info@mountainxperience.uk,07796 247 227,"Llanberis, Gwynedd","Guided Snowdon Walks, Scrambling",Snowdonia,Mid-Range,https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d2711705,5.0/5 (900+),@mountainxperience,"5-star rated, family-friendly guides",No
Snowdonia Mountain Guides,https://snowdoniamountainguides.com,info@snowdoniamountainguides.com,01286 000 000,Llanberis area,"Rock Climbing, Scrambling, Hill Walking",Snowdonia,Premium,https://www.tripadvisor.co.uk,5.0/5 (400+),@snowdoniaguides,Professional mountain guides,No
Activity Pembrokeshire,https://www.activitypembrokeshire.wales,info@activitypembrokeshire.wales,01646 600 231,"Stackpole, Pembrokeshire","Coasteering, Sea Kayaking",Pembrokeshire,Mid-Range,https://www.tripadvisor.co.uk,5.0/5 (300+),@activitypembrokeshire,"Family-focused, Stackpole Quay location",No
Tenby Adventure,https://www.visitpembrokeshire.com,info@tenbyadventure.co.uk,01834 000 000,"Tenby, Pembrokeshire","Coasteering, Sea Kayaking",Pembrokeshire,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (250+),@tenbyadventure,Tenby-based coastal adventures,No
MUUK Adventures,https://www.muuk-adventures.com,info@muuk-adventures.com,01437 000 000,"St Davids, Pembrokeshire","Coasteering, Surfing, Kayaking, Mountain Challenges","Pembrokeshire, Snowdonia",Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@muukadventures,"Small team, personal service",No
Outer Reef Surf School,https://www.outerreefsurfschool.com,info@outerreefsurfschool.com,01646 680 070,"Broadhaven, Pembrokeshire","Surfing, Coasteering, Paddle Boarding",Pembrokeshire,Mid-Range,https://www.tripadvisor.co.uk,5.0/5 (400+),@outerreefsurf,"AALA licensed, National Trust partner",No
Sealyham Activity Centre,https://www.sealyham.com,info@sealyham.com,01348 840 763,"Sealyham, Haverfordwest",Multi-activity residential,Pembrokeshire,Mid-Range/Premium,https://www.tripadvisor.co.uk,4.5/5 (150+),@sealyham,"Residential centre, since 1986",No
Black Mountain Adventure,https://www.visitmidwales.co.uk,info@blackmountainadventure.co.uk,01497 000 000,"Three Cocks, Brecon LD3 0SD","Multi-activities: MTB, Caving, SUP, Gorge Walking",Brecon Beacons,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (350+),@blackmountainadv,"Award-winning, family-run",No
Llangorse Multi Activity Centre,https://www.llangorse.com,info@llangorse.com,01874 000 000,"Llangorse, Brecon LD3 7UH","Indoor Climbing, Horse Riding, Zip Lines",Brecon Beacons,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@llangorse,Premier award-winning centre,No
Adventures Wales,https://www.adventureswales.co.uk,info@adventureswales.co.uk,01656 782 222,"Porthcawl, Bridgend CF36 3UU","Multi-activities, Stag/Hen, Corporate","South Wales, Brecon Beacons",Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (400+),@adventureswales,"20 mins from Cardiff, Wales Prestige Award",No
