Service Type,Name/Route,Region Covered,Stops/Locations,Frequency,Season,Cost (£),Website,Notes
Train Station,Bangor,North Wales,Snowdonia access point,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Nearest mainline to Llanberis (10 miles)
Train Station,Llandudno Junction,North Wales,"Conwy, Snowdonia access",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Connection to Blaenau Ffestiniog branch
Train Station,Blaenau Ffestiniog,North Wales,"Zip World, Antur Stiniog",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Conwy Valley line from Llandudno Junction
Train Station,Betws-y-Coed,North Wales,"Snowdonia, Zip World Fforest",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Conwy Valley line
Train Station,Dolgellau (via Machynlleth),Mid Wales,Coed y Brenin,Regular services to Machynlleth,Year-round,Varies,https://www.transportforwales.co.uk,Bus connection to Dolgellau
Train Station,Machynlleth,Mid Wales,"Dyfi Forest, Aberystwyth access",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Coastal line and Cambrian line junction
Train Station,Aberystwyth,Mid Wales,Ceredigion coast,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,End of Cambrian line
Train Station,Borth,Mid Wales,"Borth Beach, Ynyslas",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Cambrian coast line
Train Station,Haverfordwest,Pembrokeshire,Pembrokeshire access,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Main station for north Pembrokeshire
Train Station,Fishguard Harbour,Pembrokeshire,North Pembrokeshire coast,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Ferry connection to Ireland
Train Station,Pembroke/Pembroke Dock,Pembrokeshire,South Pembrokeshire,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,West Wales line
Train Station,Tenby,Pembrokeshire,"Tenby, south coast",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Popular tourist station
Train Station,Saundersfoot,Pembrokeshire,Saundersfoot,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Coastal station
Train Station,Milford Haven,Pembrokeshire,"Milford Haven, Dale",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,West Wales line terminus
Train Station,Abergavenny,South Wales,Brecon Beacons (eastern),Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Nearest mainline to east Beacons
Train Station,Merthyr Tydfil,South Wales,BikePark Wales,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Nearest station to BikePark Wales
Train Station,Cardiff Central,South Wales,"Capital, connections",Frequent services,Year-round,Varies,https://www.transportforwales.co.uk,Main hub for south Wales
Train Station,Swansea,South Wales,Gower access (bus connections),Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Bus connections to Gower
Train Station,Pwllheli,North Wales,Llŷn Peninsula,Regular services,Year-round,Varies,https://www.transportforwales.co.uk,Cambrian coast line terminus
Train Station,Holyhead,North Wales,"Anglesey, ferries",Regular services,Year-round,Varies,https://www.transportforwales.co.uk,"Ferry to Ireland, Anglesey access"
Bus,Snowdon Sherpa,Snowdonia,"Llanberis, Pen-y-Pass, Beddgelert, Rhyd Ddu",Frequent (summer),Year-round (reduced winter),2-5,https://www.snowdonia.gov.wales,Park & ride for Snowdon
Bus,S1 (Llanberis-Bangor),North Wales,"Llanberis, Caernarfon, Bangor",Hourly,Year-round,2-5,https://www.transportforwales.co.uk,Connects Llanberis to rail network
Bus,S2 (Betws-y-Coed),North Wales,"Betws-y-Coed, Capel Curig, Llanberis",Hourly,Year-round,2-5,https://www.transportforwales.co.uk,Snowdonia circular route
Bus,S97 (Pen-y-Pass),North Wales,"Llanberis, Pen-y-Pass",Regular (summer),Summer mainly,2-5,https://www.snowdonia.gov.wales,Direct to Pen-y-Pass
Bus,T2 (TrawsCymru),North/Mid Wales,"Bangor, Betws-y-Coed, Llangollen",Hourly,Year-round,Free-5,https://www.trawscymru.info,Long-distance north Wales route
